@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.93,1.88,0.13,0.00,4.92,170727495,165541000,5016000,4
1.95,1.88,0.14,0.00,4.99,173608226,73257000,14049000,4
1.92,1.86,0.14,0.00,5.00,170326961,76100000,8010000,4
1.89,1.83,0.14,0.00,4.92,168075699,69458000,12079000,4
1.22,1.17,0.11,0.00,3.31,116832455,111810000,4991000,4
2.03,1.96,0.14,0.00,5.06,172589276,75895000,9986000,4
4.67,4.51,0.35,0.00,12.09,429274771,327835000,14669000,4
1.88,1.82,0.13,0.00,4.73,161699455,68175000,6883000,4
1.96,1.90,0.14,0.00,4.97,171752105,73157000,12025000,4
2.71,2.64,0.17,0.00,6.93,231734209,133596000,12053000,4
1.85,1.79,0.13,0.00,4.88,163953271,156925000,6996000,4
3.00,2.90,0.19,0.00,7.75,258904552,131409000,11205000,5
2.82,2.73,0.18,0.00,7.11,237811665,142932000,7996000,5
1.61,1.55,0.16,0.00,4.40,156018962,144856000,10989000,5
1.95,1.88,0.14,0.00,5.05,173249601,77924000,8991000,5
2.80,2.70,0.17,0.00,6.91,233959353,134055000,14005000,5
1.95,1.88,0.14,0.00,5.04,171827742,73959000,11196000,5
1.96,1.89,0.14,0.00,5.06,169936762,69957000,14990000,5
3.47,3.35,0.23,0.00,8.62,291387841,175587000,28036000,5
2.78,2.68,0.18,0.00,7.06,235224746,141324000,7346000,5
1.93,1.86,0.14,0.00,4.94,170835411,78460000,6035000,5
1.94,1.87,0.15,0.00,5.06,177349426,81809000,8979000,5
2.89,2.79,0.24,0.00,7.66,272302240,172285000,13021000,5
1.61,1.55,0.16,0.00,4.46,159048200,147952000,11071000,5
1.94,1.88,0.14,0.00,5.13,174160625,76679000,11098000,5
2.13,2.04,0.25,0.00,6.26,232481180,218370000,14023000,5
2.19,2.12,0.18,0.00,5.85,202753065,109632000,6976000,5
1.99,1.92,0.15,0.00,5.23,178358793,80334000,11046000,5
2.72,2.63,0.17,0.00,7.02,231599222,138070000,7003000,5
1.61,1.54,0.15,0.00,4.45,157919310,149844000,7991000,5
2.66,2.57,0.17,0.00,7.03,231512554,135087000,10182000,5
2.81,2.69,0.19,0.00,7.39,265894683,207457000,58128000,6
3.60,3.48,0.23,0.00,9.76,353092087,342059000,11001000,6
0.77,0.76,0.04,0.00,2.04,73559946,69568000,3975000,6
4.10,3.97,0.23,0.00,10.46,347107391,210308000,19027000,6
0.99,0.96,0.04,0.00,2.48,80132816,71991000,7999000,6
3.12,3.00,0.25,0.00,8.62,303812094,294793000,8993000,6
2.05,1.98,0.11,0.00,5.14,170492262,73517000,10783000,6
1.13,1.09,0.06,0.00,2.89,96559803,90564000,5971000,6
2.62,2.54,0.11,0.00,6.41,202398613,198328000,4006000,6
1.04,1.00,0.05,0.00,2.63,86198623,84105000,2002000,6
0.95,0.92,0.05,0.00,2.58,88909480,73910000,14981000,6
0.97,0.94,0.05,0.00,2.45,80250731,75214000,5014000,6
3.10,3.01,0.14,0.00,7.81,258903597,250890000,7996000,6
3.38,3.25,0.24,0.00,9.51,322356943,302205000,20013000,6
1.42,1.37,0.07,0.00,3.80,132115312,124083000,8005000,6
1.40,1.35,0.09,0.00,3.59,117223672,112195000,5008000,6
2.51,2.44,0.10,0.00,6.19,197235009,192111000,5002000,6
2.54,2.47,0.10,0.00,6.19,197982239,192962000,4999000,6
2.12,2.04,0.12,0.00,5.27,175473549,80164000,9018000,6
2.51,2.45,0.11,0.00,6.30,200726651,198708000,1997000,6
1.43,1.38,0.06,0.00,3.35,111088848,110714000,0,7
1.28,1.24,0.09,0.00,3.47,121830239,970000,5457000,7
4.19,4.02,0.33,0.00,10.34,347014171,188386000,158324000,7
