@relation problema-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute pkg numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
0.76,65145534,64081000,985000,11
0.63,55478571,54475000,990000,11
2.34,236517902,225005000,11000000,12
1.22,92390791,89268000,3009000,12
1.12,92032067,88863000,2995000,12
2.69,237702396,217700000,19972000,12
1.07,95503679,93496000,1989000,12
1.23,95687675,93685000,1993000,12
0.4,33692327,28633000,4936000,12
0.39,32604883,30624000,1975000,12
1.97,168471487,162469000,6017000,12
2.16,183184547,174150000,9007000,12
0.4,32672655,30633000,2042000,12
1.28,99364949,95334000,4014000,12
0.47,38704612,35711000,2975000,12
1.16,109070475,102035000,7002000,12
1.26,99459428,95318000,4013000,12
1,95656211,92502000,3016000,12
1.16,110453529,103400000,7027000,12
0.49,41575359,37599000,3957000,12
1.34,127854858,117815000,9984000,12
2.19,188193343,175157000,13011000,12
0.12,10084505,7609000,2174000,13
0.27,22892077,22899000,0,13
0.32,24911398,22069000,2878000,13
0.13,10635227,8626000,1916000,13
0.3,25611155,23537000,2046000,13
0.3,24137442,22105000,2009000,13
0.32,24782874,23777000,990000,13
0.13,9983915,7979000,1994000,13
0.26,25166875,23131000,2011000,13
0.29,22758262,22748000,0,13
0.29,23102048,20079000,3011000,13
0.13,10087031,8070000,2017000,13
0.28,22523740,21497000,1023000,13
0.36,28204949,26147000,2011000,13
0.29,22770785,22705000,0,13
0.29,22841870,22826000,0,13
0.31,25036763,22929000,1993000,13
0.28,22546545,20584000,1960000,13
0.32,24812703,22739000,1977000,13
0.29,23477379,22501000,978000,13
0.67,57952224,51668000,5961000,14
1.71,157967059,150939000,6997000,14
4.28,395159709,386133000,9003000,14
2.17,187666763,172617000,14966000,14
2.31,211784794,196767000,14982000,14
1.96,176565988,163573000,12966000,14
2.19,200289669,192950000,6998000,14
2.04,189076198,187053000,2000000,14
2.3,210790237,198779000,11986000,14
1.83,169798054,161720000,7986000,14
1.15,107396333,93435000,13915000,14
2.21,204651631,190697000,13977000,14
1.97,182679219,170662000,11976000,14
2.51,226694620,210692000,15976000,14
1.62,158003546,156878000,999000,14
0.6,55544770,54545000,991000,14
0.95,82179990,73137000,9016000,14
0.54,47085081,45050000,2002000,14
1.31,114052995,100032000,14004000,14
1.91,181800869,171760000,10044000,14
0.17,30103912,23672000,3787000,15
0.62,51023838,45913000,4990000,15
0.6,51539041,49535000,1981000,15
0.63,53965223,48940000,4993000,15
0.55,49584074,46594000,2974000,15
0.57,47922115,46929000,977000,15
0.57,48568461,45494000,3032000,15
0.58,47884260,44869000,2991000,15
3.78,292780950,287684000,5011000,15
1.61,131142003,125140000,6006000,15
0.58,48239100,47214000,1004000,15
0.56,47456693,46430000,1009000,15
0.59,50386269,48394000,1975000,15
1.65,130156983,127943000,1999000,15
0.59,52532774,47572000,4955000,15
0.64,51539206,49503000,2020000,15
0.59,51936320,48882000,2992000,15
2.47,207049384,201076000,5972000,15
0.6,49722313,45720000,3975000,15
1.63,128363326,124296000,3977000,15
1.32,123601807,2502000,3753000,16
1.41,143238970,137182000,6008000,16
1.53,140602052,136534000,4015000,16
0.9,75410670,70451000,4961000,16
1.5,136272029,132148000,4004000,16
1.51,139494922,135381000,3981000,16
1.54,136091205,135072000,1000000,16
1.55,143951519,142834000,1005000,16
1.04,85027279,80893000,3994000,16
1.44,138519002,136476000,2007000,16
1.68,139217099,134040000,5001000,16
1.45,136836955,134710000,1995000,16
3.61,319890847,181469000,138358000,16
1.19,100559507,100430000,0,16
1.47,138171565,137145000,1001000,16
1.6,152344780,147294000,5010000,16
1.46,143909677,142901000,999000,16
1.68,154903160,149889000,4996000,16
3.18,255441522,253413000,2003000,16
1.46,146384773,143270000,3005000,16
3.6,395013330,386666000,7993000,17
3.72,395460594,387438000,8009000,17
3.74,405305921,400163000,4989000,17
3.38,368307578,365273000,3002000,17
1.9,171604774,170590000,997000,17
4.5,363790045,355770000,7994000,17
5.82,623919927,619903000,3999000,17
3.73,392620970,387589000,4994000,17
3.1,362251041,360227000,2001000,17
3.34,392389760,387349000,4991000,17
3.39,392714973,387563000,4994000,17
3.06,363371826,361352000,2001000,17
3.07,363075629,360053000,3000000,17
3.43,393159875,387061000,6000000,17
3.44,395490683,389329000,6005000,17
3.4,392956045,388868000,3988000,17
3.49,364756067,362634000,1997000,17
2.54,289181785,286156000,3001000,17
3.23,324809079,317757000,6994000,17
3.14,365402794,363332000,2001000,17
1.72,149198565,143935000,4963000,18
1.72,140879650,137910000,2976000,18
1.74,141314601,138286000,3006000,18
4.42,370361176,226188000,144120000,18
4.36,366504551,225648000,140780000,18
0.61,45941677,44852000,996000,18
