@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
526805764,771877797,386398,58593,154089760,516645,131,152083382,514496,243919304,377876,131638652,754793,51343,5466,12467,972,254217268,106307,134394905,674,340435,104238,134785000,56909000,0
104557942,252743315,293842,59716,44000240,196629,134,41433137,195685,57233233,261400,26654786,351963,35915,20657,2567,732,77293476,2507,34717998,183,4627,885,43107000,1002000,0
532738609,771101665,326452,59752,153297437,555768,129,152227816,553734,242129290,291320,131446559,595930,39491,19853,4397,1353,253905648,108625,135313916,869,325323,105175,155543000,35894000,0
532715799,768245142,304745,58999,153294774,604839,133,151486754,601209,240697258,313286,131055184,697035,51151,26385,5606,890,249925474,105749,134866908,669,327429,105706,152084000,41022000,0
531152136,768540141,291545,59293,153422894,601524,129,152093234,601005,243617407,328331,131832379,622625,50380,25622,5780,701,253442962,104100,135505307,594,294321,105265,147489000,45841000,0
376525038,342873734,338968,75591,65629265,399051,134,64563706,397337,96437572,298235,46554403,485257,44647,21929,3960,741,100380141,105558,47609215,429,345664,105277,93871000,44938000,0
525665363,761878575,224291,79676,152912552,586070,130,152469172,590266,244200493,305746,132813013,485018,36239,20759,2556,204,254345875,103000,135092625,410,342992,103145,129907000,49964000,0
527458745,770475636,241299,103639,152179629,650271,130,151540988,649359,240845141,328356,132192499,492328,37924,21782,4785,721,252465013,104577,135354807,481,172761,104197,132108000,47038000,0
520553266,803765906,358473,83418,163650940,709588,326,157561293,700346,245891194,342181,127297201,679912,42677,22700,13214,4460,244985884,106044,134436822,1781,287331,99717,150542000,40144000,0
105385072,254634678,305656,59094,44396717,195945,135,41788034,194350,57562549,258038,26623779,305138,32260,19674,2873,698,77192450,2803,34630162,249,4293,1001,42262000,2012000,0
524086617,765408916,340557,64803,152615580,593099,128,151885487,590088,243390152,283506,132137282,480295,31729,20203,6423,1154,251892718,105775,134331972,783,316010,104013,147499000,44149000,0
105604284,257683574,252614,56217,45649288,190172,134,42291921,186617,58751829,254022,26966799,334084,35751,20184,4034,1024,70812006,2669,33528407,176,4678,978,42834000,3059000,0
518281572,762825890,222266,82841,153246810,587342,130,153292282,588959,246589930,314061,132798990,354452,28870,22232,11621,1252,252668307,103321,133879552,314,308976,102911,135837000,41949000,0
524168368,768635702,318484,57348,153683939,546767,129,152366501,543891,242785053,301406,130728191,599345,42509,22702,4615,714,252810610,105808,134292918,616,341062,103979,143979000,46993000,0
105695735,255240612,230035,49026,46511639,190946,137,42523606,188483,59206349,262041,27044921,464512,43983,24482,4123,832,69635991,2573,32621888,176,4693,2375,42837000,2988000,0
262937001,680249879,312280,67935,140083351,524655,326,134403338,493263,209829620,316983,114761699,475822,43714,28990,5844,4183,230217147,5413,123457977,672,10798,2001,98804000,2994000,0
520788960,755773215,212138,68986,151434744,587502,128,150818757,586996,238936977,305329,132670381,528297,42574,21381,4170,282,249652553,103684,135507318,313,284415,103520,136756000,43239000,0
520024485,768986477,323523,75833,153650141,609518,131,152774298,606614,241788246,292972,131430386,528261,34786,20201,11455,792,248042994,105169,133843852,520,277133,103389,144858000,44262000,0
528340967,766733166,378558,72903,152371831,601636,131,151469915,594024,240732750,294934,131649927,571385,39706,20413,6551,2726,250620795,106704,134432758,687,340720,104922,148262000,44077000,0
523014186,765118927,335603,65200,152772231,587033,129,151066173,583069,239870560,284223,131599215,521901,39097,23183,4829,1256,250004482,106909,134137538,683,253064,104985,151652000,38910000,0
153635042,99688521,245852,29711,4914081,107346,67,4724154,82085,1799811,104021,629115,290445,15316,1805,2775,659,406400,1227,273093,406,2797,1066,59683000,2023000,1
616226262,754111575,247961,42873,52616244,103211,134,52319304,106604,4866047,255706,1987264,617739,21917,2589,6472,937,1424230,1765,886038,536,6467,391,219204000,3985000,1
1129169159,1573450143,284746,58263,166530410,103886,130,166203607,108188,5520271,289973,1647502,726836,26984,2473,8774,1996,2986798,5019,2220484,1242,13468,2002,388894000,1999000,1
97398198,74777270,149052,37545,3192342,63568,131,3183426,57846,2680459,127921,915335,206412,14090,1548,1063,336,191768,368,132968,77,1012,140,30198000,1948000,1
149673640,99987977,296295,40108,6087855,134306,131,5771479,104860,3428549,176083,1088874,319124,19235,3602,4804,1548,426089,1897,262714,345,3083,1184,61865000,1014000,1
1139928167,1584952528,281166,40016,166863431,108941,129,165720176,110441,5811928,304832,2623477,809497,30776,4663,17011,8190,5779471,1793,2959826,1007,12971,793,398847000,1994000,1
143649622,97845531,163521,11753,4084699,82331,67,3962042,99084,1692243,94102,376092,213740,13728,1369,2283,193,338456,296,210565,109,1539,36,49236000,1004000,1
148490450,100745666,298695,49220,5523631,108095,136,5317304,106044,3249589,165009,996998,281477,12751,1562,2377,634,484847,2940,743486,476,3353,1134,58631000,2021000,1
97367336,66276583,296175,48307,4022244,84626,132,3680066,86140,3589933,170597,888775,273759,15452,2243,4009,1176,304381,1636,183629,172,1183,744,40110000,4011000,1
142543505,89658989,314894,54895,3809540,82069,129,3658431,79599,3271184,158873,936547,279130,14829,2649,2282,647,381834,3100,729792,553,3609,1527,58659000,1988000,1
142376198,114723217,192830,47129,3427629,61426,133,3496774,67402,3196268,169378,523606,244512,15794,1387,763,0,308786,124,201113,101,1618,15,50018000,0,1
271581512,188422163,239535,22514,4830751,82684,134,5100199,80314,3492307,178827,1547999,375269,18831,2691,3260,910,974712,4030,916803,517,4818,1144,101286000,1986000,1
61297261,68056930,155663,29348,3508345,78920,134,3456221,78151,3340924,147829,1475630,161621,6075,500,421,0,155649,165,87209,42,958,563,17527000,1947000,1
78915709,74150170,148480,38551,3125826,54159,134,3111001,56984,2774249,143612,825850,187650,12232,1038,846,0,183503,90,158826,61,1015,7,25203000,2016000,1
157540403,109813058,287932,29317,3804071,87561,133,3894487,86047,3366622,169551,1277857,306216,17121,2376,3727,684,425531,1298,265790,194,2185,1108,61871000,1995000,1
1143224117,1590780881,245709,20871,166653200,105671,133,165860674,106706,5431377,310355,2934615,889866,41086,6891,10606,1588,2825295,3120,1649208,958,12100,780,400845000,2998000,1
143635995,105776883,307929,34229,3636362,83137,132,3630960,78434,3275996,158292,1201663,279502,15297,1751,3101,1860,1515811,5910,969135,614,4172,1983,55477000,3962000,1
153344361,105324127,333597,51576,4068050,92748,130,3763218,85525,3485904,148764,619950,297344,20126,3923,4720,1360,424085,1787,259059,328,2803,967,60770000,2988000,1
142783527,105317680,150274,37528,3381696,61431,134,3504699,66948,3225739,164553,1278669,260230,18644,2150,2650,1025,318435,1160,212032,140,1416,154,48406000,0,1
71681436,71086949,323479,38269,4759471,159508,130,4914252,156978,2969594,147934,1080841,249915,14834,2118,3343,1031,438412,4151,648260,410,2254,1402,35824000,1990000,1
133414089,216292361,304622,66282,47997873,1096602,525,50990404,941231,68152476,552212,36450463,310924,26995,1721,3677,3682,67398486,359,32615666,113,2803,205,42662000,3121000,2
134131657,222846853,342389,60829,45364781,1229842,917,44805901,897092,64880797,829810,34543991,332181,25703,14561,5525,2101,70091622,326,33740348,438,2645,164,44264000,2012000,2
128004823,300115312,315562,55190,61327070,380949,916,53558650,1057019,61905809,757834,23947551,337594,28941,6089,17457,24817,74000333,7376,41403057,15568,14112,2169,50477000,4948000,2
254477909,581084361,283397,61401,123033141,810193,1004,121964325,895508,191580187,499695,99074086,489417,34989,13551,4310,3882,181491292,4585,96930866,9716,16285,2090,83002000,3000000,2
128496028,227354780,301838,66728,45000110,970676,525,48896209,800172,67016344,520740,35716648,204280,22910,14026,1749,275,66419531,330,32820856,167,2493,169,40452000,3946000,2
137156825,219402308,212617,51040,43383373,1369823,1012,46491497,993047,71345247,514801,39680821,476206,36619,15498,20009,512,68616046,998,33757724,2660,5302,643,42978000,2998000,2
270987502,610364026,656579,76241,117522254,1641481,1908,113178657,1887087,175481851,996870,93251509,792415,90198,22464,16650,10778,202227897,8345,107062267,29264,29166,4909,99257000,4010000,2
247611046,557003134,306502,36619,115594991,2128539,519,112725010,2055790,167528866,592822,91867824,720571,44325,17107,5085,1550,223295572,1668,106933302,303,14270,646,90915000,4995000,2
136902181,211238149,215274,50829,45253991,1389598,524,49908502,1046044,69980023,463413,36253256,408179,38233,16848,8472,2739,69945899,1000,33003235,3485,6057,801,44465000,3031000,2
