file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1054386.exe ,  0.56,  0.42,  0.00,  0.01,  0.00,   36516099,   29385000,    6856000,   56293752
2082270.exe ,  1.09,  0.88,  0.00,  0.02,  0.00,   54434052,   49124000,    4912000,   72800317
2136822.exe ,  0.83,  0.65,  0.00,  0.02,  0.00,   45082699,   32055000,   13022000,   62866982
2395206.exe ,  3.23,  2.60,  0.00,  0.05,  0.00,  158913324,  106537000,   52263000,  178412137
2666073.exe ,  1.08,  0.86,  0.00,  0.02,  0.00,   56277538,   46262000,   10057000,   72927860
301392.exe  ,  0.44,  0.34,  0.00,  0.01,  0.00,   24928110,   20933000,    3987000,   40518235
3960987.exe ,  0.63,  0.50,  0.00,  0.01,  0.00,   33350273,   27238000,    6053000,   52866102
3989839.exe ,  0.59,  0.44,  0.00,  0.01,  0.00,   37386087,   31252000,    6048000,   57789426
4443808.exe ,  1.34,  1.05,  0.00,  0.02,  0.00,   72341585,   64365000,    7921000,   92850418
4870928.exe ,  4.10,  3.27,  0.00,  0.07,  0.00,  193303869,  110608000,   82706000,  211446481
5060739.exe ,  1.11,  0.88,  0.00,  0.02,  0.00,   56304537,   54294000,    2010000,   73529332
5237654.exe ,  2.66,  2.11,  0.00,  0.05,  0.00,  133760759,  113801000,   19965000,  149967998
5454536.exe ,  1.07,  0.87,  0.00,  0.02,  0.00,   47124036,   38087000,    9020000,   62565216
5962406.exe ,  0.87,  0.68,  0.00,  0.02,  0.00,   45798373,   36745000,    8938000,   63371161
6021928.exe ,  1.07,  0.85,  0.00,  0.02,  0.00,   54926399,   49723000,    4972000,   72309615
670905.exe  ,  0.62,  0.47,  0.00,  0.01,  0.00,   34624005,   28698000,    5937000,   51295139
704949.exe  ,  0.59,  0.45,  0.00,  0.01,  0.00,   33368161,   30288000,    3028000,   50986513
718631.exe  ,  1.10,  0.86,  0.00,  0.02,  0.00,   60107734,   55113000,    5010000,   78246183
7209909.exe ,  1.06,  0.84,  0.00,  0.02,  0.00,   56508762,   47556000,    8916000,   76341420
820436.exe  ,  0.92,  0.71,  0.00,  0.02,  0.00,   48820626,   39799000,    8954000,   68250093
