file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1051415.exe,348442767,11716655,225418257,2982917,228686348,2920375,1174718,8113035,799079653,2481941,349963520,155,27978,1099335312,3231,5.56,4.61,236623390,222988000,12999000,284743910
1051839.exe,119557947,3489896,88756959,643376,90088739,599563,450752,2842421,250648275,815698,110009870,168,12858,396595147,1879,1.73,1.42,77335945,72112000,4939000,98400842
2568363.exe,116700546,4437852,85708759,815731,86228679,754746,515317,2993812,259849761,838031,116855124,64202,15683,393933107,2485,1.76,1.44,79637760,71316000,8035000,100997246
3048276.exe,127797116,4198389,89729210,733848,87255914,718688,828335,3463444,301566608,1097003,116235670,83,20476,426930497,3087,2.05,1.68,91769468,84426000,7035000,112203653
3079156.exe,119213024,3962262,82380372,814862,84045860,803098,682178,3293862,268412929,775218,127848783,22,29000,415417428,3120,1.84,1.51,83366986,73052000,10007000,104460214
3653114.exe,115464624,4708301,82872188,780249,85338303,753303,873040,3274780,321924271,991727,127706363,19,19795,408622336,3437,2.12,1.73,96895822,86522000,9945000,117715581
3900160.exe,118747168,4779707,79995612,816378,81614434,785554,928418,3514546,323717935,939303,134085291,176,20643,423903873,3235,2.23,1.83,98593148,90222000,7931000,119417374
4327808.exe,327893129,4060578,207652046,1194692,208092073,1117659,575003,3165697,549829780,909473,321902821,61,17813,980952807,2431,3.88,3.22,164861315,154580000,9972000,185944636
4538105.exe,122043992,5661229,90025328,846610,93235145,809713,1020621,3972010,330869540,964626,131837945,60692,47222,440459731,8201,2.28,1.87,99287668,80924000,17983000,119921859
4618768.exe,123141869,3376426,89901700,611492,88865999,587232,458717,2941036,247293227,884718,107319734,77,13449,407402117,1876,1.72,1.42,76009426,68515000,7053000,96565379
5251261.exe,120856152,3765280,82049536,841840,81097391,827113,610733,3296797,267188291,755465,129497493,153,73792,422885685,2435,1.86,1.52,83005999,75676000,6970000,104219070
5593417.exe,326535937,4665857,205815548,1228932,205861063,1178141,735613,3656490,559162434,857212,330574934,139,19966,991310830,2924,3.87,3.2,166968076,162713000,3992000,187151483
5622940.exe,112213203,4121657,82853025,792760,86012034,751377,543560,2979418,266832943,813096,120513056,296,18150,395123517,2436,1.84,1.51,80994505,71659000,8957000,102199356
6198446.exe,111917124,4070188,75845237,779788,77685980,827271,869619,3498724,289976543,885649,119201822,145,20393,382328619,3113,1.96,1.62,84482113,74125000,10016000,105769997
6660710.exe,169687325,16753498,114980750,6302048,114524121,6197320,2104069,11291511,784133055,5170303,182739943,173685,55841,572922095,5363,5.13,4.18,233354315,216928000,15921000,255108029
6962765.exe,123915847,3651132,83586654,786847,80354400,804864,699674,3405270,268626825,791203,129597439,1273,28986,432736506,2730,1.87,1.54,83500401,73158000,10021000,105398194
740239.exe,117190118,6633797,91449031,966517,97895720,933359,1443195,4809995,375338998,1262718,130098965,252,54442,418165056,9100,2.63,2.16,113151958,97957000,14842000,134222456
7526546.exe,328600734,4353849,206112841,1304577,206824758,1224456,755064,3556329,571889530,848119,332735695,33,19009,993852949,2831,4.05,3.38,165965950,153473000,12037000,186141674
8005718.exe,330244005,4160423,210385955,1158493,212286049,1194347,882290,3992289,596841679,1175889,321493606,343,25264,990588729,3030,4.14,3.42,177965508,170776000,6950000,198336526
972261.exe,151317258,18467405,101400598,2523125,101850005,2536427,855535,13344731,429659963,2239616,159693252,185,16754,520190078,2429,3.02,2.51,125617901,115352000,9944000,146817360
