file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
1196025.exe,110680052,2827377,79844565,574461,77507888,655271,486616,2540265,234011206,547524,106022374,44,10884,380420593,1960,1.62,1.35,69028652,58493000,9914000,115225443
1514231.exe,113973144,3270041,80873146,885255,78416718,959985,872788,3146403,268618583,791739,108491114,28402,22263,392385163,3270,1.82,1.49,82827901,74580000,7955000,103625939
2098233.exe,111872320,3362778,76188231,828467,76358138,700406,734169,2828290,262205244,758207,112196482,88,15799,383050904,2688,1.82,1.5,76435423,71166000,5011000,96689095
2134751.exe,127879735,3784280,94255084,1519935,95882961,1436429,858111,3166506,329123466,927246,129947145,8036,37157,444856457,3852,2.22,1.83,96117577,88752000,7059000,116935455
2190864.exe,320975600,2928834,200481734,1601294,198000568,1595224,544574,3184388,520897534,572199,313472368,48,15793,961062927,1980,3.64,3.01,156595717,149360000,6970000,177016378
2947894.exe,111643686,2672713,77371899,650828,74497457,777575,482131,2612134,227998867,669615,105947444,89,10688,378621792,1958,1.56,1.29,66118578,58041000,7870000,86779319
3128348.exe,308098660,2916691,196618094,996428,197363677,1059009,519090,2888349,510528257,587334,307995401,24149,17434,922610319,1857,3.57,2.96,153586340,150268000,3005000,173705727
3705374.exe,107851711,4204887,75569407,952548,77529384,838057,764895,3258484,287544678,890214,116179416,826,15117,387358994,2524,1.97,1.62,84352599,78074000,6005000,105205673
4162488.exe,109472944,3367789,76782991,981798,76954782,840290,707322,2892498,263325497,786502,111398143,301,20762,379908329,2683,1.83,1.52,76865786,69545000,7055000,97471545
4619197.exe,315783720,2720474,196237132,1191803,193216099,1235614,544672,3219287,495853547,707196,309491618,248,16036,951132547,2067,3.47,2.88,149035745,141815000,6990000,170271925
5140609.exe,314158237,2758845,194581083,1265276,192376288,1246166,637647,3208736,504973349,662277,315674925,9595,18431,949886537,1956,3.6,3.0,147856494,144540000,3011000,168865891
5940700.exe,106618840,2655524,75133242,1048569,75795485,896505,534552,2662341,242979909,624069,108683752,162629,15039,374038388,1962,1.69,1.39,74943969,69594000,4971000,95502410
6059959.exe,107642258,2930903,75881274,679661,76136318,549291,490063,2493983,228913772,561230,107426983,15891,18030,372254145,1860,1.62,1.34,70980576,62438000,8056000,91694826
6196910.exe,113144970,3419762,80472612,915590,77502204,855413,836999,2994283,266211883,790372,110925443,50896,19678,390789549,2993,1.86,1.54,78191825,71895000,5991000,99926514
6268068.exe,317190290,2671270,197487668,1140910,194294323,1252202,561254,3063832,501021221,700043,306444849,222,16289,944729427,1858,3.58,2.98,149438615,144104000,5003000,170141869
6629192.exe,319008603,2814094,199029178,1076093,195032101,1171252,551314,2918474,508935109,629542,309985713,2537,18321,950884614,1859,3.64,3.02,151621537,145169000,6007000,172442114
6669955.exe,110246616,3269325,76247139,1197308,75504150,1107250,735369,2928398,264905328,784460,112695573,343,99841,381490603,2532,1.86,1.54,78367630,69976000,7997000,99464825
7371342.exe,312405084,3084217,196492828,1089744,197588578,987095,548719,3049279,514448572,561416,312149627,332,17827,932455079,2054,3.68,3.05,155260862,146862000,7992000,176206035
7393459.exe,118834543,3832660,88778253,981266,87909207,921725,977108,3171556,311998969,884054,119484292,9326,38661,427348743,4227,2.14,1.75,94941216,83591000,10946000,116814820
8651252.exe,315267649,2802062,199373932,1041450,196331499,1132006,525614,2888272,509445627,595822,306077262,17766,16210,940476995,1856,3.63,3.01,152282993,145736000,6030000,173105168
