@relation problema
@attribute 'pkg' real
@attribute 'cpu' real
@attribute 'mem' real
@attribute 'gpu' real
@attribute 'wall_clock' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
3.183837890625000000,3.110168457031250000,?,?,273,211,60,0
3.232543945312500000,3.160705566406250000,?,?,266,225,41,0
3.226135253906250000,3.153137207031250000,?,?,265,194,72,0
3.192687988281250000,3.124389648437500000,?,?,263,187,75,0
3.193115234375000000,3.116149902343750000,?,?,264,187,75,0
3.198669433593750000,3.116882324218750000,?,?,263,211,52,0
3.210449218750000000,3.137817382812500000,?,?,264,201,64,0
3.198974609375000000,3.119506835937500000,?,?,264,193,72,0
3.177795410156250000,3.105712890625000000,?,?,262,218,44,0
3.171752929687500000,3.102478027343750000,?,?,263,215,48,0
3.211608886718750000,3.134033203125000000,?,?,264,208,57,0
3.193725585937500000,3.121704101562500000,?,?,264,221,44,0
3.337707519531250000,3.254455566406250000,?,?,266,218,48,0
3.287597656250000000,3.215026855468750000,?,?,265,212,53,0
3.217346191406250000,3.147766113281250000,?,?,264,203,61,0
3.200622558593750000,3.123901367187500000,?,?,264,198,65,0
3.183349609375000000,3.118835449218750000,?,?,264,211,52,0
3.168395996093750000,3.105163574218750000,?,?,264,191,73,0
3.177795410156250000,3.109741210937500000,?,?,264,200,64,0
3.166564941406250000,3.089843750000000000,?,?,263,212,51,0
3.181457519531250000,3.107849121093750000,?,?,264,191,72,0
3.161560058593750000,3.095703125000000000,?,?,262,211,51,0
3.196716308593750000,3.122070312500000000,?,?,264,187,77,0
3.192321777343750000,3.117797851562500000,?,?,264,191,72,0
3.193725585937500000,3.122985839843750000,?,?,264,196,69,0
3.217041015625000000,3.136596679687500000,?,?,265,173,93,0
3.166076660156250000,3.100585937500000000,?,?,263,194,70,0
3.173583984375000000,3.109680175781250000,?,?,264,197,67,0
3.192504882812500000,3.109863281250000000,?,?,263,200,63,0
3.177612304687500000,3.103149414062500000,?,?,264,191,71,0
0.171569824218750000,0.171630859375000000,?,?,13,13,0,0
0.173706054687500000,0.172973632812500000,?,?,13,9,4,0
0.171813964843750000,0.172485351562500000,?,?,13,3,10,0
0.173522949218750000,0.173706054687500000,?,?,13,7,6,0
0.179870605468750000,0.170104980468750000,?,?,13,9,4,0
0.163635253906250000,0.169433593750000000,?,?,13,13,0,0
0.164794921875000000,0.169555664062500000,?,?,13,10,3,0
0.179382324218750000,0.168701171875000000,?,?,13,9,4,0
0.168151855468750000,0.163452148437500000,?,?,13,10,3,0
0.138122558593750000,0.131835937500000000,?,?,15,15,0,0
1.960083007812500000,1.908203125000000000,?,?,174,89,85,0
1.943847656250000000,1.892883300781250000,?,?,173,77,96,0
1.923950195312500000,1.880554199218750000,?,?,173,121,52,0
1.943359375000000000,1.898498535156250000,?,?,173,138,35,0
1.938659667968750000,1.893859863281250000,?,?,173,84,88,0
2.064270019531250000,2.018737792968750000,?,?,175,131,44,0
1.959167480468750000,1.906005859375000000,?,?,172,120,53,0
1.931945800781250000,1.887817382812500000,?,?,173,114,59,0
1.951599121093750000,1.896545410156250000,?,?,173,124,49,0
1.941162109375000000,1.895141601562500000,?,?,172,96,77,0
3.170227050781250000,3.094482421875000000,?,?,264,189,75,0
3.233642578125000000,3.154846191406250000,?,?,264,224,39,0
3.180847167968750000,3.104187011718750000,?,?,263,191,72,0
3.156372070312500000,3.091857910156250000,?,?,263,191,73,0
3.191223144531250000,3.127014160156250000,?,?,264,240,24,0
3.172546386718750000,3.095520019531250000,?,?,263,198,64,0
3.202331542968750000,3.118530273437500000,?,?,264,189,76,0
3.168762207031250000,3.095520019531250000,?,?,264,196,67,0
3.146118164062500000,3.071655273437500000,?,?,264,228,36,0
3.157653808593750000,3.090270996093750000,?,?,263,215,47,0
3.134460449218750000,3.064575195312500000,?,?,264,220,45,0
3.157531738281250000,3.079345703125000000,?,?,265,185,81,0
3.179443359375000000,3.102294921875000000,?,?,265,200,65,0
3.145751953125000000,3.079162597656250000,?,?,263,180,83,0
3.111328125000000000,3.040710449218750000,?,?,262,210,53,0
3.132263183593750000,3.059631347656250000,?,?,264,208,57,0
3.130432128906250000,3.060119628906250000,?,?,264,204,59,0
3.140136718750000000,3.069702148437500000,?,?,264,228,37,0
3.156372070312500000,3.079040527343750000,?,?,263,214,48,0
3.153564453125000000,3.078735351562500000,?,?,264,204,60,0
0.643188476562500000,0.626037597656250000,?,?,50,50,0,0
0.648193359375000000,0.628967285156250000,?,?,50,50,0,0
0.625366210937500000,0.619689941406250000,?,?,49,41,8,0
0.641174316406250000,0.618164062500000000,?,?,49,49,0,0
0.629455566406250000,0.621520996093750000,?,?,49,49,0,0
0.640991210937500000,0.620971679687500000,?,?,49,49,0,0
0.628295898437500000,0.616882324218750000,?,?,49,49,0,0
0.633239746093750000,0.617797851562500000,?,?,49,45,4,0
0.623229980468750000,0.613342285156250000,?,?,49,45,4,0
0.641296386718750000,0.620910644531250000,?,?,49,49,0,0
1.941833496093750000,1.885009765625000000,?,?,173,117,56,0
1.931457519531250000,1.889892578125000000,?,?,173,138,36,0
1.928344726562500000,1.886596679687500000,?,?,174,121,53,0
1.932006835937500000,1.875000000000000000,?,?,173,112,61,0
1.914367675781250000,1.867065429687500000,?,?,172,122,51,0
1.954772949218750000,1.903625488281250000,?,?,175,97,77,0
1.966003417968750000,1.913818359375000000,?,?,175,88,87,0
1.961791992187500000,1.914245605468750000,?,?,176,100,76,0
1.937805175781250000,1.887145996093750000,?,?,174,109,65,0
1.820068359375000000,1.770935058593750000,?,?,188,116,73,0
0.629455566406250000,0.614685058593750000,?,?,50,46,4,0
0.615356445312500000,0.601989746093750000,?,?,49,49,0,0
0.615600585937500000,0.602783203125000000,?,?,49,49,0,0
0.620422363281250000,0.608154296875000000,?,?,49,49,0,0
0.595153808593750000,0.581970214843750000,?,?,50,47,4,0
0.613586425781250000,0.592041015625000000,?,?,50,50,0,0
0.608764648437500000,0.602783203125000000,?,?,50,47,4,0
0.616943359375000000,0.603515625000000000,?,?,49,46,4,0
0.632507324218750000,0.619201660156250000,?,?,48,48,0,0
0.620849609375000000,0.611572265625000000,?,?,49,48,0,0
1.944885253906250000,1.902587890625000000,?,?,175,94,81,0
1.970825195312500000,1.920654296875000000,?,?,178,129,48,0
1.934875488281250000,1.886962890625000000,?,?,174,138,37,0
1.945434570312500000,1.892395019531250000,?,?,176,100,76,0
1.981323242187500000,1.929992675781250000,?,?,176,124,52,0
1.960449218750000000,1.912048339843750000,?,?,174,131,44,0
1.954650878906250000,1.906127929687500000,?,?,176,104,72,0
1.943420410156250000,1.895385742187500000,?,?,174,114,61,0
1.959960937500000000,1.902587890625000000,?,?,175,122,53,0
1.949707031250000000,1.899841308593750000,?,?,176,132,44,0
0.639526367187500000,0.625915527343750000,?,?,49,49,0,0
0.631164550781250000,0.621887207031250000,?,?,49,41,7,0
