@relation problema

@attribute pkg real
@attribute cpu real
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
3.183838,3.110168,0
3.232544,3.160706,0
3.226135,3.153137,0
3.192688,3.12439,0
3.193115,3.11615,0
3.198669,3.116882,0
3.210449,3.137817,0
3.198975,3.119507,0
3.177795,3.105713,0
3.171753,3.102478,0
3.211609,3.134033,0
3.193726,3.121704,0
3.337708,3.254456,0
3.287598,3.215027,0
3.217346,3.147766,0
3.200623,3.123901,0
3.18335,3.118835,0
3.168396,3.105164,0
3.177795,3.109741,0
3.166565,3.089844,0
3.181458,3.107849,0
3.16156,3.095703,0
3.196716,3.12207,0
3.192322,3.117798,0
3.193726,3.122986,0
3.217041,3.136597,0
3.166077,3.100586,0
3.173584,3.10968,0
3.192505,3.109863,0
3.177612,3.103149,0
0.17157,0.171631,0
0.173706,0.172974,0
0.171814,0.172485,0
0.173523,0.173706,0
0.179871,0.170105,0
0.163635,0.169434,0
0.164795,0.169556,0
0.179382,0.168701,0
0.168152,0.163452,0
0.138123,0.131836,0
1.960083,1.908203,0
1.943848,1.892883,0
1.92395,1.880554,0
1.943359,1.898499,0
1.93866,1.89386,0
2.06427,2.018738,0
1.959167,1.906006,0
1.931946,1.887817,0
1.951599,1.896545,0
1.941162,1.895142,0
3.170227,3.094482,0
3.233643,3.154846,0
3.180847,3.104187,0
3.156372,3.091858,0
3.191223,3.127014,0
3.172546,3.09552,0
3.202332,3.11853,0
3.168762,3.09552,0
3.146118,3.071655,0
3.157654,3.090271,0
3.13446,3.064575,0
3.157532,3.079346,0
3.179443,3.102295,0
3.145752,3.079163,0
3.111328,3.04071,0
3.132263,3.059631,0
3.130432,3.06012,0
3.140137,3.069702,0
3.156372,3.079041,0
3.153564,3.078735,0
0.643188,0.626038,0
0.648193,0.628967,0
0.625366,0.61969,0
0.641174,0.618164,0
0.629456,0.621521,0
0.640991,0.620972,0
0.628296,0.616882,0
0.63324,0.617798,0
0.62323,0.613342,0
0.641296,0.620911,0
1.941833,1.88501,0
1.931458,1.889893,0
1.928345,1.886597,0
1.932007,1.875,0
1.914368,1.867065,0
1.954773,1.903625,0
1.966003,1.913818,0
1.961792,1.914246,0
1.937805,1.887146,0
1.820068,1.770935,0
0.629456,0.614685,0
0.615356,0.60199,0
0.615601,0.602783,0
0.620422,0.608154,0
0.595154,0.58197,0
0.613586,0.592041,0
0.608765,0.602783,0
0.616943,0.603516,0
0.632507,0.619202,0
0.62085,0.611572,0
1.944885,1.902588,0
1.970825,1.920654,0
1.934875,1.886963,0
1.945435,1.892395,0
1.981323,1.929993,0
1.960449,1.912048,0
1.954651,1.906128,0
1.94342,1.895386,0
1.959961,1.902588,0
1.949707,1.899841,0
0.639526,0.625916,0
0.631165,0.621887,0
0.633606,0.612183,0
0.642273,0.623291,0
0.626953,0.615906,0
0.630859,0.618774,0
0.628357,0.618286,0
0.637085,0.621277,0
0.62854,0.617615,0
0.637085,0.62085,0
3.181702,3.104858,0
3.156982,3.087097,0
3.15155,3.067383,0
3.131226,3.057495,0
3.120911,3.051636,0
3.115967,3.038025,0
3.123108,3.044312,0
3.132935,3.058899,0
3.13208,3.06073,0
3.129211,3.047546,0
3.131592,3.051697,0
3.103577,3.036011,0
3.104858,3.036194,0
3.140869,3.069885,0
3.114075,3.04303,0
3.116272,3.0401,0
3.123962,3.048584,0
3.155334,3.082092,0
3.164185,3.092285,0
3.18457,3.103638,0
3.140625,3.068726,0
3.161804,3.081848,0
3.123413,3.057617,0
3.12085,3.055481,0
3.173584,3.092468,0
3.110474,3.043823,0
