@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
526411520,774741810,276251,36252,154609923,604099,128,153040416,607377,244237032,340925,130462353,741702,42551,3081,7962,1153,255129221,107348,135356107,769,98208,309942,148710000,40920000,0
511127802,701283588,302092,100062,145668680,653332,717,151723790,670140,253827362,434506,144519053,564048,31014,20538,9831,5903,230747943,114602,122492542,2856,124900,342470,136983000,38995000,0
524714157,767953885,320563,61666,153792261,592142,129,152737258,586903,243131826,290825,130855400,554239,37262,21421,5332,767,252233695,105957,133963559,625,335348,169797,151217000,40057000,0
530879756,769729564,323294,55947,153969038,762622,129,152898338,759245,244677391,302642,131399010,596866,44304,19656,7856,1316,254919257,107400,134700155,625,208663,310557,144404000,47131000,0
523710389,766984855,374732,96814,152859310,612999,131,152130906,610908,241752213,316060,131881464,563355,36696,18979,5506,1303,247176021,106014,134201495,609,376426,309839,152319000,39081000,0
530084325,775030841,333846,71211,153927898,629249,130,152907100,630569,242677450,323238,130496580,708809,48441,22457,5353,780,253428251,106855,134951225,607,237632,104099,146758000,43927000,0
101054157,246229651,323172,70153,43064124,190866,136,40087287,183259,53965499,245262,28161785,279401,29231,18209,3059,916,74574578,2317,33422570,166,4321,1830,38776000,4971000,0
370713671,326393535,244679,53735,61766837,407342,134,61336961,407950,90835222,304959,43607666,660653,54932,23722,5821,1689,93066333,104065,44022581,260,285359,311608,80972000,56980000,0
523659031,770596212,365047,72025,153565802,593030,130,152705367,592988,242165238,291923,132267820,540549,37101,19922,5573,1331,247511666,107037,134372109,748,374154,310659,150923000,40979000,0
519450528,761319585,203548,71353,152717161,587040,130,151793843,589538,241803407,308099,132457784,484030,37174,21051,8266,767,250416146,103383,134512359,292,401240,308438,127688000,51873000,0
525677449,767372398,297152,51422,153552373,607236,131,152267145,609103,240650178,306744,130177623,631534,41940,21150,4612,723,250038293,106330,133982174,622,302733,315612,141580000,49201000,0
11062752,2123366,264639,51898,3729748,119776,590,5178482,140264,6890434,180950,4412749,274094,37499,29522,8613,?,?,?,?,?,?,?,10252000,932000,0
104007211,223389523,276187,102949,43089841,227459,333,42397472,198775,59367370,235194,30973529,223565,21184,12600,8908,761,66426273,3515,28770258,325,3808,2187,30835000,3978000,0
94693204,227252631,223323,74312,42252894,171966,135,42703626,170396,63341619,204784,31761385,159572,28856,18546,3146,761,72838547,1064,32679728,77,5024,1640,29542000,2954000,0
105623182,252662559,293339,63450,43690219,193278,134,41307004,189755,56303192,270380,26724580,341591,35636,20147,2904,1575,75729801,2902,34027632,264,5312,1623,40868000,2990000,0
523632923,770237215,323255,82837,154001387,598524,127,153221090,596662,245200496,295882,132053704,577149,38773,19698,6897,1426,250598332,105992,134403878,576,356095,309874,129479000,61226000,0
113060677,289799160,196623,46862,58305488,169869,133,55668772,168499,52397061,221071,32692775,429457,44885,20856,2560,736,63129167,2261,38919117,170,4904,3429,44782000,2985000,0
521632848,767786490,301893,66866,153512149,615520,129,152420390,612303,241988255,287763,131571892,546407,38394,20003,8221,1321,245139254,105352,133411551,669,179787,309557,150331000,40088000,0
361497049,319788798,149833,67756,60523659,333520,134,60427623,332139,90323154,267817,44080267,317252,26431,18908,5028,480,94102143,104841,44498498,383,381679,309456,89415000,34158000,0
518147618,764989933,208438,71695,152863496,596084,130,151549902,595042,240404442,305084,131196124,498040,35594,18723,3381,0,253319712,103997,135848608,323,267228,310788,142903000,36975000,0
530566295,766329714,338922,67783,153428118,610148,130,152397472,603701,241271798,311306,131113764,578309,37402,19657,7851,674,251635101,105690,133899736,733,400404,309410,144965000,46988000,0
522168780,769636184,307230,65326,154171331,608812,128,153382127,606827,244228135,297333,131286889,628467,42476,20372,11996,1416,251552064,105292,134032650,551,332059,309144,134205000,55084000,0
523637228,769924292,329124,77435,154114592,602957,131,153270462,597102,242133303,280217,131768259,511847,34413,18394,11324,1061,247339354,104813,133605255,657,378171,308787,147638000,41897000,0
522461798,768341868,313153,74596,153357274,607132,129,152481254,605260,242348535,284073,131772410,526514,35015,19759,10695,2049,245067055,106245,133659434,815,296165,309999,143837000,46947000,0
