file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
6049277.exe,165762053,245622353,1085056,152075,48752374,352386,2479,47793492,359791,70534857,2329398,31532187,524834,394671,76287,49132,64694,74825128,7662,33691798,19451,20957,4471,53833000,3987000
6070349.exe,285303775,552120060,828249,124648,112320862,674111,2473,113383748,682437,173742487,2608010,89868416,756908,462072,80292,33226,25824,191319870,5568,96776402,17424,24976,3198,89331000,9033000
610376.exe,191192294,247898261,1185708,135516,55658910,904427,2479,57746655,829370,72180144,2107383,34427824,722184,359500,75386,35904,29402,69075166,8336,31686296,16062,19062,3413,69850000,6985000
6388784.exe,482973114,693825838,3001922,1460190,146229152,1626185,5599,147392277,1638918,226574154,5029357,114383254,1911709,563931,284792,76711,57109,220887448,121961,108011009,31402,46051,7023,160278000,15026000
6522713.exe,288412892,543066779,1697195,251188,113070828,632788,2473,113545228,632016,177765323,2158673,92603766,1005661,158205,21548,32719,22824,183635175,33234,89026095,14912,25651,4074,99180000,9016000
662138.exe,181844698,250073556,1349007,231696,50067309,374222,2479,51390804,380185,73276164,1992819,31790890,815000,217015,43657,37835,31215,76771152,10112,32828195,19585,22152,2807,61841000,10971000
6856892.exe,174647381,241744496,1481933,306163,52258966,369974,2477,52097702,365701,70300012,1957077,32045788,771978,174630,23920,34408,27834,73866778,10894,30618653,17986,19213,3583,62410000,7925000
700618.exe,376072057,735786636,1679300,270824,152334661,1272516,3646,144742572,1254512,206773326,9186987,95267809,941440,264339,47275,75783,32668,222280038,22709,105441117,21146,35598,5248,126224000,12920000
714426.exe,176497669,246475292,1401811,211595,51350467,375957,2478,52104696,373222,70425276,1864982,31904731,830471,182154,25388,36909,29233,77427413,9754,32445005,18912,23492,2476,58279000,11853000
7406977.exe,214340437,271716538,1614500,282688,55793160,1035726,3259,57229292,1008868,79551087,2648035,36496265,874980,213118,75534,36274,27736,71117679,21742,34193940,15020,22774,5165,67003000,17000000
7414994.exe,296861848,549333544,1849061,353537,112292549,696165,2472,110566154,693555,176422813,2187595,92309692,900772,138119,20858,31908,26294,187213685,10941,93011754,17032,23544,3669,102980000,7998000
7457204.exe,179688095,249644335,1381219,116883,49047862,371031,2480,49563540,380569,71929859,1965007,31680277,782506,236688,44384,33906,32056,76807835,10510,32861367,19763,22326,3712,64408000,7927000
784074.exe,177836843,250229522,1377699,172506,50355300,381155,2478,51453789,371391,71222738,1902223,31739895,777948,188800,32618,35596,30693,76537764,9281,31911503,19611,22980,2687,61934000,9137000
7875893.exe,164652563,246211742,887672,143909,48889254,348947,2479,47954964,348092,69122779,1924663,31503860,539993,372428,84158,29602,25007,78227231,8326,34378111,18409,23259,4176,49913000,7986000
7954751.exe,176012391,234943875,1553770,267178,51116998,282102,2870,50677451,268008,70138668,1419715,35315236,694280,145906,24732,45226,36792,61745291,9501,27246203,25498,24586,3848,65426000,4026000
7972688.exe,183590682,269120156,1032265,186062,54105029,362464,2478,55257487,361910,78414728,1884443,32837741,791234,256933,47832,35608,29733,80746339,9854,33530909,20904,20570,3571,63678000,9096000
