@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
252827920,329590,156518911,1011744,156596990,1010852,132093,904682,521042366,962028,254167452,135,555459,783378804,129,3.72,3.1,154202004,127539000,26110000,203805471,0
254942430,267707,156236673,711316,155846624,714916,113353,833209,522299917,1305293,254862154,198,299948,777704148,128,3.66,3.03,157400921,126050000,31012000,177810187,0
259244965,384658,157962690,711137,157126093,710162,146814,860960,511242107,1317907,255923748,0,239943,785099264,714,3.64,3.03,152172310,120035000,31744000,173166708,0
256015209,269134,157150851,704962,157006302,716188,114894,862936,525431737,1308382,255874138,29,308830,780503983,127,3.71,3.08,156983636,116487000,40168000,177921859,0
254917338,273262,156303802,761522,156293073,763624,111536,821001,513400049,1246542,254507802,44,277316,775297138,128,3.59,2.98,154979676,131566000,23099000,174856249,0
253701208,318738,156170748,723685,156021244,724233,107523,777791,514424977,1308594,254801600,26,273250,775048152,128,3.59,2.97,154637919,131276000,23048000,175526893,0
253415548,264412,156656669,902900,156315924,901472,107660,773308,519377364,1097974,252726400,10,500217,778610304,129,3.69,3.08,152715453,120338000,32090000,173399377,0
251860118,290376,156941235,1008236,156652546,1001185,107580,789343,522381817,1324383,251274731,126,530996,774947407,129,3.64,3.01,156932541,127593000,29135000,177304717,0
70590931,213925,46931503,217595,47446799,215167,51149,313181,111535355,15114,71588400,45,4447,248309827,134,0.78,0.64,35121530,32887000,1993000,54739382,0
165307845,5015840,115093714,1291146,112339916,1265858,1622193,3127841,566890496,1903779,162500300,20651,612588,580251023,9006,3.0,2.6,91570175,52582000,38692000,111796688,0
