@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
254456375,322374,158199635,1024511,157313364,1026191,138032,921215,508981690,918113,251210622,100,423576,781908147,130,3.56,2.93,158427883,136702000,20954000,207313578,0
254747964,264396,156446704,732419,156473243,728930,102117,774855,492762708,1284057,253214625,46,10948,774047591,127,3.43,2.84,148851749,122399000,26085000,169498113,0
259206484,440735,160450659,701045,158201656,697753,133766,832437,489672000,1193216,253334745,42,12575,786007237,715,3.42,2.83,147335497,121327000,25856000,167379283,0
256216770,285912,156867794,710867,156797240,712298,108427,814374,517925970,1326104,256390413,7,310571,780022358,128,3.64,3.03,154486636,123068000,31017000,174599331,0
252954746,311045,155953416,700208,155733869,695085,98200,751535,514105518,1125136,254664369,24,291418,775162007,127,3.65,3.05,150483526,121343000,28843000,170109525,0
254181328,319676,156467500,739092,156036402,739792,113246,825146,517239043,1405950,254776118,66,256001,777331015,128,3.61,2.99,155058675,124648000,30156000,175646803,0
252326932,321844,156483826,910816,156391005,908521,105348,813689,516315807,1042567,253068264,24,531276,779848782,128,3.61,2.99,155056463,134746000,19962000,175939090,0
253163663,277517,156663236,997990,156249441,997838,109841,791676,514482620,1302566,252073082,25,467578,777825011,129,3.66,3.04,154485200,126389000,27865000,175472749,0
70517292,209983,46192993,218568,47096002,214947,49243,290457,112109194,17039,71883332,30,4136,249480920,135,0.8,0.66,36002931,34783000,993000,56743634,0
97493776,233667,63913953,459843,63811071,457739,80323,547783,303442621,1413714,97551676,858,313087,335435432,149,2.13,1.76,91967493,62491000,29229000,112112579,0
255941648,331818,158497435,943058,157994235,932806,105214,811149,526326548,1235845,256156024,359,501509,789252955,129,3.72,3.09,157555943,132446000,24895000,177428046,0
253277390,308902,157086714,901883,156991363,900712,101363,772723,505516505,1170001,254430347,147,217177,781046128,130,3.53,2.93,151515763,123156000,28035000,172246225,0
252182300,296072,156337056,912521,155961067,910245,114069,812847,517182379,1301633,252162628,5,465191,777204362,129,3.65,3.03,154917032,119718000,34917000,176868424,0
34045397,257970,19923022,220035,20998040,192413,58406,250031,65560425,23840,40947927,176,6277,115047948,593,0.45,0.36,21570058,19297000,1929000,42720220,0
70296519,193245,44279913,185705,44915466,200935,65273,330864,108625947,25068,73282165,47,3056,251064469,330,0.8,0.66,32124788,27898000,3985000,52088332,0
70535222,194361,46547716,207778,47052025,210182,50375,298259,112529766,18062,72539464,163,4234,249831800,133,0.81,0.68,32631693,32330000,0,52850744,0
66165540,202312,43835564,208937,44345149,207468,55019,313892,105811934,16838,67807242,1137,4248,233582856,135,0.74,0.6,33837691,32553000,986000,54081348,0
69155181,191975,44012279,226785,44444501,224803,53139,328255,108706634,20363,69175080,2247,4930,237013026,133,0.78,0.64,34936690,32658000,2041000,54631508,0
252825673,320281,156092611,716539,156120384,715868,112277,781506,517406363,1217853,254861679,3,297766,773450933,128,3.66,3.06,151906532,116812000,34647000,173533141,0
58766330,177641,57527390,215602,57230631,213545,49433,306710,125484778,22551,60713251,27,6809,294629169,131,0.91,0.75,39441423,38081000,1002000,59705080,0
151978426,365512,36001817,2181533,35844115,2154755,173771,1484322,1110825974,46167,151426467,269,15367,285508797,133,7.94,6.65,327419081,325893000,1002000,377975363,1
35562909,124342,4949248,157870,4895546,167224,49257,418582,262017987,12082,35654909,93,4211,198827976,63,1.79,1.48,76159403,74973000,999000,96597381,1
37911415,133258,10485147,126150,10250524,118334,56076,422660,263834039,18465,37896805,50,4584,256400333,128,1.76,1.45,77891542,77653000,0,97653274,1
26744627,131370,7483355,142652,7109355,128115,41996,303374,158455389,11687,25978691,20,3152,143951415,129,1.09,0.89,49730691,48524000,990000,70181923,1
2861885,155757,7138470,134243,6941524,131911,63611,479967,302618330,17226,2807195,57,4739,239936908,133,2.08,1.71,91980897,91699000,0,113032646,1
326600141,487935,87715591,498017,87984877,506277,244278,2000605,1507721050,59103,326384068,79,19762,977076715,133,10.63,8.86,445406436,444183000,1000000,464688809,1
23062808,123315,3318336,92855,3338914,92416,42435,314588,143841169,10917,22933779,0,1979,100365445,131,1.01,0.83,44803178,41630000,2904000,65447543,1
4765943,320127,112383072,328238,112349930,318567,159194,1291293,986359466,45615,4859867,45,12505,1087647458,131,6.47,5.31,289357679,288062000,996000,309548249,1
224030136,407682,123759438,1222372,123725495,1220842,181716,1410997,1095415116,38497,223827570,3,17544,1193872190,134,7.15,5.86,324638637,323292000,1000000,345133759,1
36349913,212300,7127438,237547,7119558,226170,72937,495488,319161769,14245,36195481,1,6944,159317655,191,2.16,1.78,96110476,94242000,1691000,116012131,1
874154407,9154138,321230086,3447565,317700228,3449896,3604507,13582788,7571321990,1590960,873108798,31084,570203,2446047401,17443,52.23,43.87,2095696560,2092938000,1998000,2115660645,1
70584494,295206,16388460,289224,16419706,285475,138138,1136338,808770325,35420,70649251,111,10056,193835337,131,5.78,4.82,241058288,239892000,999000,262730216,1
211720862,292332,152819459,816541,152890443,735211,139265,1147787,842454627,38060,212775799,200,13129,940171808,134,5.91,4.91,247433323,246172000,1000000,268535680,1
25552689,172341,3773754,146490,3762065,146506,68891,515931,324678942,14873,25376565,23,4434,286487546,136,2.36,1.96,99070571,97919000,999000,119276989,1
382376067,597426,122478998,579585,122496694,581005,283823,2365273,1799843228,65425,382283763,174,22399,2449815777,131,11.87,9.76,532790969,531485000,999000,553339700,1
772152889,2002161,246217530,2004555,246289829,2022889,987765,8441008,7083605718,250331,772757173,1101,94455,2033738638,158,49.91,41.66,2077022602,2076711000,0,2097270414,1
20239155,123710,2700655,101968,2649961,91380,47930,311686,162752316,11654,20373528,10,3246,51760014,132,1.14,0.94,51426569,49174000,2007000,72668822,1
34734649,175763,3606142,135363,3620783,134675,66147,497630,282124518,16645,34313162,0,3668,215132854,129,1.9,1.55,86477799,84182000,2004000,107347094,1
29881424,149506,4914931,205301,4910940,203184,67006,492025,274821336,15278,30160520,0,3448,68377010,132,1.96,1.62,83904977,81660000,1991000,104692988,1
25114792,95265,3430343,91618,3442302,91606,42668,282808,123779445,11711,24922794,0,2109,131976620,131,0.82,0.66,40466486,39112000,1002000,61254906,1
322762079,874025,168707851,1424438,171504497,1300971,186932,979426,494262238,71384,310396296,46,11080,878920625,908,3.46,2.86,153508984,148768000,3993000,202159794,2
468402850,699564,239802892,1606596,239166446,1634792,173507,1259083,740384702,56517,466535686,206,17322,1354369182,1001,5.2,4.33,220852462,218546000,2005000,241955379,2
787034325,6751758,412931862,3682746,411680587,3656733,695481,3821623,1666071615,644474,786519314,1507,53712,2378457022,2867,11.65,9.72,487482245,477210000,10004000,508005252,2
