@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
248453129,296230,153565572,995564,153539265,997763,111729,805232,502455630,1276602,249450898,10422,256866,761411522,128,3.58,2.99,147069919,112667000,34202000,167642138,0
96042248,253382,63390566,455858,63205729,464353,87540,554469,300459821,1304625,96171473,2232,259340,331061131,133,2.11,1.76,88154333,60239000,27650000,108352450,0
252563126,409777,157138489,912401,156612569,918998,117602,862012,524075500,1314514,252060651,280,535692,778636761,130,3.7,3.07,156504058,127380000,28859000,176623008,0
251503482,335560,156535641,916947,156486889,909944,118359,796752,522439643,1316705,252468056,386,516121,776673721,129,3.67,3.05,155941855,122897000,32706000,175659433,0
254186379,295774,156763377,701978,157189544,707272,106475,780917,502472431,1377085,253783286,132,103615,773099673,127,3.67,3.08,147259623,123844000,23157000,167805855,0
253063649,322774,156527845,1004964,156158945,1000696,106175,777450,513865878,934445,253340590,202,564420,778478762,129,3.71,3.1,152246139,126174000,25830000,172410260,0
249569544,338792,154721788,1016620,154809618,1016803,113819,801832,519297587,1071250,250853758,6,501544,765926164,127,3.7,3.09,152681401,114370000,38123000,172371093,0
251457109,310259,156301717,911788,156353378,914754,113160,839615,522226788,1167339,252763963,99,510183,777692594,129,3.68,3.06,154694200,121767000,32669000,175434035,0
253948738,295960,156353039,703948,155948496,696112,99765,758347,501396639,1115142,253584024,169,95934,774389862,128,3.53,2.93,149998224,122925000,26766000,170945627,0
247306941,331665,153175395,934969,153172827,935772,112908,791048,510440831,1061730,249184806,119,489970,761075831,127,3.6,2.98,154047389,126817000,26961000,174477245,0
70122125,247384,46532023,266806,47676344,265854,52136,314338,115126625,17588,72234202,371,5467,250667478,142,0.83,0.68,36413492,32274000,3912000,57076175,0
255733228,269251,157402003,720211,157045431,727736,119105,864061,519852828,1431368,254183294,47,310823,778717595,127,3.69,3.07,156398875,123992000,31998000,177527643,0
