file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
7427522.exe,1619842021,1025868,211408841,1684482,211497810,1687645,475043,3008273,2258587305,166377,1621336423,192,62613,5368041226,4037,16.45,13.79,660959767,652531000,8006000,680774960
7491568.exe,2120464629,1274653,710438052,2125318,710484753,2133861,656862,4089935,2969639344,195514,2110756938,223,61460,5956235469,2663,21.76,18.24,874067059,866736000,6997000,895104393
7743700.exe,3828973327,1816605,1214687142,2589429,1214043760,2585997,899252,6872173,5820925330,254863,3829121804,355,79459,11679608442,1107,42.92,36.06,1706276769,1699482000,5998000,1727307996
7870660.exe,3830608772,1842294,1214676405,2648279,1213128264,2629724,913300,7120821,5818132149,262684,3827079747,448,76252,11686877873,1113,43.43,36.43,1704129513,1698701000,4999000,1725032624
7947064.exe,3428603319,1669904,1014073116,2476690,1013646994,2473091,846467,6372928,5359849993,239325,3426494093,437,77091,9577026918,1107,39.82,33.45,1575941460,1573452000,2000000,1597100866
8030039.exe,4728655712,2439803,1715658707,3111638,1716640340,3097710,1029948,7869966,6301964354,317291,4723946212,384,104410,12687156825,2806,46.73,39.28,1843103102,1834473000,7993000,1863527046
8090613.exe,5224637947,2974938,2036116932,38867930,2035350456,38818664,1472525,11326187,9424602471,368526,5222323287,349,124046,14867730142,2088,69.6,58.44,2759604607,2752289000,5996000,2779374533
8095868.exe,4875260620,2537385,1834487467,3216680,1834622157,3225660,1220786,9700064,7741047002,335570,4868625490,433,109810,14709157519,2083,57.47,48.27,2272812232,2269100000,3000000,2293888732
848046.exe,4773943825,2545357,1834050229,3207306,1833886596,3209587,1216626,9614938,7835310642,329950,4767828146,531,110459,14607527834,2087,57.92,48.59,2304040555,2297178000,5997000,2324346240
8523429.exe,4235792246,2566419,1517859806,3898386,1517982388,3895216,1119437,8397582,6734722033,325831,4237138852,471,115676,12906288443,2813,49.34,41.36,1973642839,1967013000,5996000,1994079106
