@relation problema-weka.filters.unsupervised.attribute.Remove-R3-8

@attribute pkg numeric
@attribute cores numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.57,1.52,0
1.54,1.49,0
1.53,1.48,0
1.56,1.5,0
1.54,1.49,0
1.53,1.49,0
1.5,1.46,0
0.24,0.24,0
0.95,0.91,0
1.55,1.5,0
1.48,1.44,0
1.5,1.46,0
0.07,0.07,0
0.31,0.3,0
0.3,0.29,0
0.31,0.3,0
1.44,1.4,0
0.34,0.33,0
1.46,1.41,0
0.95,0.92,0
1.55,1.51,0
1.47,1.43,0
1.52,1.47,0
1.51,1.46,0
1.47,1.43,0
0.31,0.3,0
1.48,1.43,0
1.02,0.98,0
1.55,1.5,0
1.54,1.49,0
1.47,1.43,0
0.31,0.3,0
1.53,1.48,0
1.5,1.46,0
0.3,0.3,0
1.5,1.45,0
1.47,1.42,0
0.29,0.28,0
1.51,1.45,0
0.94,0.91,0
0.33,0.31,0
0.31,0.3,0
0.3,0.28,0
1.47,1.43,0
1.49,1.45,0
1.49,1.44,0
1.47,1.42,0
1.51,1.46,0
1.37,1.33,0
1.51,1.46,0
0.31,0.3,0
1.45,1.41,0
1.49,1.44,0
0.86,0.84,0
0.31,0.29,0
0.31,0.3,0
1.49,1.44,0
1.52,1.47,0
1.47,1.43,0
0.29,0.28,0
1.49,1.45,0
0.29,0.29,0
0.3,0.3,0
1.48,1.44,0
0.93,0.91,0
1.51,1.46,0
1.48,1.43,0
1.45,1.4,0
1.48,1.44,0
0.98,0.95,0
1.49,1.45,0
0.98,0.94,0
1.44,1.4,0
1.5,1.46,0
0.95,0.91,0
0.29,0.29,0
1.5,1.45,0
0.3,0.29,0
1.45,1.41,0
1.48,1.44,0
2.46,2.37,1
0.4,0.39,1
0.24,0.23,1
0.57,0.55,1
1.27,1.23,1
0.14,0.14,1
1.23,1.18,1
0.37,0.36,1
1.24,1.19,1
1.56,1.5,1
0.45,0.44,1
1.01,0.96,1
3.34,3.2,1
0.31,0.3,1
0.39,0.37,1
0.26,0.25,1
0.17,0.16,1
1.12,1.08,1
2.72,2.6,1
3.3,3.17,1
0.12,0.12,1
