@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-psys/' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-cores/' real
@attribute 'power/energy-ram/' real
@attribute 'power/energy-gpu/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
251138766,268408,155812965,827684,155204227,835759,172250,2534848,509050038,116432,248499452,15090,516959,774723734,130,4.59,1.56,1.51,0.08,0.0,159021502,114682000,43878000,207880441,0
251159267,274244,154571922,665269,154507013,662028,133182,2108611,501456728,114353,251949072,11778,105381,769190031,131,4.13,1.62,1.58,0.07,0.0,135646878,108197000,27049000,149810159,0
243161733,418917,151421876,709127,156633029,718388,185159,2260282,506310050,113033,253358782,205216,110002,758343826,716,4.14,1.6,1.56,0.07,0.0,137529162,110107000,27026000,151685495,0
250677581,289676,154141626,538463,154212692,540561,155854,2144044,506567271,115039,252472260,250008,162884,768487889,130,4.08,1.67,1.62,0.07,0.0,136506156,98089000,38034000,150709830,0
250014298,304589,154433408,633810,154521096,630783,147887,2109078,505491019,115046,252227260,9148,105550,769128714,130,4.2,1.63,1.58,0.07,0.0,136242401,104965000,30989000,150583373,0
250234653,308119,154755016,641266,154800738,642332,169299,2210849,509079407,114527,252228270,305616,105090,767168203,128,4.21,1.64,1.59,0.07,0.0,137482517,112199000,25044000,151832118,0
247588684,303587,154065753,640205,154053891,639531,148870,2086124,508323619,114570,249389892,279271,106316,766477615,130,4.07,1.67,1.62,0.07,0.0,137538078,105234000,32071000,151729977,0
247799026,296159,154166323,713279,154185624,711752,145711,2151953,507501056,114173,249459754,10721,158813,766929007,129,4.06,1.65,1.61,0.07,0.0,137396341,105033000,32010000,151567007,0
68708504,214843,44957115,183685,44942785,184538,147127,793532,95891186,3779,71420200,2589,1729,242149047,134,0.81,0.33,0.32,0.01,0.0,25684055,23460000,1955000,39871308,0
93056875,241776,61672969,432988,61977314,430932,134228,1635452,337698939,110873,93146456,50082,104118,322515693,134,2.68,1.01,0.98,0.05,0.0,91867221,58390000,33222000,105883187,0
248857339,307999,155054871,649586,154931937,648144,131564,2140364,508252489,114370,250281631,219210,105191,770717188,131,4.05,1.67,1.63,0.07,0.0,137063273,112804000,23958000,150978709,0
