file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-psys/,power/energy-pkg/,power/energy-cores/,power/energy-ram/,power/energy-gpu/,duration_time,user_time,system_time,perf_time
6049676.exe,193907632,756442,117806922,1466044,117413071,1484161,262183,2151626,252097192,9096,196532336,8434,2680,589786436,910,2.15,0.85,0.83,0.04,0.0,67939164,63714000,3982000,82453571
6068580.exe,197634352,377798,122777749,1448119,121193199,1413193,170272,1635439,242522319,12179,191036205,11477,2687,593248338,517,2.05,0.8,0.78,0.03,0.0,66930429,64667000,1989000,81394768
6073943.exe,194572389,742620,118448317,1458028,117897738,1482143,247723,2136366,249728113,9451,195959784,5150,2970,588400561,912,2.12,0.84,0.82,0.04,0.0,67500116,65302000,2009000,81741391
6077826.exe,194398261,423539,118753648,1407302,118860412,1567348,178452,1639334,244139629,8392,194959664,11264,2671,591826702,520,2.02,0.79,0.77,0.04,0.0,66112088,63890000,1996000,80307610
6082113.exe,66668222,772258,49882114,2460833,51951271,2127853,254910,1868267,158203140,6864,82615642,1095,2819,273445165,915,1.28,0.49,0.48,0.02,0.0,42950449,42669000,0,57228223
6124881.exe,68531924,402965,46370177,1851659,48413823,1674219,155205,1260167,124201240,6087,73185957,3303,2903,241673301,524,1.06,0.39,0.38,0.02,0.0,33771188,33559000,0,47921975
6178134.exe,191584204,474635,118627516,1371316,117211027,1691903,160036,1597492,245696400,8047,197829944,13506,2744,593094560,523,2.11,0.84,0.81,0.03,0.0,65769595,64488000,1007000,80229603
6322015.exe,195797682,408205,122550710,1458413,122611192,1558672,162292,1610898,244914433,11096,194385966,14691,2777,583731864,518,2.08,0.83,0.8,0.03,0.0,66449752,66224000,0,80900991
6467813.exe,81349056,354754,69085800,1474846,68264531,1436692,161779,1392558,158180318,6668,80944787,3328,2742,330303576,523,1.33,0.52,0.5,0.02,0.0,43498435,41205000,2010000,57733026
6487463.exe,200466933,662042,123508846,1434194,120029661,1408620,247697,2161170,244720769,16081,190037185,7273,2595,597806993,912,2.17,0.84,0.82,0.04,0.0,66526911,64213000,2006000,80785697
6585390.exe,65133131,508158,46360565,1556955,49484860,1432261,155106,1288282,134740630,7639,72409429,1642,1664,241262730,525,1.1,0.43,0.42,0.02,0.0,35985183,32747000,2977000,50456362
6612008.exe,69293162,741880,43438879,1628314,44488611,1487590,224454,1836925,128832001,8060,72908488,1361,1764,252368671,917,1.08,0.41,0.4,0.02,0.0,34581665,33366000,1011000,48720898
6616216.exe,194494474,874778,121668280,1443503,121770145,1422133,316151,2669747,261139786,12337,192263031,18769,9526,584649786,1908,2.23,0.88,0.85,0.04,0.0,69940751,66695000,2986000,84199837
6674693.exe,66713445,509418,43240072,1692145,45760435,1535803,152708,1342607,129284293,6254,73318689,1451,1742,248068316,525,1.03,0.39,0.37,0.02,0.0,35424326,34192000,1005000,49681478
6808918.exe,189491816,469943,120315409,1459459,120183189,1453688,179304,1662795,252877099,7888,196047499,12422,3768,576817309,523,2.13,0.85,0.83,0.04,0.0,68338036,65122000,3005000,82469067
6818440.exe,195219110,419064,121627034,1418593,121458679,1609654,165460,1592248,244876812,10827,194381706,12879,3473,585861334,518,2.08,0.82,0.8,0.03,0.0,65902571,64660000,1010000,79996129
6888530.exe,123753211,6710917,84012171,1752399,85837745,1520585,1288326,7839998,332582563,101924,135640018,13513,10017,419219204,2869,2.64,0.98,0.95,0.06,0.0,89461232,84159000,5009000,103943838
6890460.exe,75712514,1068996,50985985,1440757,49511778,1505059,387347,2015848,149424458,11015,77494069,12097,9442,272347960,3088,1.23,0.47,0.46,0.02,0.0,39825076,34613000,4944000,54399823
719640.exe,131803385,6611214,92248330,2032636,91884790,2262969,1083424,7638296,360051158,80105,137181283,8256,9750,452239636,2868,2.88,1.05,1.02,0.06,0.0,97046539,89824000,6986000,111541327
736324.exe,193362067,447227,121545312,1416895,119908399,1716892,177257,1590677,246938795,10367,197651796,10843,2557,588930418,519,2.11,0.83,0.81,0.04,0.0,66079120,63815000,1994000,80695583
7398850.exe,196335747,730798,119216789,1452992,117390733,1453816,252477,2153050,250805745,9768,194883956,6620,4014,594957036,912,2.16,0.86,0.83,0.04,0.0,67442562,63139000,4008000,81656773
772253.exe,116362695,6738172,79220098,1520188,79504582,1626117,1025574,7188870,322011641,88079,127903328,10110,10367,398485196,2673,2.5,0.94,0.91,0.05,0.0,86967022,82727000,3986000,101518053
7740449.exe,70926957,890825,49650054,1563358,48301179,1554935,230009,1884520,141969271,8855,74083501,10028,8177,255440250,1914,1.18,0.45,0.44,0.02,0.0,38901161,36605000,2033000,53388309
7765486.exe,66199688,442236,43361336,1713194,46131559,1564359,172079,1315665,126938850,5986,73107348,1660,1660,249390457,528,1.06,0.4,0.39,0.02,0.0,34426632,33178000,1005000,48825693
8036296.exe,190131228,455621,121304120,1482604,122054722,1491652,167008,1571151,250563654,7308,195814892,8562,4144,572536570,521,2.14,0.85,0.82,0.04,0.0,67484266,66214000,1003000,81694505
8210107.exe,191745541,754087,122109054,1409691,122892476,1487000,219045,2029014,247104028,7898,192920618,9101,5329,577137859,912,2.04,0.81,0.79,0.04,0.0,67208439,65956000,999000,81693851
8223643.exe,66645293,446362,48537599,1576264,48245017,1480185,177999,1208216,134351241,8474,72649518,1661,2112,243027483,525,1.07,0.39,0.37,0.02,0.0,37521556,36277000,1007000,51588322
8482488.exe,74738732,1357508,55594853,3181428,55882891,3190068,191966,3926737,211673932,8742,78947733,4735,5101,322632382,1011,1.72,0.67,0.65,0.03,0.0,57508633,54280000,3015000,71723777
8589353.exe,117605831,392055,91015833,1099591,82178667,1521881,198910,1703530,168244814,7637,101061298,1299,1357,363092894,530,1.37,0.53,0.52,0.02,0.0,44977588,43588000,1013000,59263806
