1519241.exe,    3.18, ,   0.08, ,   311
1519241.exe,    3.21, ,   0.07, ,   305
1519241.exe,    3.20, ,   0.07, ,   305
1519241.exe,    3.20, ,   0.07, ,   305
1519241.exe,    3.20, ,   0.08, ,   305
1519241.exe,    3.18, ,   0.08, ,   305
1519241.exe,    3.17, ,   0.07, ,   304
1519241.exe,    3.19, ,   0.08, ,   305
1519241.exe,    3.20, ,   0.08, ,   305
1519241.exe,    3.20, ,   0.08, ,   305
1520788.exe,    2.68, ,   0.06, ,   267
1520788.exe,    2.68, ,   0.06, ,   267
1520788.exe,    2.68, ,   0.06, ,   267
1520788.exe,    2.68, ,   0.06, ,   267
1520788.exe,    2.70, ,   0.06, ,   267
1520788.exe,    2.69, ,   0.06, ,   267
1520788.exe,    2.69, ,   0.06, ,   267
1520788.exe,    2.69, ,   0.06, ,   267
1520788.exe,    2.67, ,   0.06, ,   267
1520788.exe,    2.68, ,   0.06, ,   268
1606221.exe,    3.22, ,   0.08, ,   304
1606221.exe,    3.25, ,   0.08, ,   305
1606221.exe,    3.23, ,   0.08, ,   303
1606221.exe,    3.22, ,   0.08, ,   303
1606221.exe,    3.23, ,   0.08, ,   304
1606221.exe,    3.24, ,   0.08, ,   303
1606221.exe,    3.52, ,   0.08, ,   305
1606221.exe,    3.25, ,   0.08, ,   303
1606221.exe,    3.25, ,   0.08, ,   303
1606221.exe,    3.24, ,   0.08, ,   303
1648142.exe,    1.31, ,   0.03, ,   118
1648142.exe,    1.43, ,   0.03, ,   121
1648142.exe,    1.36, ,   0.03, ,   114
1648142.exe,    1.43, ,   0.03, ,   124
1648142.exe,    1.44, ,   0.03, ,   125
1648142.exe,    1.34, ,   0.03, ,   115
1648142.exe,    1.33, ,   0.03, ,   113
1648142.exe,    1.34, ,   0.03, ,   115
1648142.exe,    1.37, ,   0.03, ,   115
1648142.exe,    1.48, ,   0.03, ,   130
1691152.exe,    3.32, ,   0.10, ,   339
1691152.exe,    3.32, ,   0.10, ,   339
1691152.exe,    3.30, ,   0.10, ,   339
1691152.exe,    3.32, ,   0.10, ,   339
1691152.exe,    3.29, ,   0.10, ,   339
1691152.exe,    3.29, ,   0.10, ,   339
1691152.exe,    3.32, ,   0.10, ,   340
1691152.exe,    3.31, ,   0.10, ,   340
1691152.exe,    3.32, ,   0.10, ,   339
1691152.exe,    3.33, ,   0.10, ,   339
1710633.exe,    1.07, ,   0.03, ,   100
1710633.exe,    1.06, ,   0.03, ,   100
1710633.exe,    1.06, ,   0.03, ,   100
1710633.exe,    1.06, ,   0.03, ,   100
1710633.exe,    1.07, ,   0.03, ,   100
1710633.exe,    1.06, ,   0.03, ,   101
1710633.exe,    1.06, ,   0.03, ,   100
1710633.exe,    1.05, ,   0.03, ,   100
1710633.exe,    1.05, ,   0.03, ,    99
1710633.exe,    1.05, ,   0.03, ,   100
1831963.exe,    2.62, ,   0.06, ,   261
1831963.exe,    2.64, ,   0.06, ,   261
1831963.exe,    2.65, ,   0.06, ,   261
1831963.exe,    2.62, ,   0.06, ,   260
1831963.exe,    2.64, ,   0.06, ,   260
1831963.exe,    2.63, ,   0.06, ,   260
1831963.exe,    2.62, ,   0.06, ,   261
1831963.exe,    2.64, ,   0.06, ,   261
1831963.exe,    2.63, ,   0.06, ,   260
1831963.exe,    2.64, ,   0.06, ,   261
1939404.exe,    6.20, ,   0.23, ,   496
1939404.exe,    6.17, ,   0.23, ,   497
1939404.exe,    6.16, ,   0.23, ,   496
1939404.exe,    6.17, ,   0.23, ,   497
1939404.exe,    6.10, ,   0.23, ,   495
1939404.exe,    6.20, ,   0.23, ,   497
1939404.exe,    6.18, ,   0.23, ,   496
