@relation problema-weka.filters.unsupervised.attribute.Remove-R5-7

@attribute pkg numeric
@attribute cpu numeric
@attribute mem numeric
@attribute gpu numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
6.25708,5.041855,0.104141,?,0
6.29303,5.111435,0.101807,?,0
6.105423,4.886353,0.103943,?,0
6.204453,4.982498,0.104218,?,0
6.192215,5.009827,0.101425,?,0
6.198151,4.998154,0.10405,?,0
6.292496,5.094635,0.101913,?,0
6.282806,5.097519,0.101593,?,0
6.219894,5.005722,0.104294,?,0
6.167007,4.937469,0.103409,?,0
6.153397,4.933655,0.103668,?,0
6.29985,5.118439,0.102112,?,0
6.954483,5.753128,0.101776,?,0
6.170273,4.976151,0.102371,?,0
6.179474,4.961639,0.103607,?,0
6.072632,4.866577,0.102707,?,0
6.099228,4.884857,0.103348,?,0
6.166122,4.937912,0.104309,?,0
6.024658,4.820724,0.102997,?,0
6.20018,4.971146,0.10463,?,0
6.179291,4.981232,0.103867,?,0
6.34343,5.141266,0.102249,?,0
6.265457,5.028473,0.105057,?,0
6.357346,5.16951,0.101608,?,0
6.283096,5.065689,0.10434,?,0
7.117783,5.888428,0.102615,?,0
6.793884,5.590134,0.101563,?,0
6.25769,5.075562,0.101273,?,0
6.11824,4.919327,0.102402,?,0
6.261703,5.070541,0.101227,?,0
6.264557,5.074982,0.101608,?,0
6.198502,4.980347,0.103409,?,0
6.189911,4.967911,0.104294,?,0
6.312347,5.122726,0.101471,?,0
6.241882,5.050674,0.101608,?,0
6.244659,5.02269,0.104294,?,0
6.258224,5.04248,0.103989,?,0
6.249527,5.074432,0.101807,?,0
6.284805,5.057404,0.104645,?,0
6.135727,4.922501,0.103561,?,0
6.341965,5.098175,0.105347,?,0
6.247025,5.005981,0.105103,?,0
6.460724,5.184647,0.108078,?,0
6.357819,5.106369,0.106003,?,0
6.25882,5.017181,0.105682,?,0
6.217255,4.985748,0.104965,?,0
6.337402,5.141693,0.101807,?,0
6.305008,5.110046,0.101913,?,0
6.319244,5.076126,0.106049,?,0
6.383591,5.127853,0.107056,?,0
6.255219,5.029236,0.104248,?,0
6.375259,5.185883,0.100876,?,0
6.361603,5.147903,0.102875,?,0
6.25235,5.02002,0.104919,?,0
6.268494,5.051376,0.103195,?,0
6.293625,5.046844,0.105789,?,0
6.484299,5.262115,0.102936,?,0
6.342773,5.097504,0.105972,?,0
6.390213,5.185059,0.102676,?,0
6.334717,5.102188,0.104279,?,0
1.352814,1.086731,0.022537,?,0
1.254395,0.948135,0.025925,?,0
1.244873,0.930923,0.026611,?,0
1.275391,0.988358,0.024246,?,0
1.228683,0.919098,0.026276,?,0
1.245178,0.930542,0.026627,?,0
1.268066,0.978668,0.024597,?,0
1.291565,1.006195,0.024246,?,0
1.32077,1.063492,0.021866,?,0
1.267899,0.982925,0.024185,?,0
3.485504,2.812271,0.057419,?,0
3.343048,2.638565,0.060028,?,0
3.393036,2.676804,0.061096,?,0
3.374207,2.697571,0.057678,?,0
3.335999,2.627151,0.060074,?,0
3.415451,2.734116,0.058029,?,0
3.375397,2.666702,0.060379,?,0
3.390106,2.714355,0.057663,?,0
3.323792,2.62384,0.059708,?,0
3.512665,2.87616,0.053955,?,0
6.478363,5.278732,0.101883,?,0
6.327469,5.082092,0.106018,?,0
6.467392,5.251801,0.102951,?,0
6.442062,5.223129,0.102631,?,0
6.370361,5.122635,0.105988,?,0
6.455444,5.234085,0.103256,?,0
6.446487,5.176437,0.107422,?,0
6.360016,5.104309,0.105637,?,0
6.33873,5.092804,0.105637,?,0
6.508636,5.247696,0.108017,?,0
6.374054,5.167831,0.102615,?,0
6.378326,5.144592,0.104416,?,0
6.469894,5.236176,0.103241,?,0
6.536469,5.312683,0.103561,?,0
6.432526,5.212433,0.103302,?,0
6.421143,5.250824,0.099579,?,0
6.2948,5.043152,0.105621,?,0
6.416519,5.191025,0.102875,?,0
6.414307,5.160492,0.106049,?,0
6.299545,5.058899,0.105377,?,0
6.393829,5.172531,0.103043,?,0
6.429153,5.213226,0.103134,?,0
6.595596,5.417923,0.099777,?,0
6.308502,5.064835,0.10495,?,0
6.44014,5.225876,0.102982,?,0
6.355408,5.103409,0.105698,?,0
6.503082,5.29538,0.102158,?,0
6.346848,5.098129,0.105453,?,0
6.450439,5.235809,0.103348,?,0
6.467499,5.231598,0.105972,?,0
0.37674,0.294174,0.006866,?,0
0.393036,0.302231,0.007523,?,0
0.423203,0.344376,0.006485,?,0
0.424225,0.33725,0.007187,?,0
0.377472,0.2948,0.006821,?,0
0.431091,0.348221,0.006516,?,0
0.375671,0.293152,0.006805,?,0
0.432846,0.350067,0.006836,?,0
0.361038,0.27832,0.006836,?,0
0.419312,0.340759,0.006485,?,0
1.278015,1.018753,0.021835,?,0
1.21228,0.915955,0.024918,?,0
1.28009,1.021164,0.021835,?,0
1.212463,0.933563,0.023605,?,0
1.190002,0.882324,0.02597,?,0
1.297134,1.036926,0.021851,?,0
1.212906,0.934189,0.023575,?,0
1.234726,0.954758,0.02359,?,0
1.213287,0.934418,0.023544,?,0
1.20459,0.938232,0.023911,?,0
1.339401,1.055695,0.023941,?,0
1.368011,1.097153,0.022507,?,0
1.407578,1.156616,0.020767,?,0
1.335114,1.055344,0.023529,?,0
1.324371,1.032501,0.024582,?,0
1.360062,1.075684,0.023956,?,0
1.26976,0.957855,0.02623,?,0
1.268082,0.952332,0.026611,?,0
1.305405,1.013275,0.024597,?,0
1.354324,1.095642,0.021835,?,0
1.352783,1.068924,0.023544,?,0
1.33609,1.056168,0.023544,?,0
1.308838,1.009476,0.025269,?,0
1.33316,1.062332,0.023193,?,0
1.322678,1.060059,0.022171,?,0
1.329025,1.042465,0.024277,?,0
1.294708,0.98674,0.02597,?,0
1.321289,1.049103,0.024216,?,0
1.279099,0.964005,0.026596,?,0
1.291702,1.003738,0.024216,?,0
6.238205,5.046707,0.100845,?,0
6.214981,4.987747,0.103989,?,0
6.264023,5.06514,0.101547,?,0
6.309128,5.113083,0.101196,?,0
6.170425,4.955994,0.102921,?,0
6.414246,5.207565,0.101868,?,0
6.18869,4.969666,0.103302,?,0
6.338226,5.130615,0.102493,?,0
6.231995,5.054855,0.099869,?,0
6.198471,4.959412,0.104767,?,0
1.551178,1.234253,0.026627,?,0
1.582596,1.270355,0.026276,?,0
1.5056,1.152954,0.029709,?,0
1.6306,1.342163,0.024231,?,0
1.454742,1.102554,0.029694,?,0
1.47525,1.15097,0.027283,?,0
1.499481,1.179779,0.026978,?,0
1.594864,1.302505,0.024658,?,0
1.524704,1.208069,0.026566,?,0
1.544418,1.223312,0.026978,?,0
6.34462,5.102386,0.105225,?,0
6.388733,5.146088,0.106918,?,0
6.364944,5.114319,0.105911,?,0
6.398422,5.191071,0.102219,?,0
6.327621,5.073273,0.105667,?,0
6.375687,5.118378,0.106049,?,0
6.38324,5.16124,0.102646,?,0
6.427582,5.209717,0.102905,?,0
6.450577,5.230209,0.103241,?,0
6.322937,5.083023,0.106049,?,0
3.501907,2.816483,0.057968,?,0
3.492508,2.803421,0.058258,?,0
3.412277,2.730835,0.057632,?,0
3.362869,2.646973,0.06041,?,0
3.470901,2.785934,0.057938,?,0
3.407898,2.694702,0.060303,?,0
3.481552,2.78952,0.058365,?,0
3.375717,2.653275,0.061081,?,0
3.443039,2.718658,0.061005,?,0
3.460571,2.774673,0.058014,?,0
6.484665,5.261322,0.102982,?,0
6.251633,5.00412,0.105347,?,0
6.402344,5.141388,0.105957,?,0
6.417374,5.156204,0.106812,?,0
6.369125,5.161179,0.102371,?,0
6.330338,5.0784,0.105392,?,0
6.346558,5.09668,0.105606,?,0
6.457306,5.237259,0.103256,?,0
6.344528,5.139236,0.101959,?,0
6.387329,5.174713,0.102615,?,0
6.374496,5.174881,0.101624,?,0
6.351059,5.103546,0.105499,?,0
6.475021,5.196518,0.107697,?,0
6.356018,5.100937,0.105637,?,0
6.414917,5.148621,0.106918,?,0
6.395325,5.140778,0.105637,?,0
6.389893,5.178131,0.102463,?,0
6.242538,5.012634,0.10527,?,0
6.330536,5.080231,0.105637,?,0
6.46756,5.195831,0.107529,?,0
6.202621,4.985901,0.102844,?,0
6.232971,5.004059,0.103989,?,0
6.248627,5.020447,0.103897,?,0
6.243195,5.005112,0.104416,?,0
6.261414,5.025635,0.104019,?,0
6.340317,5.093842,0.105331,?,0
6.390503,5.18866,0.101288,?,0
6.287308,5.047989,0.104645,?,0
6.376694,5.129623,0.105148,?,0
6.306946,5.070984,0.10466,?,0
6.379944,5.123367,0.106628,?,0
6.394485,5.148422,0.106323,?,0
6.399887,5.158096,0.105072,?,0
6.33252,5.079071,0.106125,?,0
6.48999,5.265213,0.103638,?,0
6.442596,5.177399,0.106964,?,0
6.397964,5.148773,0.105652,?,0
6.307266,5.066132,0.104935,?,0
6.427185,5.224823,0.103241,?,0
6.520035,5.284897,0.103943,?,0
6.36412,5.117783,0.105347,?,0
6.39978,5.152008,0.105103,?,0
6.325974,5.068192,0.106445,?,0
6.375259,5.123947,0.105331,?,0
6.384476,5.163727,0.10199,?,0
6.44223,5.195328,0.10463,?,0
6.301682,5.056381,0.104965,?,0
6.500854,5.27887,0.102905,?,0
6.603088,5.407043,0.09993,?,0
6.38501,5.124817,0.10556,?,0
1.329117,1.040115,0.024216,?,0
1.353043,1.060257,0.024551,?,0
1.351349,1.05838,0.024628,?,0
1.331268,1.042221,0.024216,?,0
1.332718,1.035248,0.024597,?,0
1.346146,1.053329,0.024612,?,0
1.339081,1.046555,0.024597,?,0
1.338593,1.046249,0.024536,?,0
1.352936,1.023987,0.027695,?,0
1.349274,1.056137,0.024567,?,0
6.34996,5.103958,0.10466,?,0
6.282532,5.046387,0.104233,?,0
6.243454,5.001617,0.104996,?,0
6.396957,5.191223,0.101959,?,0
6.291107,5.0457,0.105026,?,0
6.401443,5.183624,0.102448,?,0
6.210419,4.981674,0.103699,?,0
6.402313,5.191864,0.102173,?,0
6.269501,5.021393,0.105209,?,0
6.308594,5.107864,0.100922,?,0
3.981354,3.257156,0.061035,?,0
3.714233,2.981445,0.061356,?,0
3.778656,3.017761,0.062057,?,0
3.787827,3.04425,0.062332,?,0
3.796844,3.059967,0.061783,?,0
3.823929,3.076416,0.062363,?,0
3.702911,2.936035,0.064392,?,0
3.704666,2.930466,0.064835,?,0
3.754745,3.015656,0.062393,?,0
3.722855,2.959213,0.065598,?,0
6.637955,5.438995,0.101288,?,0
6.557861,5.34346,0.102676,?,0
6.370819,5.1297,0.104431,?,0
6.44635,5.226013,0.102936,?,0
6.468704,5.236725,0.102829,?,0
6.356522,5.106888,0.105316,?,0
6.320358,5.06218,0.10524,?,0
6.479385,5.196304,0.107666,?,0
6.385468,5.12973,0.105377,?,0
6.359421,5.14119,0.102722,?,0
6.358109,5.116745,0.104599,?,0
6.273743,5.022705,0.10498,?,0
6.335693,5.086395,0.105286,?,0
6.373093,5.173386,0.101151,?,0
6.23558,4.989792,0.10498,?,0
6.369827,5.121933,0.10463,?,0
6.307587,5.071396,0.104202,?,0
6.33577,5.094055,0.10498,?,0
6.328369,5.090546,0.104691,?,0
6.294113,5.072037,0.103287,?,0
6.352921,5.121002,0.103561,?,0
6.385574,5.138245,0.10527,?,0
6.460754,5.249847,0.101654,?,0
6.330536,5.075317,0.105392,?,0
6.405273,5.19516,0.101166,?,0
6.39267,5.169861,0.101547,?,0
6.34111,5.103683,0.104324,?,0
6.305466,5.057434,0.104675,?,0
6.354965,5.107147,0.104752,?,0
6.466843,5.243698,0.102356,?,0
3.381729,2.674088,0.059464,?,0
3.521072,2.82872,0.058334,?,0
3.449478,2.723358,0.060989,?,0
3.622971,2.918457,0.059082,?,0
3.526108,2.817017,0.058411,?,0
3.52243,2.82811,0.05838,?,0
3.567993,2.871689,0.05835,?,0
3.537903,2.84108,0.058746,?,0
3.419098,2.692688,0.060791,?,0
3.436539,2.708755,0.061142,?,0
1.348358,1.059494,0.024277,?,0
1.323837,1.017593,0.024155,?,0
1.43779,1.181824,0.0215,?,0
1.376907,1.117004,0.021805,?,0
1.37558,1.111542,0.022202,?,0
1.349808,1.06134,0.023849,?,0
1.527176,1.210678,0.026596,?,0
1.35762,1.077209,0.02359,?,0
1.338913,1.050293,0.024231,?,0
1.387466,1.126572,0.021805,?,0
6.574905,5.29599,0.108154,?,0
6.427765,5.208725,0.102905,?,0
6.405838,5.180893,0.103226,?,0
6.617691,5.317978,0.109177,?,0
6.513428,5.27063,0.103867,?,0
6.443344,5.170212,0.106674,?,0
6.360077,5.103546,0.105713,?,0
6.503082,5.23027,0.10701,?,0
6.511703,5.273712,0.103729,?,0
6.481934,5.208466,0.106812,?,0
6.511719,5.288345,0.102646,?,0
6.421005,5.208511,0.102112,?,0
6.417923,5.198151,0.102188,?,0
6.351898,5.100266,0.105392,?,0
6.338425,5.070068,0.10527,?,0
6.50174,5.309921,0.100494,?,0
6.288208,5.056122,0.105438,?,0
6.460068,5.218567,0.104309,?,0
6.30574,5.059357,0.104919,?,0
6.365463,5.130417,0.103561,?,0
1.305939,1.004608,0.025299,?,0
1.359894,1.067368,0.024597,?,0
1.289886,0.976837,0.026306,?,0
1.259064,0.950439,0.025894,?,0
1.41478,1.150391,0.022186,?,0
1.36377,1.086823,0.023193,?,0
1.31105,1.017532,0.024536,?,0
1.349335,1.101456,0.022522,?,0
1.287079,0.96196,0.027328,?,0
1.364456,1.084229,0.023499,?,0
6.518158,5.281647,0.103668,?,0
6.436081,5.168015,0.106415,?,0
6.278015,5.06041,0.10379,?,0
6.519974,5.290176,0.103333,?,0
6.403488,5.161545,0.104736,?,0
6.328339,5.10347,0.105362,?,0
6.364502,5.114594,0.105133,?,0
6.515656,5.286041,0.103195,?,0
6.378403,5.120621,0.105728,?,0
6.420349,5.157059,0.10611,?,0
6.431015,5.212234,0.102646,?,0
6.3694,5.101089,0.106339,?,0
6.498077,5.271683,0.103302,?,0
6.544113,5.315964,0.103088,?,0
6.601135,5.399826,0.099594,?,0
6.491837,5.21788,0.106796,?,0
6.578506,5.342224,0.103394,?,0
6.427139,5.169662,0.104919,?,0
6.323288,5.072205,0.105469,?,0
6.463486,5.211182,0.105057,?,0
1.313095,1.019653,0.024597,?,0
1.334457,1.057465,0.023224,?,0
1.41098,1.154663,0.021469,?,0
1.380646,1.100052,0.023529,?,0
1.400024,1.148239,0.022507,?,0
1.33223,1.043549,0.024231,?,0
1.367661,1.103027,0.022232,?,0
1.360657,1.100555,0.021866,?,0
1.372559,1.07959,0.024628,?,0
1.336777,1.051361,0.023911,?,0
6.533386,5.330765,0.101395,?,0
6.276443,5.052292,0.104294,?,0
6.481064,5.204773,0.106949,?,0
6.292725,5.048157,0.10434,?,0
6.391251,5.147552,0.104721,?,0
6.363785,5.158066,0.100906,?,0
6.634293,5.412415,0.102859,?,0
6.551071,5.328644,0.102692,?,0
6.273209,5.064911,0.103683,?,0
6.430176,5.201462,0.103043,?,0
3.396683,2.680069,0.059998,?,0
3.461044,2.739471,0.060806,?,0
3.513748,2.790741,0.060349,?,0
3.470078,2.785507,0.057648,?,0
3.505524,2.777969,0.061127,?,0
3.442551,2.721176,0.060822,?,0
3.531235,2.833496,0.058609,?,0
3.401962,2.69278,0.059738,?,0
3.598511,2.865112,0.061768,?,0
3.48172,2.792862,0.057983,?,0
1.412186,1.138855,0.022888,?,0
1.37088,1.098175,0.022873,?,0
1.360413,1.080078,0.023605,?,0
1.396774,1.125549,0.024231,?,0
1.299683,1.010391,0.024231,?,0
1.301239,1.029373,0.024277,?,0
1.335373,1.046661,0.024277,?,0
1.340851,1.051666,0.024231,?,0
1.394348,1.125977,0.022522,?,0
1.33432,1.044815,0.0242,?,0
1.406662,1.157974,0.022537,?,0
1.327209,1.046921,0.025238,?,0
1.376602,1.091766,0.02388,?,0
1.302856,1.026443,0.024597,?,0
1.331512,1.043137,0.024261,?,0
1.322403,1.01767,0.024185,?,0
1.393387,1.148422,0.022217,?,0
1.300949,1.011139,0.024246,?,0
1.36528,1.059692,0.024261,?,0
1.311356,1.018311,0.024567,?,0
1.291595,0.985992,0.025589,?,0
1.32991,1.047623,0.02359,?,0
1.299088,1.00647,0.024582,?,0
1.277893,0.989075,0.024246,?,0
1.315308,1.022644,0.024582,?,0
1.293472,1.000427,0.024551,?,0
1.294769,1.006226,0.024277,?,0
1.299759,1.01059,0.024216,?,0
1.342789,1.077637,0.022217,?,0
1.356583,1.092194,0.022232,?,0
6.473221,5.306885,0.098206,?,0
6.405685,5.143738,0.105499,?,0
6.362274,5.123337,0.10434,?,0
6.38475,5.17244,0.101517,?,0
6.430008,5.213318,0.101501,?,0
6.358429,5.099319,0.105972,?,0
6.333313,5.088303,0.103317,?,0
6.395874,5.146713,0.104645,?,0
6.310684,5.063232,0.104782,?,0
6.44545,5.222321,0.101608,?,0
6.288681,5.065186,0.103012,?,0
6.33371,5.087173,0.104309,?,0
6.304977,5.097397,0.103256,?,0
6.283661,5.04451,0.104401,?,0
6.338226,5.116119,0.102203,?,0
6.360107,5.113388,0.104477,?,0
6.4543,5.186539,0.105972,?,0
6.646957,5.366745,0.108124,?,0
6.304962,5.062241,0.104691,?,0
6.355179,5.109802,0.104416,?,0
6.35434,5.117752,0.103317,?,0
