file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
8190404.exe,4720867,157425119,104809451,852369,104115897,842975,1672044,10419642,381689185,197265,150136527,2480,15808,14675,516244730
8224401.exe,5184693,198522337,135703544,1233128,135468315,1268111,1204437,11491143,891402102,402456,201259827,2479,593064,447524,660052070
8269776.exe,4734038,412207922,260348419,1559198,259476678,1554985,1838581,13510135,1110106567,411758,411681106,2471,626557,282566,1272088551
8300854.exe,4705036,405072796,259238928,1561515,258456105,1553926,1864270,13396266,1106342695,404002,406427174,2474,215419,272253,1267812675
8324953.exe,4708459,160002222,107685045,908289,107533838,903242,1878470,11139951,393637377,193782,154527373,2481,7367,23908,523810570
8344240.exe,4820778,412100639,260456687,1563602,259888868,1553752,1837865,13580064,1115580069,423829,409901664,2472,618205,477573,1264942985
8346271.exe,4860951,165679474,102736275,854817,102155804,846572,1735026,10355811,382944347,204899,148022538,2872,6446,26584,525500329
8380396.exe,4720051,138823153,116355735,843355,115567249,836437,1690126,10436730,388261418,209627,133852039,2476,6666,22086,540921329
8407108.exe,4886387,199559019,137096746,1344431,136778302,1339260,1730196,12338737,882686710,430339,200586830,2479,203050,24892,663411866
8457226.exe,4532488,186977633,130209219,1331585,129506356,1342126,1826102,11921188,864462995,378012,192092188,2477,653798,697327,634323754
8459541.exe,5010291,348339295,229070888,1219842,229622056,1203999,1507595,10967984,609798961,139816,381393085,2929,19719,30408,1108221644
8492597.exe,4811212,413274309,260723684,1558628,260175057,1549736,1876900,13416003,1110868100,414666,410748899,2680,622810,680424,1270168732
850185.exe,5690013,392722072,278603953,3329183,278136366,3324564,1032063,12393835,1158286979,354743,409062602,2473,219346,37506,1237166019
8536161.exe,4738011,157374222,105146331,836195,104603402,829301,1664590,10216159,375218685,180232,153242524,2479,7624,26172,526988947
8545589.exe,5226469,198424357,136469360,1260338,135944659,1281871,1395007,11566895,901797001,408290,201279538,2478,587404,540113,659830106
8546342.exe,4935250,115313716,99290081,773822,101882560,765600,1241740,9552442,359239716,105791,156799679,2480,4566,13822,428000057
8634018.exe,4230635,141876276,103688869,740914,102908402,730193,762280,8679001,335785211,89738,147769403,2479,4113,20762,475460450
8693929.exe,4755481,404593754,259234327,1557794,258560479,1548967,1833816,13601935,1114048882,419188,404824701,2474,214169,345483,1259616825
8739063.exe,4746074,156472216,104666861,862387,103794876,852921,1733556,10399841,381878373,199153,148305728,2480,7950,23450,506243181
879858.exe,5155132,198572151,137213307,1240818,136893332,1266318,1294517,11584020,891728242,407776,200497719,2479,589238,457490,663690980
