@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
216406,248552431,156604111,619174,156562968,615118,78013,1915313,504174194,115430,252247924,128,354970,253910,767805973,0
224769,92350861,62567132,393231,62337271,390386,65786,1240464,336162382,110956,93335655,134,514430,5736,324152611,0
220553,248473078,155779314,638481,156056353,632646,132890,1933969,509767796,115705,252327978,127,309230,413544,768727485,0
209582,245846762,155044841,666180,155366545,666680,67492,1774582,502248554,114722,249669940,130,512340,13812,769359062,0
228554,243905878,156003767,647213,156071805,654992,76776,1798691,505888289,115355,249897715,129,309175,245924,766915321,0
208869,245691475,155521448,627023,155527212,626506,72102,1771762,502346339,114727,249046709,130,308464,198341,767222136,0
203674,245726673,155788405,641471,155903585,641332,55681,1792642,498398396,114511,251869706,130,105340,7814,767778258,0
234295,247128949,156508335,639933,156462965,638523,77604,1856974,509474647,115473,252594772,128,309472,335354,769334985,0
178166,93566191,62446987,394816,62632687,393085,65706,1353679,347359288,111361,95112714,136,309236,411818,327092675,0
215642,248130918,155098915,618654,155895471,618774,92247,1923637,512760867,115562,253088737,128,309841,409984,769695517,0
171559,90414816,60985604,388967,61049641,389923,47166,1210577,339204667,110503,90951398,133,309352,334275,317167259,0
209000,248613505,156199973,621776,156138031,621002,52664,1828805,506821911,114959,252209920,129,309221,357261,770178241,0
230387,246658820,156513282,621190,156411945,616250,61462,1760023,505668783,114527,252285776,130,308936,384705,768373099,0
183649,92530608,62109341,394852,62025040,395737,52369,1272647,342403843,110645,92819283,135,308434,378347,322586178,0
140949,62623605,45425639,171872,46213714,168282,69661,682376,93698109,3853,69965675,137,2198,2191,242665462,0
520653,248505372,155799390,635358,156206779,639182,74253,1780790,498984097,114677,252359730,131,512446,8577,768447950,0
227400,244931567,155870590,604797,156130268,604144,56445,1770153,503761781,115392,249915197,128,308961,271676,768228094,0
145463,65432889,50124784,110850,49985020,108908,43681,462156,99542740,3125,72221409,135,2301,3894,251249548,0
248116,248538225,155793940,615931,155841851,625997,92986,1900506,504561363,115978,251424794,130,308330,312549,767814885,0
250921,246739295,156647215,613086,156704983,612204,59630,1819638,508103135,115531,252304604,130,308698,374827,767681940,0
389219,4072703,210508340,239822,210664405,234370,77504,4769606,1433496193,39140,3051928,133,10686,4620,1972528125,1
