file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
7537272.exe,3563158,334172801,210718113,1096056,198256159,1208876,1834165,9312204,489263062,62797,294522513,7058,49073,80483,996358659
7607489.exe,2416401,113955080,64400800,895778,63928996,919090,1396907,9944374,219749268,54145,106553469,1988,4506,9168,398743779
7738068.exe,2698135,310126361,196397137,866194,203578462,868752,1043985,8387300,446972473,40017,340299099,2556,6843,26893,981052744
7780176.exe,3185679,106689732,75768869,744507,72404166,738529,1608027,8091555,241327605,153337,90649693,2378,4711,11845,360365119
7783737.exe,2154536,110276921,68847931,1131322,73190323,1244375,1493081,8941814,206995728,20298,110487977,1808,4258,9984,393922183
7852178.exe,2615231,314797909,193637672,1366733,193630786,1299732,1215985,9193685,460244803,43384,326291187,2063,8334,27318,984230746
7852586.exe,2662698,115486621,67658174,756820,67235451,792325,1395541,7995285,224212416,45509,103270612,2095,4460,9411,406595859
7878917.exe,975752,277499320,185088596,684731,184937723,683872,65417,2855874,338186531,9154,300533462,341,3390,19707,866954062
7887387.exe,2602054,116226087,67209622,964558,66805750,962146,1445568,9646536,229000755,62947,99882505,2041,42551,55167,386012670
7900572.exe,3164038,292005070,208434546,886436,210853026,906992,970427,7960983,432992686,26734,341027546,2049,6376,28650,926088675
8036932.exe,2928189,107678502,79139372,587065,74759692,686776,1200021,9269020,230256635,84537,94351558,2093,42437,27846,355687560
8122852.exe,2580486,111981063,64631721,856881,64085066,854484,1352533,8925652,219489589,43566,103846296,1936,4382,10008,405006840
8193334.exe,2465718,113311527,71949529,809564,71725974,818597,1252740,8084952,235031908,45869,101536419,1958,41738,53514,386891429
8322422.exe,4225436,99025874,89760971,558395,89993604,675547,1487063,9134405,237739690,142025,99837456,2511,6103,13220,332294791
8367374.exe,1585367,293406824,164419458,1181621,167982669,1101379,101995,3878729,362781859,11435,296820359,478,3154,20427,873101444
8402034.exe,3362948,297499471,205708802,859487,206567978,884160,1071494,8462915,437466368,31253,340563914,1848,5794,29390,938917006
8430040.exe,2983149,311353373,195130352,841107,201634962,856167,1224861,8493067,447503957,39852,337613263,2606,5682,32621,985709425
8462887.exe,2772666,282805101,211068905,912499,210733441,916475,633878,6696811,426580589,27168,332671066,1777,7414,18127,905897608
885780.exe,4212177,103031735,92033086,538030,82603324,621406,1882605,9210103,250118930,205552,93188707,3319,4422,12727,341738879
954634.exe,976658,87066114,66076758,201820,62252973,341654,63209,2995470,136561701,5865,81293760,584,2636,2860,287209194
