file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
696848.exe,34442144,453461725,251783509,2852088,252688944,2848697,18506440,62823753,902869811,2387572,473717648,8735,47731,42687,1420162067
7298136.exe,15460108,338912704,236331549,905585,231713324,947616,13665554,36994835,1261818459,1000393,346274734,9353,224297,401553,1151537463
7326811.exe,8548973,344077342,167708186,2788592,167443765,2873454,4916744,17409424,593681783,90641,329517495,6582,11927,13136,1165043144
7370979.exe,6393120,707640169,430627118,3922566,433274241,3956930,3242613,17193934,1445707866,271031,721092442,4615,1005444,105116,2241672553
7372279.exe,7885105,240406716,143483508,2422954,144170642,2426674,5346647,17422293,484403006,50415,260108863,6777,5807,5278,898803100
7372799.exe,5905912,396303145,179605345,3477007,179659141,3476306,3435232,16002275,703729266,68605,395698219,4233,15454,30530,1258720307
7525849.exe,8048111,290362423,148481790,3031793,151766938,3162149,4014436,16674760,569340774,56490,292125653,4230,7602,6938,1127116360
7629352.exe,11769232,424324467,185690319,2874470,185731824,2874118,8173030,26023219,825782418,123899,433468325,11074,19798,68686,1359491933
7629905.exe,6040606,243257370,135349727,2461888,140458587,2597129,3975772,14312545,463856851,61700,251090208,5140,10936,12515,845580973
7632778.exe,7739345,745318022,445460373,3946377,449699498,3981557,7233329,23875743,1490785809,431566,762635889,4036,626803,393342,2365255161
8038851.exe,6357366,773583248,448577285,3726333,440154121,3736379,5798024,19990121,1492186899,302465,745251230,6768,637433,339980,2391544368
8041232.exe,15148563,475683160,249069208,8230753,249803000,8244834,13185964,41609922,1110817122,870026,473331699,4044,25460,43490,1671679138
8173661.exe,7132885,779258638,447482640,4447018,447638480,4446767,3943980,19881544,1621927823,283670,791470290,4614,621173,535470,2468761434
8183565.exe,18310302,784217473,463424840,5961907,458179568,5970236,7185174,32832548,1602241506,389319,783365015,4618,230459,52619,2423753513
8335978.exe,7972202,745650117,435469493,3831413,425540175,3818708,5498902,21450331,1452038851,270185,714914410,6772,218434,30338,2287854339
8402460.exe,12836457,839235772,492568312,4297710,492852877,4266787,12902936,35419073,1754152571,776580,846132902,7943,620149,617075,2513826539
8425134.exe,7204310,396263818,183615285,640067,183592586,638715,3243690,16243765,663106412,189125,416554112,3652,7749,6563,1369982129
8493654.exe,6294970,714339617,430898393,4269166,433591540,4314312,3283367,16938430,1447191601,273224,725866703,4616,624380,704254,2223849133
897413.exe,5695395,258405083,137402387,436079,136983079,450576,4447038,15325341,458158009,44207,258269081,4430,6462,6258,1059497759
904018.exe,7853666,247883612,143096452,2352269,143307260,2352027,4766382,16909450,491849585,57195,256922622,6583,5541,5996,899925826
