@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
208793,248418291,155831748,601258,155931622,601495,56365,1768488,498406348,114854,251934405,129,105029,52051,769116901,0
178596,92430495,62116442,388156,62130318,388177,51120,1220616,337582453,110857,93247018,134,104665,24391,324492123,0
204766,248695425,156131079,649534,156188103,647741,62280,1783974,498698782,114749,252240984,128,104999,8836,768212847,0
248950,246284244,156102103,664270,156040377,660635,53533,1720931,501659878,114195,249491536,130,105009,123963,769754744,0
217110,246616321,154595688,682813,154904114,681998,50068,1750813,501187717,114173,249391836,132,527502,12319,768315442,0
207749,245470428,155670187,622681,155755982,634298,134357,1957932,502369785,115971,249226193,130,105099,12529,767227227,0
260353,247336119,156204369,656369,156425139,651205,74192,1839347,498800901,115294,252050388,129,511469,7926,767762895,0
244590,247883515,156012360,629334,155966268,621401,99950,1891212,505861993,115759,251844373,130,104978,307303,768042750,0
174889,94114751,62775302,387698,62813943,387858,50021,1185220,336010060,111076,95164832,135,104591,6257,327510012,0
205987,248742467,156192039,644854,156132350,642065,53586,1761080,497996761,114447,251861456,131,105117,8507,768410646,0
176856,89787706,61184725,392232,61377544,392633,48566,1247654,345451990,111964,91803146,133,105240,291814,318399537,0
205720,248914502,157220666,670920,156466318,654643,120562,2171534,507568245,117711,251103827,128,104839,263232,768023539,0
219061,248339110,155734625,653847,155884266,650513,94811,1855443,498512775,115079,252151145,129,105242,7880,769213727,0
175421,92411940,61542310,389689,61748641,390548,47718,1220969,335703252,111372,93515552,135,207748,5947,324848447,0
139276,62774542,49448893,163044,49198673,161534,43688,458859,97619442,3784,71330732,136,1171,2721,248269185,0
217828,248156552,154548971,717100,155272899,714887,98412,1953606,509868388,115039,251981474,128,105732,8827,768254515,0
221424,246013940,155536241,596919,155654011,595884,52609,1690695,497043461,113845,249370238,130,105292,112284,768012992,0
133701,65043139,48678887,157251,48579470,155520,54624,488104,100001231,3426,70267890,134,1204,3184,246775177,0
222426,248233186,155897414,643276,155971833,641945,50155,1750406,497600027,114412,251745575,130,104748,8117,766498588,0
234172,248624412,155846682,714794,155796151,713874,52261,1779986,504940271,114347,251525030,130,269247,31582,768091233,0
378084,3771895,210638499,238670,210625871,239758,64998,4916317,1431667554,37504,3005369,135,10343,5246,1969153509,1
54337,2114997,2025654,32011,2035515,30152,8643,591081,176341663,4419,334833,128,1129,371,136959638,1
119938,2651948,3267243,98988,2887969,88889,37934,1661412,429251105,10699,749127,133,2844,1265,58790444,1
110327,5389881,4786341,114951,5198333,109595,30250,1052536,273094603,8559,2770212,127,1766,698,49810901,1
397806,34665087,122770374,312697,122650922,320530,105797,5183773,1570631823,39112,32853073,133,9939,3970,1216267657,1
105446,3363381,2045934,34591,2175332,34998,21569,662734,180335765,5089,463356,134,1225,549,110476601,1
74615,4101707,4000524,562250,3958468,561197,10216,271694,73438743,1834,169185,133,482,938,81652324,1
90484,3456294,2323250,41570,2285003,39834,39125,701229,180507784,5372,407129,132,1201,576,117745983,1
53271,2228239,2379852,45214,2229444,39716,44474,675296,173241433,4378,336696,129,1145,356,103377149,1
271897,8932708,618916,11731,596778,10175,2861,282220,49698926,2798,9229428,133,2567,5848,46144129,1
700960,8681978,6440197,45168,8117544,42362,517788,1917447,114748033,16187,15047036,3860,17581,11320,119049323,1
57365,2079395,2253074,36499,2181368,35055,21102,652457,174223136,4523,340801,131,1144,538,133551057,1
257028,4730624,2774468,122492,2706247,122580,41612,2465362,735751186,18449,1282590,132,4737,2237,98598827,1
95337,3659903,2882102,55373,2574456,47453,35362,818520,186992127,4616,361010,130,1176,423,127998260,1
90159,3271175,2387555,39566,2233906,37266,31226,668670,180163256,5071,342288,128,1113,703,113502488,1
436940,4898058,211665161,273646,211281585,267570,284947,5485630,1539595743,40468,3131887,328,10918,5264,2219285286,1
185739,3176921,2537740,114451,2557219,112469,24184,2258946,669556695,17050,1172034,134,4466,2155,96951576,1
70705,3241791,2052246,34744,2041449,32484,10124,622275,176412404,4715,336448,132,1082,580,133896502,1
91289,3466811,5914693,43142,4870805,37383,35417,598559,107841405,2848,251353,133,688,352,80776272,1
42315,1350356,3746428,32728,3424034,91218,21877,464253,86833407,2987,266604,126,626,333,138576526,1
999467,164786401,141869742,413432,141893036,419801,61998,1142464,257435738,6872,206005927,911,1940,4207,528266724,2
365752,72791703,52267322,1874479,51434454,1856498,44794,1019233,133238998,5023,72508153,525,2245,2287,309326311,2
285196,83499948,48095582,1959677,47693686,1921577,77603,1694914,128592076,5545,75325163,915,2342,2623,322664626,2
1133782,164747477,142964263,139629,142730724,136632,97443,1391784,261272517,11054,210323554,1907,5051,21291,541395415,2
239293,75144010,47234263,2013062,46561518,1960781,29658,1153951,126969264,5533,73581115,526,2304,2278,308688735,2
