@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
208503,249108155,155183760,602025,155655732,602303,55084,1801962,498919389,114903,252518849,130,105228,156842,768840187,0
173486,91673838,62802935,388973,62972930,391152,53917,1241719,342351087,112626,94640057,134,105670,213355,327475189,0
232112,248206116,154476662,644047,154803189,639308,75585,1925998,503472846,115578,251824715,129,309380,323954,770177916,0
214433,246029762,154747383,647296,155252182,644054,81347,1952565,508033390,115386,249966907,131,309181,349488,768279489,0
216432,244828115,154331522,769047,155042045,766814,81865,1979562,512394816,115368,249666279,130,308767,370257,765729698,0
225474,245839898,154633231,560417,154846476,558823,52288,1762009,504389801,114248,248669719,129,308293,408161,766358535,0
245660,248632101,153322184,725837,154128629,719229,80929,1985850,510639013,114703,251392722,129,410688,391949,767561094,0
216139,249269374,154477505,638592,155529490,643645,85802,1791434,498152747,114923,252482909,128,296518,114232,769499606,0
227387,94195248,62614230,392958,62811894,398683,95760,1324788,336520288,111713,95241416,136,515626,5922,328309884,0
298250,248584236,156259140,627198,155988861,621558,85464,1933821,507451478,114690,251287745,129,308537,403599,767313901,0
174493,90296472,61402072,394776,61366455,392645,49021,1263739,342144863,111022,90928747,133,308389,410393,316079490,0
227199,248804464,156257001,661146,156277525,658635,64528,1813046,502435520,115120,252445020,129,105028,8614,769213290,0
205951,249499132,155909023,644425,155866644,637823,84042,1841272,498989056,114444,251526536,129,309035,201862,768109231,0
238004,92332751,62454546,396145,62444630,395098,72920,1308723,339839185,112413,93588056,133,308685,280532,320925053,0
141296,63163640,48679801,161557,48606582,159566,43506,444988,95069227,3673,70806570,137,2371,3215,245668455,0
273467,247963217,156246603,647518,156072340,647308,58313,1833145,509180661,115655,252031368,129,411517,363954,766939831,0
230677,245484405,153775804,722918,154595804,717906,75699,2048169,515271830,115514,249209709,129,588841,382580,768694269,0
157122,63631882,48395292,109303,48422195,107830,43200,452311,97464181,3034,70667644,134,2192,4099,247868847,0
225954,247385097,155298030,653739,155665197,648328,98360,2012042,509177413,114866,252060275,129,105074,408834,767866059,0
280312,248736620,155390267,624537,155744969,626453,58679,1879933,504049753,114949,252223878,130,309462,342164,768498922,0
375329,4301130,210132891,237241,210160985,235717,65973,4767611,1429919435,37807,3013962,133,10129,3651,1971255121,1
130524,3200692,2105285,32085,2055599,29924,11938,607079,175945306,4317,347745,128,1069,348,136989745,1
193124,4020145,2394684,83794,2554509,81748,44275,1576751,430793533,10819,992161,133,2893,1271,59909068,1
115744,5218748,5679254,125595,5373391,118591,51317,1123514,273889733,8641,2288364,129,1672,636,49604290,1
429771,35601006,123055251,347518,123507643,339527,329074,5667613,1576845499,37659,33630726,132,9660,4783,1217392230,1
84722,3380217,2240870,35591,2193022,36303,21122,659056,179432081,4471,376288,132,1272,355,110134627,1
127065,4130766,4060231,547875,3997851,553925,14950,297178,73035286,1881,163412,134,721,1102,82215526,1
60832,1803034,2383981,47216,2265315,41687,41968,728460,179632820,4783,373999,133,1147,556,118857137,1
54564,2496423,2200116,33315,2122168,33414,18363,628782,173407747,4196,332833,127,1063,523,103610877,1
373444,9763956,696968,12770,674140,13881,10492,315718,49709571,3155,9170380,134,2653,5137,40783047,1
681344,8979010,6465113,44192,8128973,43651,539414,1919409,114402340,15951,15082405,3859,6290,18562,121000894,1
75371,3185479,2024961,30419,2174106,32545,18831,604221,176190901,4513,470155,133,1121,342,133220171,1
230308,4649495,2640355,121592,2708394,124645,41242,2426292,736286855,18352,1394360,132,4396,1389,98816299,1
59558,1696431,3107076,61380,2749658,52130,53746,868364,186415191,4574,361263,130,1150,397,128413733,1
56129,1685016,2043898,34066,2025454,33489,8427,632123,179137808,4586,344071,129,1102,537,110310428,1
517663,6253817,210665493,249709,210708168,246288,52694,5000413,1543727249,39104,3893615,327,11304,3819,2221339672,1
174073,2705518,2733711,107700,2637433,104455,35815,2144368,664925024,15517,1116067,133,4081,1222,96363782,1
54187,2704379,2003875,32198,2024496,31223,7812,614954,174376782,4255,334595,133,1068,466,133483031,1
52158,3299976,5703765,39072,4962437,33540,25310,549215,106319856,2659,199173,133,665,212,80969369,1
33838,1925770,3155834,60768,3678458,122137,16525,342341,89139117,2436,205169,129,674,179,141986473,1
1074149,169887832,141615158,100875,137640186,907271,85182,1523411,247563338,6788,183123224,911,1767,3997,528037121,2
342245,73708571,51971901,1834821,51291707,1833944,32993,956286,133208540,4935,72657112,524,2603,2784,308275109,2
467141,72145378,46144139,2002586,46619011,1939785,94985,1714933,128839929,6161,78969353,915,2875,2293,310678423,2
1118882,163632609,142884420,117099,143124934,117078,121981,1662467,261191763,12390,202511018,1906,4097,19003,531555765,2
202225,80617654,47620279,2023374,47345012,2009269,33309,1143725,129855138,5677,73059788,525,2741,2745,314454289,2
445691,164656594,144181225,102883,137518117,943604,115316,1310033,254065773,8190,179932225,523,2413,11132,520679143,2
486072,166949952,140805468,99125,140855447,571677,80877,1240124,246126079,7029,185482720,517,2014,11521,522169546,2
7687258,108265163,109732475,662424,108935111,658135,1233327,7140471,329126682,112648,133853215,2868,5944,23940,370696123,2
1079331,75402453,45929624,2355476,48541790,2286988,221626,1981979,149200382,8281,68382599,3088,5401,8813,275057482,2
8490058,121540371,105332512,2742364,101460128,2814867,759736,6189195,356980334,50887,130599849,2870,6403,16034,411344311,2
628744,169522700,141611572,100212,134339336,1091499,65909,1166904,247106686,6373,178010194,517,2217,9649,531698642,2
887473,168354825,141714914,111259,142240035,208606,109763,1471237,250281811,6633,193865802,911,2242,6803,538121397,2
6459804,99015892,92626720,578298,97166854,591168,1049105,6926517,323693882,135456,119775893,2672,3773,19686,346074242,2
923795,75674722,48181336,2049154,46623473,2003107,149381,1717610,145879728,7252,63919842,1915,6965,10589,265275338,2
182736,79216364,46256327,2003214,46514663,1985989,59673,1198325,127717602,5488,75143919,527,2385,1755,315270045,2
452044,166245782,142875489,107827,137060524,900755,103504,1240815,250441791,7055,180037487,521,2683,10292,522646281,2
1066461,168131778,138607996,105130,133935551,932355,153450,1492851,246517289,8059,178364202,909,2495,9870,519272975,2
375617,76105709,51805536,1828349,51287242,1830784,43304,879324,134535170,5297,71633253,522,2435,2762,307716078,2
1411105,76881961,50430065,3768369,49535259,3770501,90474,3695361,211069210,10054,67724497,1012,4640,7181,321144986,2
192365,118450000,62747422,2554129,57960973,2808057,32637,1495888,168511991,4347,91009214,529,1289,1187,378466679,2
4751988,157348687,105888168,853580,105277995,846012,1630286,10219692,381949013,204831,150091872,2480,5649,22040,514741276,3
