@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
213455,247696068,156349408,600261,156267331,599887,51607,1757020,496491667,114312,251973221,127,106528,8238,767780006,0
189679,91927650,62272684,388730,62332874,389165,48654,1232083,339228488,111387,93606176,133,104737,6020,324440982,0
303802,248690092,154361956,704657,153544696,710925,74922,2040655,510637579,115839,250706362,129,205863,307690,768584205,0
207514,245912129,157041177,671602,156479269,661369,133289,1927879,506893539,114391,249711283,129,105433,118299,768683285,0
252063,244169824,155404777,667076,155557020,664797,53348,1786431,502136666,115066,249377797,129,105132,12986,766565147,0
208149,245017532,154857505,612342,154947580,609283,52726,1791534,502334315,114859,249210237,131,105436,12590,769045190,0
223330,247033876,155035492,630393,155417537,626049,65717,1892641,507352756,114399,251903830,130,105199,307238,768180887,0
280273,249123052,155229719,633550,155408795,636103,57548,1805389,497611912,113798,251570003,130,104881,7171,768446667,0
208742,94371000,63291588,398848,63208093,402934,214754,1470858,342730439,111638,95570804,136,105303,77758,328925683,0
206967,248155302,156160413,624923,156174817,620602,50846,1782387,503921260,114349,251700270,128,104990,206783,766418451,0
179008,90648070,61586151,393910,61387679,392353,71866,1275918,334888278,111155,91167230,135,104909,14773,318252319,0
244274,248634411,152371266,669016,153825566,667027,79717,2009676,497845028,114978,252586228,127,105652,7876,772514897,0
198405,249667901,156824549,646553,156812583,645218,61958,1727162,500168892,114430,253027908,128,105560,7659,771214054,0
176926,92566400,61801177,389246,61796395,387860,47139,1175079,335037970,110583,93231590,135,104680,14260,323322526,0
129309,64264075,48726801,160529,48721062,159957,43483,453425,96583145,3794,71848963,136,1219,2326,249502164,0
223019,249088186,155521302,634008,156049411,647002,208514,2056158,503847185,114426,252516875,129,179926,61843,768776702,0
214888,245644237,155849937,599380,156079298,605231,77633,1822631,498316685,114814,249714967,130,105419,10949,768544255,0
194795,64170262,48866525,113022,48791943,109298,56663,476508,97347340,3007,70596034,134,1229,2826,245514931,0
224714,248314729,156231957,673029,156236809,671246,64833,1791297,499430215,114653,252048689,129,111527,6852,767183243,0
219880,248768897,155621735,608750,155677322,606705,52209,1803396,504434012,114127,251684845,129,104821,263658,768407362,0
407155,5617993,210781077,253300,210937893,246006,93556,5099105,1433631809,38412,3164294,133,10292,4795,1972851092,1
93278,3277717,2318636,40186,2292547,38395,37629,690127,176539280,4972,419639,127,1134,526,137382702,1
262240,6064355,3881572,110208,3254802,95971,92825,1795613,432413859,12362,1039548,132,3662,1716,64318495,1
87990,5087326,5427099,123869,5205267,116542,82608,1277110,274447718,9982,2993822,128,2584,569,49664489,1
412987,35413121,122734921,321494,122659278,321360,116116,5555626,1571862314,41091,32956515,132,11214,4827,1216800894,1
106634,3316088,2140285,33621,2109328,33820,12971,644950,179245159,4398,356391,133,1180,537,110244940,1
79301,4077847,4024739,560055,3977927,562600,12472,287245,73182542,1846,158647,135,681,1042,81708363,1
66203,3128323,2031191,31674,2020103,31948,8964,634164,178532497,4430,351743,134,1170,499,117118128,1
55452,2928666,2206590,34158,2155803,33404,18694,634593,171598537,4517,347622,128,1151,489,102582724,1
187546,10216251,566350,9078,563497,8501,2206,239136,48628331,2637,9006095,133,2255,3801,46134860,1
681191,9721109,8166602,47212,8454389,46299,596033,1931010,112350637,16215,13870307,3860,14544,19195,124164563,1
104697,3165539,2238051,36254,2165240,32966,18450,638976,174799060,4381,336553,132,1222,495,133691950,1
201922,4234082,2589266,118084,2572734,116833,25147,2428633,733821706,17869,1241936,132,4759,2143,98454854,1
82667,3425565,2952301,55687,2628176,48266,30025,841538,188511512,4565,316791,131,1242,563,128478407,1
75057,3313430,2060739,33656,2033634,32187,7902,625011,178108471,4524,305435,130,1150,629,110097759,1
428116,4787979,210606311,241941,210601770,252049,77227,5108376,1536798666,39085,2856297,328,11046,4196,2220164947,1
238406,4073471,2718828,115593,2683216,118787,113215,2493813,672842235,17972,2583934,132,5121,2349,99564382,1
79599,3192773,2021361,31350,2020874,30354,14782,628581,175942496,4544,353223,132,1223,565,133789825,1
90846,3563063,5603398,36662,4655656,37012,49424,594107,106178821,3620,469096,132,712,283,80203238,1
39582,2775733,2933564,74854,3720548,123637,12410,326299,88268766,2494,265158,128,565,277,143060767,1
