file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
6754640.exe,6162361,489329341,541394405,770449,543969380,787630,154076,17446800,853164643,116546,520882664,637,106094,523761,2055700670
6966964.exe,14833398,419671727,321474725,806359,330151746,806865,117126,38029542,592886855,109574,473683962,635,432547,5013,1086544852
7044970.exe,15228407,418846656,177597293,631264,180225828,633806,120025,37382532,601290848,104909,491303777,634,104554,5016,1373642276
709259.exe,7130922,229351164,264708274,714495,265146600,701459,38563,15232143,469307590,112890,231466404,630,293059,311350,1031785892
7100116.exe,7113313,461238366,404946845,998667,405609559,998556,49152,13854562,726825818,122547,441308652,625,317254,228421,1719723090
728955.exe,723140,298581835,411260450,1024065,411947693,1025128,45772,2347037,562794618,14035,310396891,645,4610,3674,1199275929
7298421.exe,16201102,420165074,167871198,408445,167423736,408194,119132,36236979,410555348,10809,437605957,1547,2953,3270,1460357040
7327846.exe,15090117,430179511,181565067,637764,183466195,632539,95028,37263365,673744367,112781,460802402,624,334062,364854,1462287509
771691.exe,6257950,288235852,398950616,530071,394611680,532817,55271,14450994,580074614,15357,286408013,628,4962,3850,1333942169
776425.exe,14660938,495286746,360735745,847398,367087609,844556,137086,38564987,682710436,113008,556744928,625,317503,314551,1323654788
776644.exe,17425494,534840408,343220327,776104,343788458,773392,477368,39328220,800039933,124546,527533017,1120,311055,185827,1504101231
7914657.exe,7137351,357501849,347097959,696485,347517272,696296,53380,12933574,401234018,10504,343636642,631,3101,3700,1422146881
8106119.exe,258028397,520701081,205831776,705052,216647670,703631,128663,81902099,1149945571,125784,557434601,1080,106324,212191,1877364202
8319654.exe,140050605,439604238,136050852,442527,141457666,463679,430479,76897429,1157722416,30330,436115481,2094,7612,4446,1732476803
8377831.exe,16433375,425886770,163836558,390832,163837105,391782,91577,32297979,398633939,10331,428591349,634,3479,3353,1440508662
8485745.exe,17177324,553021542,286649721,513622,286559879,519713,36765,33263615,469412528,13706,553701326,631,4489,3110,1322549256
8601270.exe,16213727,524319709,222078114,784419,221155586,738734,189670,34915257,736148434,122783,525231369,623,398062,357606,1724416726
8645057.exe,16275277,420820651,163587616,398910,163292429,394370,61513,32529368,401450183,9725,428116722,630,3087,3379,1436765573
8668510.exe,6878769,281840817,235639447,370002,236618890,370012,44464,13599047,397636770,10107,290185961,1126,3571,3134,1089929578
971881.exe,16662101,586340888,294684794,748157,294691924,749250,55365,33550014,713032942,124492,568654208,630,109742,6133,1273578664
