nome,slopes,lincoeff
1071,0.011794022447128872,0.04088006298567925
1082,0.009618885610384136,0.20282508317281278
1084,0.012471996602695311,-0.06288536547458785
1091,0.01106842036472995,0.0012606661566602437
1131,0.010918741349288472,0.5638927298483996
1132,0.01125308261863065,-1.3358405272222664
1140,0.011649190574344737,1.0898313309605123
1158,0.012168686038594735,0.8734022264614892
1190,0.011894670255909894,0.1326885054861743
1192,0.01223405022019328,-0.01655077265881096
1195,0.012069826877142455,-0.3887489917711989
1197,0.012667996387746284,-0.24819193805516732
1619,0.01120779025723304,0.6682150290304792
1621,0.012318188144218228,-0.3511501217082585
1628,0.010735499232408463,4.155904172705395
1632,0.012276374524902989,-0.6534680181565212
1634,0.012047007318522093,-0.5874633182909361
1635,0.009920901548250614,2.1743272574699786
1636,0.011658484690553085,0.6163465238738793
1639,0.012185437326064292,-0.9290558933839824
1640,0.011921854644806417,0.27749350343920637
1642,0.010781340950827284,0.01361220995747447
1643,0.012617051693748833,0.03426362911978586
1666,0.012288537485763383,-0.05392760680972555
1667,0.012831225399581446,-0.35142645347705476
1668,0.01257438943604245,-0.34712219757517815
1669,0.012427599303053236,0.18107925751147358
1671,0.012565556603075794,-0.9253195934964402
1672,0.012366976970135973,1.8692605098507067
1674,0.011122474237137544,0.47843144495716317
2166,0.012152626752735648,0.06537956028918683
2185,0.011103876571383823,-0.025616413681977722
