@relation problema-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute pkg numeric
@attribute cores numeric
@attribute psys numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.57,1.52,3.89,130855398,91920000,38547000,0
1.51,1.47,3.94,130519819,91598000,38829000,0
1.52,1.47,3.72,127320739,94453000,32810000,0
1.49,1.45,3.9,128073526,95970000,31990000,0
1.5,1.46,3.94,129506125,98566000,30864000,0
1.73,1.68,4.29,133226678,106124000,27031000,0
0.24,0.24,0.74,28437847,25500000,2942000,0
0.94,0.92,2.43,86553722,57640000,28820000,0
1.51,1.47,3.73,128921314,93928000,34973000,0
0.29,0.29,0.77,24563486,21508000,2932000,0
0.23,0.21,0.76,30063222,29040000,1001000,0
0.31,0.3,0.77,24972877,24914000,0,0
0.31,0.3,0.79,24722055,22740000,1977000,0
1.47,1.42,3.92,128250444,101108000,27029000,0
0.33,0.33,0.87,27477107,25374000,1951000,0
1.53,1.49,3.82,130669397,96742000,33909000,0
1.47,1.43,3.93,129428328,91301000,38125000,0
1.47,1.42,3.94,129013433,102006000,27001000,0
1.46,1.42,3.9,128995720,95988000,32996000,0
1.44,1.39,3.88,128369661,100506000,27863000,0
1.46,1.41,3.92,128449395,100253000,28070000,0
1.49,1.45,3.83,129097421,94972000,33990000,0
1.5,1.46,3.75,128495664,95357000,33124000,0
1,0.96,2.72,93152474,65093000,28040000,0
1.5,1.46,3.76,128484771,107392000,21077000,0
1.51,1.46,3.77,128630032,104688000,23928000,0
0.92,0.89,2.62,91512058,67357000,24128000,0
1.5,1.45,3.82,128448862,107362000,21071000,0
1.51,1.46,3.82,128830628,95861000,32952000,0
1.45,1.41,3.9,128070150,97950000,29984000,0
1.49,1.43,3.76,127264645,97192000,30059000,0
0.31,0.3,0.79,25012356,24999000,0,0
1.46,1.42,3.91,128107306,108079000,20014000,0
0.3,0.29,0.77,24801333,24709000,0,0
1.48,1.42,3.92,129058759,104978000,23995000,0
1.45,1.41,3.86,127622182,90720000,36886000,0
0.3,0.29,0.75,24908955,22918000,1992000,0
1.46,1.42,3.88,129040197,96040000,33013000,0
1.49,1.45,3.92,129422681,99318000,30096000,0
0.3,0.3,0.77,24981032,22972000,1997000,0
1.49,1.43,3.96,128224399,102173000,26044000,0
1.49,1.45,3.89,130765273,98662000,31890000,0
0.3,0.29,0.76,24878815,22892000,1990000,0
0.32,0.3,0.81,25039043,22919000,1993000,0
1.46,1.41,3.88,128404477,104327000,24075000,0
1.45,1.41,3.82,128247443,100193000,28054000,0
1.45,1.42,3.86,128812683,93830000,34936000,0
1.44,1.4,3.87,129488930,106571000,22907000,0
1.44,1.4,3.87,129416106,102526000,26875000,0
1.48,1.42,3.92,128095850,96996000,30998000,0
0.31,0.3,0.77,25079041,24038000,1001000,0
1.47,1.43,3.87,127576345,106628000,20927000,0
0.31,0.3,0.8,24638941,22654000,1969000,0
0.86,0.84,2.16,67556900,66547000,1008000,0
1.46,1.42,3.9,128376826,91166000,37067000,0
1.44,1.39,3.9,130811882,92175000,38654000,0
0.86,0.85,2.16,67876199,64875000,2994000,0
0.3,0.29,0.75,24804327,21814000,2974000,0
0.3,0.29,0.77,24660656,24648000,0,0
1.48,1.44,4.02,129191050,103142000,26036000,0
1.46,1.4,3.88,128328078,94131000,34047000,0
1.45,1.41,3.9,127934943,95878000,31959000,0
0.31,0.31,0.8,25703673,25689000,0,0
0.3,0.3,0.77,24769236,22782000,1981000,0
1.46,1.41,3.9,127737118,103602000,23908000,0
0.95,0.93,2.47,86924012,65690000,21223000,0
1.46,1.42,3.87,128493090,104570000,23901000,0
1.49,1.44,3.91,128890442,94836000,33941000,0
1.43,1.39,3.9,132663858,104741000,27931000,0
1.5,1.45,3.97,128441029,104351000,24081000,0
1.47,1.43,3.97,129225518,102077000,27020000,0
0.9,0.86,2.48,89474383,60316000,29153000,0
1.49,1.45,3.98,129255797,99191000,30058000,0
1.42,1.37,3.89,132417549,101325000,31099000,0
0.3,0.28,0.77,24626320,24578000,0,0
1.5,1.46,3.98,131296221,93209000,38085000,0
1.35,1.3,4.07,149134426,110428000,38799000,0
0.28,0.28,0.76,25913399,23926000,1993000,0
1.46,1.42,3.88,127816387,90860000,36943000,0
1.44,1.4,3.9,128236240,102138000,26035000,0
2.51,2.41,6.66,253147496,251814000,1003000,1
0.46,0.45,1.26,46507523,46409000,0,1
0.37,0.36,1.07,40039970,39027000,1000000,1
0.24,0.24,0.68,25474711,24499000,979000,1
0.63,0.61,1.69,61069079,59992000,999000,1
1.3,1.25,3.43,127460949,126348000,994000,1
1.24,1.2,3.47,135023005,133827000,998000,1
0.38,0.36,1.07,39519822,37554000,1944000,1
3.38,3.24,9.48,372338621,372225000,0,1
1.31,1.27,3.48,130371992,129331000,1002000,1
0.48,0.47,1.33,46944337,45940000,998000,1
1.02,0.98,2.95,114134008,114117000,0,1
3.35,3.22,9.49,372473452,371437000,1001000,1
0.32,0.32,0.92,34448898,33352000,1010000,1
0.27,0.26,0.75,27279964,26276000,1010000,1
0.17,0.17,0.5,18412156,16468000,1937000,1
1.13,1.09,3.06,113143981,113043000,0,1
2.69,2.58,7.71,305930815,305916000,0,1
0.29,0.28,0.81,28696844,28688000,0,1
3.35,3.22,9.47,372236548,371113000,1000000,1
0.12,0.12,0.36,13490318,11592000,1932000,1
0.46,0.44,1.26,46020138,44949000,998000,1
1.09,1.05,2.99,111058868,110029000,1000000,1
3.4,3.27,9.63,372335216,370324000,1996000,1
0.27,0.26,0.78,29132418,27119000,2008000,1
0.21,0.2,0.56,20146546,19137000,1007000,1
0.42,0.41,1.23,46604753,45611000,991000,1
1.58,1.52,4.67,184262550,184048000,0,1
0.57,0.55,1.58,58676905,58680000,0,1
0.44,0.43,1.26,46762110,45764000,994000,1
3.19,3.08,9.01,312171114,309071000,3000000,1
3.39,3.25,9.96,397129891,396085000,1000000,1
0.47,0.45,1.32,47703121,46705000,993000,1
0.47,0.45,1.31,47028791,45907000,997000,1
0.48,0.46,1.36,48730030,47617000,992000,1
1.78,1.71,5.14,202510961,201419000,997000,1
0.3,0.28,0.81,28533779,28503000,0,1
0.17,0.16,0.48,16653066,15587000,974000,1
0.56,0.54,1.52,55011896,54997000,0,1
0.29,0.28,0.81,28477000,28476000,0,1
2.92,2.82,7.75,294117187,293109000,1000000,1
0.31,0.3,0.84,30020459,29024000,1000000,1
1.81,1.74,5.22,205460490,203454000,1994000,1
0.22,0.21,0.68,25496628,23250000,1937000,1
0.15,0.14,0.42,14975837,14854000,0,1
0.23,0.23,0.62,22489530,20525000,1954000,1
0.87,0.84,2.37,87389884,85331000,1984000,1
2.64,2.54,7.64,302117177,301137000,997000,1
0.15,0.15,0.46,17214013,17220000,0,1
0.41,0.39,1.3,50492823,47523000,2970000,1
0.16,0.16,0.43,15189929,14084000,1006000,1
0.15,0.14,0.4,13993543,12997000,999000,1
0.27,0.25,0.72,24566549,23571000,982000,1
0.26,0.25,0.72,25694324,23717000,1976000,1
0.5,0.49,1.4,51852547,49853000,1994000,1
0.23,0.22,0.72,26818775,26794000,0,1
0.47,0.45,1.33,48670495,46676000,1986000,1
0.19,0.18,0.65,25491944,23544000,1962000,1
0.46,0.45,1.3,48599623,47600000,991000,1
1.66,1.6,4.56,169236095,161210000,8010000,1
0.12,0.12,0.37,14407906,13381000,1029000,1
0.49,0.47,1.36,48939606,47752000,994000,1
0.9,0.86,2.52,95761224,94739000,997000,1
2.26,2.17,6.5,256553862,256556000,0,1
0.49,0.47,1.33,48354031,47348000,1007000,1
0.99,0.96,2.64,95303841,95306000,0,1
0.25,0.24,0.71,24602741,23617000,984000,1
3.3,3.16,9.5,374510370,372386000,1996000,1
0.46,0.44,1.28,45376031,44252000,983000,1
1.09,1.05,2.99,110410681,109290000,1002000,1
0.69,0.67,1.93,70511736,70490000,0,1
3.65,3.51,10.45,403791733,403623000,0,1
0.45,0.44,1.28,46565924,46540000,0,1
0.2,0.18,0.56,19212643,19173000,0,1
