@relation problema-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute pkg numeric
@attribute cores numeric
@attribute psys numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
0.45,0.44,1.27,46502292,45488000,1010000,1
0.42,0.4,1.21,44644204,42647000,1983000,1
0.32,0.3,0.87,29866474,23789000,5947000,1
1.7,1.64,4.6,171056448,169975000,999000,1
0.45,0.44,1.26,45202545,44091000,1002000,1
0.24,0.23,0.65,22786999,21784000,990000,1
0.82,0.8,1.98,64400737,59059000,5005000,2
0.82,0.8,2.02,65633436,58671000,6960000,2
0.95,0.93,2.41,85604571,81600000,3980000,2
0.4,0.39,1,34234935,32206000,2012000,2
0.5,0.49,1.24,41131351,41109000,0,2
0.79,0.77,1.97,63173860,60983000,1999000,2
0.83,0.82,2.06,67830126,62811000,4985000,2
0.81,0.79,2.02,64882493,64866000,0,2
0.4,0.4,1.02,34880192,32878000,1992000,2
0.4,0.39,1.05,34807669,33708000,1021000,2
0.76,0.73,2.01,66079841,62062000,4004000,2
0.8,0.78,2.03,64062784,64025000,0,2
0.82,0.79,2.08,66687059,64691000,1990000,2
0.75,0.72,1.97,67923087,66918000,998000,2
0.38,0.37,0.98,33450604,30511000,2952000,2
0.34,0.33,1.01,38026030,36022000,2001000,2
0.38,0.37,0.99,32488061,28477000,3927000,2
0.38,0.37,0.99,32647977,30586000,2039000,2
0.39,0.37,1.02,32602776,29623000,2962000,2
0.84,0.82,2.13,68355209,66328000,2009000,2
0.79,0.77,1.98,63998982,61991000,1999000,2
0.8,0.78,2.01,62944812,61935000,998000,2
0.42,0.41,1.11,37196562,36152000,1004000,2
0.79,0.77,1.98,63017722,61994000,999000,2
0.78,0.76,1.94,63082735,61061000,2002000,2
0.84,0.82,2.09,68148075,68017000,0,2
0.8,0.78,2.03,63963011,61950000,1998000,2
0.4,0.38,1.03,33481116,32482000,984000,2
1.44,1.4,3.7,117897356,115907000,1998000,2
0.82,0.79,2.09,65392242,63283000,1977000,2
0.92,0.89,2.44,85058302,81032000,4001000,2
0.8,0.77,2.02,64827383,61720000,2986000,2
0.38,0.38,1,32586014,30440000,2029000,2
0.81,0.78,2.04,64778615,62657000,1989000,2
0.86,0.83,2.16,68540730,65548000,2979000,2
0.81,0.79,2.01,63807354,60768000,2988000,2
0.46,0.44,1.15,37935324,36917000,997000,2
0.39,0.38,1.03,34371747,33261000,1007000,2
0.39,0.38,1.02,33499660,32458000,1014000,2
0.8,0.78,2,63996175,59982000,3998000,2
0.86,0.83,2.14,68781647,62777000,5978000,2
0.4,0.39,1.01,32946517,31931000,997000,2
0.37,0.36,0.97,32237298,31210000,1006000,2
0.4,0.39,1.02,34438124,33419000,1012000,2
1.44,1.4,3.75,127395379,122354000,5014000,2
0.79,0.77,2.02,63776804,61765000,1992000,2
0.39,0.38,1.01,34478033,32407000,1964000,2
0.39,0.38,1,34683770,31692000,2971000,2
0.43,0.42,1.12,36704662,33719000,2975000,2
0.8,0.78,1.99,64097738,63066000,1001000,2
0.8,0.78,2.04,63977594,60961000,2998000,2
0.73,0.71,1.99,68227874,65114000,3005000,2
0.38,0.36,0.98,32417134,30471000,1965000,2
0.38,0.37,0.96,32261510,30233000,2015000,2
1.4,1.34,3.61,123459907,121385000,1989000,2
0.8,0.78,2.04,63784168,60777000,2989000,2
0.79,0.77,2.05,64106830,62988000,999000,2
0.78,0.76,1.97,62823261,59894000,2945000,2
0.46,0.45,1.24,41966872,39931000,1996000,2
0.38,0.36,0.98,32427851,32327000,0,2
0.8,0.78,2,63995053,63978000,0,2
0.5,0.49,1.29,41370276,38403000,2954000,2
0.8,0.77,2.05,63621013,60586000,3029000,2
0.4,0.39,1.05,34873414,33855000,995000,2
0.38,0.37,1,33655525,29682000,3957000,2
0.82,0.79,2.12,66961170,64884000,1996000,2
0.39,0.37,1.03,33446040,32336000,1010000,2
0.8,0.77,2.05,64884700,63879000,998000,2
0.73,0.71,1.94,64199971,61176000,2960000,2
0.92,0.89,2.44,84710049,77604000,7054000,2
0.44,0.43,1.15,38625006,30673000,7915000,2
0.97,0.94,2.73,91592203,86454000,4968000,2
0.78,0.76,1.98,63617804,62593000,1009000,2
0.8,0.78,2.08,64598412,61602000,2980000,2
0.88,0.84,2.37,82235756,78083000,4004000,2
0.81,0.78,2.06,64453131,62426000,2013000,2
0.81,0.79,2.07,64001970,61986000,1999000,2
0.41,0.39,1.07,34818314,32811000,1988000,2
0.64,0.62,1.7,54725026,52722000,1989000,2
0.52,0.5,1.35,43016991,41010000,2000000,2
1.06,1.03,2.97,98319112,90813000,7063000,3
1.21,1.17,3.12,106175354,100112000,6006000,3
0.95,0.9,2.62,89216631,87171000,2003000,3
2.56,2.46,6.63,238407271,182252000,56077000,3
1.75,1.7,4.67,152171411,145035000,7001000,3
2.96,2.87,8.22,279801677,217811000,61946000,3
2.62,2.53,7.11,252982170,194942000,57982000,3
3.04,2.93,8.39,283872646,230820000,52958000,3
3.09,2.99,8.57,285406283,222432000,62839000,3
1.02,0.99,2.78,97823661,94773000,3024000,3
1.06,1.02,2.87,96397458,90411000,5961000,3
3.14,3.03,8.66,291502910,231360000,60093000,3
1.27,1.22,3.36,114189746,110155000,4005000,3
2.31,2.22,6.61,228518644,171557000,56853000,3
3.06,2.96,8.5,289051608,236022000,53005000,3
2.33,2.25,6.23,227240905,165365000,61763000,3
2.4,2.32,6.38,227629401,140372000,87231000,3
1.21,1.17,3.38,113930227,106908000,6993000,3
0.96,0.93,2.64,91033474,83980000,6998000,3
1.07,1.03,2.8,96000879,90966000,4998000,3
1.05,1.02,2.78,94793387,89862000,4937000,3
2.29,2.22,6.48,226134759,172056000,54017000,3
3.16,3.06,8.49,287839869,219852000,67954000,3
3.11,3,8.48,285524067,215594000,69868000,3
3.06,2.95,8.84,306737377,245707000,60927000,3
3.56,3.43,10.09,342600468,275543000,66889000,3
0.92,0.87,2.71,103070899,94052000,9005000,3
1.73,1.68,4.53,147956592,140901000,7045000,3
3.07,2.97,8.4,285073872,222260000,62791000,3
1.71,1.66,4.53,146522039,141365000,4977000,3
1.07,1.03,2.94,97249765,92207000,5011000,3
1.06,1.02,2.86,96991935,92924000,3996000,3
1.84,1.78,4.89,159700243,149702000,9980000,3
1.03,0.99,2.89,95509076,89381000,6025000,3
3.12,3.02,8.84,302342462,239234000,63061000,3
1.01,0.98,2.85,98260239,88350000,9927000,3
1.19,1.14,3.29,109904240,104844000,4992000,3
1.06,1.03,2.8,96169851,93124000,3004000,3
3.3,3.2,8.99,302842594,235755000,66930000,3
3.25,3.15,8.81,295429453,234238000,61062000,3
1.14,1.1,3.16,106430615,101276000,5013000,3
2.97,2.86,8.22,276454907,211198000,65061000,3
1.04,1,2.89,96808385,93786000,2993000,3
1.05,1.01,2.95,96412597,93401000,2980000,3
3.08,2.98,8.53,288280509,214177000,74061000,3
3.13,3.03,8.57,288457493,225271000,63075000,3
0.97,0.94,2.6,89764584,83749000,5982000,3
0.99,0.97,2.82,96589450,90616000,5974000,3
3.92,3.78,11.08,373039874,309989000,62997000,3
0.97,0.93,2.68,90672519,83671000,6972000,3
2.28,2.2,6.53,226068161,164973000,60990000,3
0.99,0.96,2.83,95325474,85367000,9926000,3
2.09,2.02,5.43,180249318,171219000,9011000,3
1.11,1.07,3.08,103673516,95647000,7970000,3
1.01,0.98,2.81,95369062,90324000,5018000,3
1.03,1,2.9,96389361,94332000,2007000,3
3.15,3.05,8.61,286597771,231663000,54920000,3
2.41,2.33,6.66,232224427,178146000,54044000,3
3.1,2.99,8.57,287563242,234614000,52913000,3
2.34,2.25,6.57,228870678,168825000,59938000,3
1.07,1.04,2.82,97636926,93564000,4024000,3
0.97,0.94,2.62,90505298,87394000,3013000,3
1.04,1,2.84,94816162,89795000,4988000,3
2.35,2.27,6.65,228386957,159180000,69078000,3
1.06,1.03,2.82,96255140,92071000,4003000,3
1.39,1.33,3.67,124243987,117161000,6950000,3
2.3,2.23,6.55,224547712,157328000,67140000,3
3.05,2.95,8.39,282567529,228400000,54094000,3
0.97,0.94,2.73,98113304,94092000,4003000,3
3.09,2.99,8.49,284515588,227389000,57097000,3
1.04,1.01,2.92,97340000,91202000,6013000,3
2.26,2.18,6.4,218848528,169862000,48960000,3
1.78,1.73,4.71,152921954,147839000,4994000,3
3.13,3.02,8.6,286385684,233464000,52878000,3
1.04,1.01,2.89,95856983,89847000,5924000,3
2.34,2.26,6.61,227184104,159366000,67730000,3
0.98,0.94,2.77,91315213,86270000,5015000,3
3.06,2.97,8.5,287397677,231295000,56071000,3
1.01,0.97,2.85,96000701,90893000,4994000,3
2.34,2.25,6.5,224854541,171860000,52957000,3
2.11,2.01,6.14,214586415,76880000,7302000,4
1.21,1.17,3.34,115380248,108400000,6961000,4
2.67,2.57,6.93,227449113,130841000,12077000,4
2.08,2,5.59,182808849,83073000,15013000,4
2.63,2.55,6.89,226289460,133294000,7957000,4
1.06,1.03,3.03,104440371,98392000,6024000,4
1.87,1.81,5.08,168724030,75824000,7981000,4
2.83,2.74,7.64,254746385,161986000,7042000,4
1.2,1.15,3.46,116591448,108421000,8031000,4
2.85,2.76,7.61,253708514,162671000,6024000,4
2.63,2.54,6.92,229950629,137053000,7002000,4
1.89,1.83,5.05,167500343,71406000,11063000,4
1.15,1.11,3.25,112061230,101025000,11002000,4
2.7,2.61,7.01,229085270,132970000,10997000,4
1.1,1.05,3.07,105865796,101817000,3992000,4
1.99,1.93,5.41,179531424,84313000,10037000,4
1.91,1.84,5.16,169491384,74884000,9984000,4
1.86,1.79,5.11,166018478,71530000,9934000,4
1.91,1.85,5.11,169965411,76608000,8064000,4
2.65,2.56,6.95,223715856,128352000,11213000,4
2.1,2.03,5.75,195919626,99098000,12011000,4
3.18,3.07,8.36,281274035,183102000,13007000,4
1.89,1.83,5.14,169570570,74419000,10056000,4
2.77,2.67,7.34,238405746,142922000,10064000,4
1.88,1.82,5.08,168815271,78203000,6221000,4
2.12,2.03,5.83,195526491,99217000,11305000,4
1.11,1.07,3.16,108963586,100941000,7995000,4
2.06,1.99,5.56,182219913,166070000,16006000,4
1.87,1.8,5.14,166221104,73525000,6955000,4
2.07,2,5.69,190157400,93685000,10963000,4
1.85,1.78,5.04,166604473,69332000,12057000,4
1.95,1.88,5.17,173729453,168625000,4988000,4
3.71,3.57,9.94,345950944,247868000,12646000,4
1.87,1.81,4.96,164243416,67658000,11939000,4
1.85,1.8,5.02,163458689,67311000,11051000,4
2.69,2.6,7.06,228605210,135066000,8595000,4
1.96,1.9,5.42,179754688,77246000,16751000,4
1.84,1.78,4.95,163130770,154011000,9000000,4
1.85,1.78,5.01,163463119,68755000,10111000,4
1.05,1.01,2.96,101456361,99387000,2007000,4
2.54,2.45,6.91,229853643,133778000,11064000,4
2.77,2.67,7.63,263779831,166028000,11847000,4
1.92,1.85,5.25,172229561,77262000,10034000,4
1.85,1.79,5.24,174861829,77814000,11163000,4
2.62,2.54,6.88,223268654,126335000,12256000,4
1.82,1.75,4.88,159596702,154559000,5018000,4
1.33,1.28,3.75,128194433,119151000,9011000,4
1.92,1.84,5.27,174027869,79298000,9517000,4
1.86,1.79,5.06,165956489,70181000,11028000,4
1.83,1.78,4.89,162755446,154736000,7986000,4
2.12,2.05,5.91,197680732,102033000,10239000,4
1.81,1.74,4.89,159386462,63850000,10904000,4
2.09,2.01,5.79,193205979,102598000,6035000,4
2.59,2.5,6.91,215155840,120986000,8994000,4
2.65,2.56,7.18,226055696,132913000,7994000,4
1.07,1.03,3.19,114154431,105132000,9011000,4
1.89,1.83,5.21,170483388,73796000,12211000,4
2.18,2.1,6.24,205781676,112029000,9002000,4
2.21,2.12,6.23,206307930,112719000,9057000,4
2.61,2.52,6.98,224934811,125832000,13981000,4
1.92,1.84,5.28,169701890,75762000,8352000,4
1.7,1.64,4.64,150876925,59284000,7015000,4
3.24,3.13,8.65,284635042,182269000,17025000,4
1.19,1.14,3.39,114505799,107457000,7029000,4
1.88,1.81,5.14,165442612,72178000,8346000,4
2.56,2.47,6.95,229433476,133148000,11012000,4
2.14,2.06,5.94,198636571,101553000,12065000,4
1.27,1.21,3.63,123656820,116621000,6977000,4
1.85,1.8,5.06,166635669,74475000,6951000,4
1.86,1.8,5.11,166979230,75974000,5997000,4
2.62,2.52,6.95,222520021,129697000,8043000,4
1.84,1.78,5.14,169022703,75873000,7986000,4
2.31,2.22,6.31,214219073,115207000,13962000,4
1.12,1.08,3.23,111461085,108379000,3010000,4
2.63,2.54,7.04,225972489,130862000,9989000,4
1.24,1.18,3.56,119702960,110701000,8975000,4
1.89,1.82,5.2,170472123,80372000,5023000,4
1.11,1.08,3.2,108288440,102232000,6013000,4
2.66,2.57,6.98,223872688,131085000,8005000,4
1.92,1.85,5.22,170678620,79903000,5293000,4
2.06,1.96,6.09,218793739,71670000,10949000,5
2,1.93,5.32,180465601,74869000,21198000,5
2.61,2.53,6.92,223324771,129573000,8970000,5
1.97,1.89,5.27,174503639,79582000,10416000,5
1.91,1.83,5.13,171482476,77038000,9318000,5
2.65,2.57,6.91,225258448,129786000,9983000,5
1.91,1.84,5.09,174119095,78241000,11034000,5
1.88,1.82,5.17,169326611,69927000,13985000,5
1.55,1.48,4.32,148627474,138220000,9943000,5
1.96,1.9,5.16,173443231,74522000,13772000,5
2.16,2.09,5.87,196452660,98408000,12772000,5
1.9,1.84,5.17,170527501,73151000,12024000,5
1.41,1.36,4.04,141097036,135054000,6002000,5
2,1.93,5.44,180244901,79795000,15590000,5
1.87,1.81,4.98,166359761,71971000,9996000,5
2.47,2.39,6.73,229137545,218048000,10952000,5
2.23,2.16,6.06,203258742,201253000,2002000,5
1.87,1.81,5.04,169464341,77235000,7021000,5
2.21,2.14,6,203487959,194457000,9021000,5
1.87,1.81,5.08,167138100,74366000,8039000,5
1.44,1.39,4.12,144615889,138501000,5978000,5
1.85,1.78,5.1,167948173,73830000,8979000,5
2.67,2.58,7.06,230176560,133998000,10711000,5
2.06,1.99,5.7,193649433,100995000,6999000,5
2.39,2.3,6.57,221997537,123161000,14018000,5
1.88,1.81,5.12,170068382,76850000,7984000,5
2.17,2.1,5.95,202204309,198172000,4003000,5
2.35,2.27,6.34,217414584,209302000,8011000,5
2.72,2.62,7.14,231070065,130080000,14280000,5
2.1,2.02,5.82,198172391,104219000,9018000,5
2.03,1.96,5.49,181677822,79490000,16856000,5
1.84,1.77,5.12,168959678,74750000,9091000,5
1.9,1.83,5.16,168748766,74607000,9296000,5
1.43,1.37,4.08,140157206,134123000,6005000,5
2.6,2.51,6.84,222040781,129340000,8021000,5
1.92,1.85,5.2,171841646,76425000,10454000,5
2.83,2.74,7.62,251295278,153171000,12013000,5
1.82,1.76,5.12,174614977,76264000,13271000,5
1.93,1.86,5.18,171926282,78488000,8050000,5
1.86,1.8,5.07,167204754,69402000,13075000,5
1.91,1.84,5.25,173134190,77549000,11078000,5
1.86,1.8,5.09,167507324,71258000,11040000,5
1.58,1.51,4.55,157381379,148332000,9020000,5
2.25,2.18,6.13,206463811,198407000,7976000,5
1.56,1.5,4.55,158776495,151615000,6982000,5
1.38,1.31,3.97,137542304,129476000,8029000,5
1.91,1.84,5.28,174649780,79094000,10012000,5
2.82,2.7,7.96,275005727,262959000,11998000,5
2.11,2.04,5.86,197172939,98922000,12989000,5
3.63,3.5,10.52,354572847,261208000,7936000,5
1.62,1.55,4.61,160436056,153392000,7017000,5
2.56,2.48,6.73,215324761,123675000,5909000,5
1.87,1.8,5.12,164716621,72165000,7309000,5
2.37,2.28,6.46,212536079,204563000,7982000,5
2.17,2.09,5.92,198842644,106704000,6372000,5
1.86,1.8,5.14,168318250,79282000,4014000,5
1.93,1.85,5.25,174694830,75455000,15261000,5
2.91,2.82,7.77,250722738,150517000,15592000,5
2.59,2.5,6.93,226871228,129978000,11998000,5
3.63,3.49,9.98,335816615,314788000,20985000,5
2.55,2.47,6.9,226246600,128299000,13030000,5
2.16,2.08,5.9,196524097,100931000,10317000,5
2.43,2.33,6.64,224682964,214486000,9976000,5
1.59,1.53,4.55,156236183,139187000,17022000,5
2.63,2.55,7.01,228051689,132407000,10030000,5
2.67,2.58,7.11,230807771,135147000,10197000,5
1.75,1.69,4.73,154146842,62724000,5946000,5
2.62,2.53,7.01,226204131,130785000,9983000,5
1.86,1.8,5.07,168309742,73859000,9105000,5
1.78,1.72,4.82,156680313,61236000,10038000,5
1.9,1.83,5.18,170835578,74750000,10963000,5
1.92,1.86,5.24,170429961,77108000,8011000,5
1.89,1.83,5.16,170623680,79251000,6019000,5
2.59,2.51,6.89,222065608,126944000,9995000,5
2,1.93,5.47,181512520,80319000,17067000,5
2.64,2.55,7.03,223823435,128894000,9462000,5
1.7,1.64,4.71,158888511,64187000,9949000,5
1.89,1.83,5.13,169255420,71169000,13031000,5
1.83,1.77,4.96,162419699,67374000,10055000,5
1.92,1.85,5.24,174344598,81424000,7698000,5
3.09,2.99,7.74,244916798,235530000,8982000,6
2.43,2.37,5.94,191312286,185283000,6009000,6
0.9,0.88,2.32,79593379,74527000,5035000,6
3.29,3.17,8.91,325679016,305527000,20034000,6
3.48,3.33,9.35,337160761,316089000,21005000,6
3.01,2.92,7.54,249297555,238260000,11012000,6
2.75,2.67,6.76,218106232,213064000,5001000,6
2.69,2.59,7.2,242071723,108268000,9022000,6
1.45,1.41,3.79,133302264,126262000,7014000,6
3.06,2.97,7.54,248245734,236201000,12010000,6
1.7,1.64,4.44,154021340,143988000,9999000,6
1.4,1.35,3.65,129500254,122496000,6971000,6
0.96,0.94,2.45,81297073,75243000,6019000,6
2.14,2.07,5.36,178825812,86395000,7896000,6
2.41,2.34,5.94,190129735,187818000,1998000,6
3.27,3.18,8.32,280637243,271433000,9014000,6
0.99,0.95,2.53,84739357,74727000,9963000,6
3.16,3.06,8.21,268226806,261166000,7004000,6
0.86,0.83,2.24,73071624,66960000,5996000,6
3.37,3.24,9.46,332641156,314634000,17979000,6
1.2,1.16,3.17,104997579,95971000,8997000,6
4.9,4.73,13.25,449296339,432083000,17003000,6
1.5,1.44,4.04,144066163,131165000,12917000,6
3.03,2.93,7.65,252823161,247781000,4995000,6
4.85,4.68,13.16,445252436,430210000,15007000,6
4.89,4.73,13.37,451566827,437548000,13985000,6
4.83,4.67,13.16,446805634,428774000,17990000,6
0.87,0.84,2.31,75140842,71106000,4005000,6
3.46,3.32,9.85,347366509,323326000,24024000,6
2.93,2.82,8.04,272268184,168119000,18990000,6
4.73,4.59,11.58,370730830,362326000,7985000,6
0.77,0.75,2.01,66538985,60556000,5956000,6
1.98,1.91,5.59,194401225,186329000,8014000,6
4.7,4.55,12.78,432859573,413804000,18991000,6
3.36,3.22,9.5,346578008,332566000,13981000,6
0.85,0.83,2.26,74408030,69368000,5026000,6
0.82,0.79,2.17,70981038,66884000,3993000,6
3.41,3.27,9.92,349324242,330192000,19011000,6
3.85,3.7,10.79,378858383,358692000,20038000,6
4.9,4.72,13.26,447380679,431325000,16012000,6
0.79,0.77,2.07,67665539,65617000,2019000,6
4.88,4.71,13.18,448049088,432006000,16000000,6
3.48,3.33,9.95,352920045,332869000,19992000,6
2.37,2.3,5.84,185801159,184725000,1003000,6
0.94,0.91,2.41,79839712,70835000,8979000,6
2.95,2.85,7.47,239908306,221882000,17990000,6
2.87,2.78,7.2,230062696,226011000,4017000,6
3.86,3.75,9.89,314675881,215723000,13466000,6
3.9,3.76,10.43,362375476,329291000,33029000,6
3.59,3.44,9.94,350875467,318855000,31985000,6
