@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.88,1.81,0.10,0.00,5.07,194231003,192137000,1991000,1
0.70,0.68,0.03,0.00,1.82,65183274,64173000,1002000,1
3.27,3.16,0.17,0.00,8.73,333022356,331923000,999000,1
15.86,15.30,0.80,0.00,41.52,1564687612,1562621000,1999000,1
0.39,0.38,0.02,0.00,1.06,37728201,35735000,1985000,1
0.62,0.61,0.03,0.00,1.70,62552405,61541000,992000,1
0.24,0.23,0.01,0.00,0.67,23669697,22623000,1028000,1
1.33,1.27,0.07,0.00,3.50,130029274,130017000,0,1
8.71,8.39,0.45,0.00,23.21,884745619,883667000,1000000,1
0.51,0.50,0.03,0.00,1.37,49056368,48041000,1000000,1
15.80,15.24,0.80,0.00,41.15,1562761918,1561501000,999000,1
0.26,0.24,0.01,0.00,0.71,25807189,23748000,1979000,1
1.05,1.01,0.06,0.00,2.97,115005213,114002000,1000000,1
1.24,1.20,0.06,0.00,3.29,121935277,121927000,0,1
15.78,15.23,0.80,0.00,41.55,1564076885,1562763000,999000,1
0.34,0.33,0.02,0.00,0.95,35038358,33049000,2003000,1
0.29,0.29,0.01,0.00,0.76,26737621,25716000,989000,1
0.49,0.47,0.03,0.00,1.54,62170437,60163000,2005000,1
7.97,7.69,0.40,0.00,20.81,783385498,782024000,998000,1
0.72,0.70,0.04,0.00,1.91,69586754,69472000,0,1
0.57,0.56,0.03,0.00,1.53,56396594,55376000,1006000,1
3.30,3.19,0.16,0.00,9.10,314818373,309799000,5012000,1
15.69,15.15,0.79,0.00,41.30,1558788274,1557523000,999000,1
0.58,0.55,0.03,0.00,1.51,54655696,53658000,993000,1
0.56,0.55,0.03,0.00,1.48,53751223,52622000,992000,1
0.62,0.59,0.03,0.00,1.71,62914557,61791000,996000,1
3.14,3.03,0.18,0.00,8.85,346558288,345411000,998000,1
0.49,0.47,0.03,0.00,1.35,49495043,48501000,989000,1
0.33,0.33,0.02,0.00,0.86,30827608,29825000,994000,1
0.84,0.82,0.04,0.00,2.21,80527008,79527000,994000,1
0.52,0.50,0.03,0.00,1.41,49034368,49021000,0,1
7.91,7.63,0.41,0.00,21.20,809460112,807445000,1998000,1
0.42,0.40,0.02,0.00,1.11,38261891,37252000,1006000,1
4.28,4.15,0.20,0.00,10.62,384430284,382425000,1997000,1
0.34,0.33,0.02,0.00,0.94,34300654,33265000,1008000,1
0.18,0.18,0.01,0.00,0.59,22939370,22929000,0,1
0.43,0.42,0.02,0.00,1.14,40227444,38261000,1962000,1
1.08,1.05,0.06,0.00,2.97,113292361,111154000,2002000,1
8.36,8.05,0.45,0.00,22.85,879477670,878340000,999000,1
0.21,0.21,0.01,0.00,0.59,21205738,21078000,0,1
0.53,0.51,0.03,0.00,1.46,53930229,52929000,998000,1
0.34,0.33,0.02,0.00,0.89,31161437,30147000,1004000,1
0.19,0.18,0.01,0.00,0.54,19741084,17765000,1973000,1
0.83,0.80,0.04,0.00,2.16,77926462,76925000,999000,1
0.77,0.73,0.04,0.00,1.98,69519684,68516000,1007000,1
0.70,0.68,0.04,0.00,1.90,69342200,68325000,1004000,1
0.30,0.30,0.02,0.00,0.81,28785926,28779000,0,1
0.58,0.56,0.03,0.00,1.60,59471695,58474000,991000,1
0.25,0.25,0.01,0.00,0.71,25694522,24698000,987000,1
0.64,0.61,0.03,0.00,1.79,64919801,62808000,1993000,1
2.09,2.02,0.11,0.00,5.69,217310246,211308000,5980000,1
0.17,0.16,0.01,0.00,0.46,15679515,15677000,0,1
0.65,0.64,0.03,0.00,1.82,67427844,67422000,0,1
1.57,1.51,0.08,0.00,4.23,158997048,157880000,999000,1
5.48,5.31,0.24,0.00,13.23,463746072,461605000,1998000,1
0.54,0.53,0.03,0.00,1.51,55428502,55314000,0,1
7.60,7.36,0.33,0.00,18.61,655644747,655522000,0,1
0.38,0.37,0.02,0.00,1.05,38077651,37075000,1002000,1
15.36,14.82,0.77,0.00,40.09,1505977235,1504781000,999000,1
0.64,0.62,0.03,0.00,1.68,60260443,59242000,1004000,1
1.13,1.09,0.06,0.00,3.05,115670776,114667000,997000,1
0.85,0.82,0.04,0.00,2.27,84053642,82841000,998000,1
3.82,3.68,0.21,0.00,10.55,412398970,410396000,1997000,1
0.53,0.51,0.03,0.00,1.45,51908669,50904000,998000,1
0.34,0.32,0.02,0.00,0.88,30897484,29801000,993000,1
0.50,0.49,0.03,0.00,1.36,50791414,49786000,995000,1
0.72,0.70,0.04,0.00,1.92,70670492,69661000,995000,1
0.90,0.87,0.05,0.00,2.34,79153694,71119000,8013000,1
1.94,1.88,0.10,0.00,5.20,190738691,189567000,997000,1
0.69,0.66,0.03,0.00,1.84,66357657,65347000,1005000,1
0.30,0.30,0.01,0.00,0.80,28114069,27016000,1000000,1
1.37,1.33,0.06,0.00,3.27,108183855,103777000,4030000,2
2.01,1.95,0.08,0.00,4.78,162805166,159797000,2996000,2
4.26,4.14,0.20,0.00,10.46,364454711,358438000,6007000,2
0.85,0.82,0.04,0.00,2.20,79309004,75325000,3964000,2
