@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-store-misses' real
@attribute 'LLC-stores' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-store-misses' real
@attribute 'dTLB-stores' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
295692,271954691,144791524,1581156,26975,161510,38174,97024,163756686,622359,164039502,618040,108405,2443167,516713865,117121,266737335,1310,144518538,129,106774,13516,837663149,160793529,131193000,29042000,222833688,0
228357,266899705,141163275,1432162,29244,150442,9658,65359,165430629,509536,166244425,503375,82336,2017927,512299419,114697,270697333,953,143509905,129,105129,8532,823388548,138113210,98549000,39218000,152326610,0
399756,272043167,142409829,1587525,25996,147519,45530,94929,159512818,557604,164054899,560846,147647,2269743,519360299,112115,282067962,4294,150296572,714,100350,235579,858277993,141045781,105048000,35676000,155566234,0
229888,267238150,141384972,1341797,26310,141581,8918,62251,164440021,510108,165502144,507452,86200,1948682,510879508,115035,269958365,1101,143224019,128,104893,13394,821372408,138824075,104544000,33852000,153077935,0
220526,267255074,140880168,1369319,25691,146588,12109,64641,165378772,542790,166309970,541634,77237,2042010,512433654,115744,270925417,1074,143445642,129,105118,8079,821428491,138653897,104220000,34072000,152699685,0
220827,264265730,141050694,1358244,26907,143257,9046,64619,164805894,599356,165631711,594371,122058,2126291,516157923,116445,267516378,1152,143137845,130,104943,12635,818804871,139282684,106979000,31993000,153641304,0
266710,262320593,140500827,1407172,27708,145544,10142,66008,166124361,594221,166527002,593723,86739,2040258,517400183,115810,267843104,1083,143333531,128,105466,13930,820519928,139400372,103055000,36019000,153800796,0
160619,65871732,29643915,455706,18763,78957,1729,11109,52399119,21649,52189674,22895,66509,541687,96972546,4358,75075703,254,33080334,138,2810,2497,260091205,26015363,24687000,987000,40370894,0
176478,95593180,44562722,1004012,24779,124233,9766,35935,64123801,265554,64135974,264324,52434,1278539,343465138,110961,96369310,706,44735833,134,104347,307042,332311666,92787270,64337000,28147000,106983184,0
227068,264228977,140681517,1346104,27242,141256,9544,57432,167450786,584650,167137807,579613,91817,2007147,518893417,116501,267933233,1174,143653784,131,105534,12727,823794097,139895861,104681000,34893000,154213674,0
