@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-store-misses' real
@attribute 'LLC-stores' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-store-misses' real
@attribute 'dTLB-stores' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
312570,265176107,141086010,1583345,29201,160124,32004,102521,167518622,532153,167484765,532636,101872,2082240,526295418,117398,269368301,1310,144618233,130,311176,174418,828088290,147009730,111520000,34850000,191236962,0
276182,265866678,141029336,1393425,29083,144992,11805,64910,165461896,551204,166217614,543427,82801,2019096,512687362,114602,270193395,1048,143176178,129,104982,211638,821018063,138634386,105520000,32850000,152914272,0
396749,275042245,143569398,1600175,24982,146429,45097,93220,158983009,544625,162943559,542477,147966,2221686,518230705,112967,280170660,4254,149789990,715,292088,311259,856648176,141136212,109808000,30946000,155351092,0
253077,266363334,141188787,1333972,27793,140645,9254,64405,164802004,543141,165795845,541762,88757,2005162,512569092,115303,270421269,1072,143310364,128,309087,152494,820812489,138766685,104577000,33863000,153082549,0
227784,267189757,141240446,1372906,29724,152651,22391,77304,168740990,558165,167749124,558096,143235,2578322,530788243,119266,269657931,1291,143234035,130,309902,411259,820643126,141779466,109377000,32110000,155960629,0
238627,263213180,140722388,1375060,28422,145769,9290,54583,165347434,533450,166114298,532563,79173,1978636,519033088,116111,267817532,1071,143218343,128,308837,326654,819761121,140164394,111868000,27967000,154324320,0
232911,263623596,140791264,1437286,28752,147347,9376,52561,167412536,519455,166077611,515896,80747,1994646,519605784,115686,266080985,1154,143203187,131,309073,413749,820340208,140968277,108678000,31905000,155094958,0
128390,67825901,29718297,453815,21361,83386,1630,13835,52033315,22769,52013028,23457,49202,469089,96174552,3737,75303835,212,33050364,137,2303,3337,259352624,25659735,24354000,1014000,39911906,0
192326,95823449,44644331,993320,24951,121480,5840,35469,64161679,262236,64147054,264569,54187,1248455,336929696,110684,96430485,702,44842794,134,458130,33278,333623308,91034115,62804000,27913000,105373511,0
249089,264128285,141373344,1395041,28667,146238,9078,53573,167243838,524528,166043080,524124,81307,2017728,519753277,115738,266647133,1078,143605606,130,309515,323495,824763740,140722809,110540000,29875000,154982113,0
