@relation problema
@attribute 'pkg' real
@attribute 'cores' real
@attribute 'ram' real
@attribute 'gpu' real
@attribute 'psys' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
1.51,1.47,0.07,0.00,3.95,129304622,103713000,25173000,0
1.58,1.53,0.07,0.00,4.01,134244543,97163000,37062000,0
1.58,1.53,0.07,0.00,3.95,130568121,100358000,30107000,0
1.57,1.53,0.07,0.00,3.82,130885701,102832000,27954000,0
1.53,1.48,0.07,0.00,3.77,130920148,100929000,29979000,0
1.52,1.48,0.07,0.00,3.93,131238532,96305000,34749000,0
0.31,0.30,0.01,0.00,0.75,24924501,24005000,960000,0
0.96,0.93,0.05,0.00,2.48,88720745,68766000,19932000,0
1.51,1.47,0.07,0.00,4.02,131058317,102041000,29011000,0
0.30,0.30,0.01,0.00,0.82,24991155,22982000,1998000,0
0.32,0.31,0.01,0.00,0.83,24980877,22971000,1997000,0
0.31,0.30,0.02,0.00,0.77,24879319,22885000,1990000,0
0.31,0.30,0.01,0.00,0.82,25046654,20032000,5008000,0
1.52,1.48,0.07,0.00,3.87,131116732,108083000,23017000,0
0.35,0.34,0.02,0.00,0.86,27825040,23829000,3971000,0
1.55,1.50,0.07,0.00,4.03,133808399,106834000,26958000,0
1.52,1.48,0.07,0.00,3.91,131648274,100413000,31128000,0
1.54,1.49,0.07,0.00,3.81,131026841,112013000,19002000,0
1.54,1.49,0.07,0.00,3.87,131827003,88183000,43596000,0
1.54,1.50,0.07,0.00,3.85,131997871,108985000,22996000,0
1.50,1.46,0.07,0.00,3.95,131185655,104141000,27036000,0
1.51,1.46,0.07,0.00,3.96,131768037,104763000,26939000,0
1.56,1.51,0.07,0.00,4.08,133848186,105870000,27965000,0
1.01,0.98,0.05,0.00,2.63,91822536,62860000,28935000,0
1.57,1.53,0.07,0.00,3.86,132185049,97134000,35048000,0
1.58,1.54,0.07,0.00,4.12,134404144,110333000,24072000,0
0.98,0.95,0.05,0.00,2.56,89633846,53768000,35845000,0
1.55,1.51,0.07,0.00,3.84,132626640,104636000,27902000,0
1.49,1.44,0.07,0.00,3.99,130755394,104683000,25921000,0
1.54,1.49,0.07,0.00,3.89,130671586,102499000,28137000,0
1.50,1.45,0.07,0.00,4.08,133167433,106017000,27004000,0
0.30,0.29,0.02,0.00,0.80,25107024,24087000,1003000,0
1.50,1.46,0.07,0.00,3.91,130608456,95704000,34892000,0
0.31,0.30,0.01,0.00,0.78,25301640,24178000,1007000,0
1.51,1.46,0.07,0.00,3.96,131493110,96353000,35128000,0
1.49,1.45,0.07,0.00,3.90,131009026,92889000,37954000,0
0.31,0.30,0.01,0.00,0.77,25266894,23239000,2020000,0
1.46,1.42,0.07,0.00,3.93,135474190,110570000,24903000,0
1.54,1.49,0.07,0.00,3.94,130829428,97870000,32956000,0
