@relation 'problema-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute pkg numeric
@attribute cores numeric
@attribute gpu numeric
@attribute duration_time numeric
@attribute user_time numeric
@attribute system_time numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}

@data
1.57,1.52,0,130750983,104517000,25880000,0
0.32,0.31,0,25117332,22101000,3013000,0
1.6,1.55,0,132930772,99933000,32978000,0
1.55,1.49,0,131275352,104209000,27054000,0
1.76,1.7,0,135849533,100821000,34938000,0
0.97,0.94,0,89328691,59215000,30109000,0
1.62,1.57,0,133860812,98798000,34928000,0
1.58,1.53,0,131609923,105534000,25885000,0
1.57,1.53,0,133154742,108111000,25025000,0
0.32,0.31,0,25073572,23950000,997000,0
1.56,1.51,0,130869539,95812000,34931000,0
0.32,0.31,0,25520386,25515000,0,0
1.52,1.47,0,130745922,102792000,27943000,0
1.54,1.49,0,130355541,104272000,26068000,0
0.3,0.3,0,25327973,24304000,1012000,0
0.89,0.87,0,69204104,67188000,2005000,0
1.53,1.48,0,131792462,98837000,32945000,0
1.55,1.5,0,131381431,98295000,33099000,0
1.53,1.49,0,131605899,98622000,32874000,0
1.5,1.45,0,131672615,93470000,38192000,0
0.47,0.44,0,47379405,46129000,981000,1
1.9,1.82,0,205794126,204800000,999000,1
3.52,3.38,0,380743594,380743000,0,1
0.29,0.28,0,28896623,28789000,0,1
0.46,0.45,0,48140993,47013000,1000000,1
3.48,3.35,0,380998215,379920000,999000,1
0.46,0.45,0,47134915,47159000,0,1
0.47,0.45,0,47881244,46881000,997000,1
0.24,0.23,0,32928759,31937000,998000,1
0.41,0.39,0,49012458,49014000,0,1
0.54,0.52,0,47854435,46836000,996000,1
0.89,0.86,0,89176281,89140000,0,1
0.17,0.16,0,17587072,16608000,976000,1
0.27,0.26,0,25941465,24921000,996000,1
0.47,0.46,0,49507207,47400000,1975000,1
3.35,3.21,0,383931481,383799000,0,1
0.45,0.45,0,45718789,43770000,1989000,1
0.49,0.48,0,49267466,48100000,1002000,1
0.47,0.46,0,46166958,44097000,1959000,1
0.24,0.24,0,23164745,22148000,1006000,1
0.43,0.42,0,35509715,33182000,2011000,2
0.41,0.4,0,34593884,32578000,1974000,2
0.4,0.38,0,32699908,30703000,1980000,2
0.82,0.8,0,66231856,63212000,3010000,2
0.41,0.4,0,34028379,32012000,2000000,2
0.4,0.4,0,34599761,31570000,2959000,2
0.86,0.84,0,69090371,66068000,3003000,2
0.8,0.78,0,64262178,62256000,2008000,2
0.42,0.4,0,34766948,32764000,1985000,2
0.43,0.42,0,37587557,36577000,1016000,2
0.8,0.78,0,64368417,63287000,1004000,2
0.81,0.79,0,69160537,63120000,6011000,2
0.37,0.37,0,32768164,29709000,2970000,2
0.83,0.81,0,66498710,64431000,1982000,2
0.83,0.81,0,65527257,62420000,2972000,2
0.82,0.79,0,64916200,60780000,3985000,2
0.77,0.75,0,64490677,60511000,3967000,2
0.45,0.44,0,38681195,34695000,3965000,2
0.91,0.87,0,84252007,81121000,3004000,2
0.83,0.81,0,66025233,65016000,1000000,2
2.76,2.66,0,251773307,198264000,53070000,3
3.17,3.06,0,296969677,235966000,60991000,3
1.32,1.28,0,115404457,111430000,3979000,3
3.31,3.21,0,297676548,231495000,66141000,3
3.32,3.2,0,315117521,255066000,60015000,3
1.75,1.7,0,147099554,143074000,4002000,3
1.1,1.06,0,99330888,96194000,3006000,3
3.29,3.18,0,289426755,220763000,67927000,3
3.26,3.15,0,290955395,220940000,69981000,3
0.98,0.95,0,91363754,86296000,5017000,3
1.08,1.04,0,96839488,92811000,3991000,3
0.99,0.97,0,91714483,85610000,5972000,3
2.44,2.35,0,235707851,173499000,62179000,3
1.13,1.09,0,106138188,100111000,6006000,3
1.12,1.08,0,101353624,97312000,4012000,3
3.13,3.02,0,292130512,234998000,56999000,3
1.08,1.05,0,99597548,95514000,3979000,3
3.27,3.17,0,294421288,236214000,58052000,3
0.99,0.95,0,87910050,78903000,8988000,3
2.36,2.27,0,235622993,174705000,60897000,3
2.24,2.15,0,201973613,74452000,9926000,4
2.76,2.68,0,227701318,129286000,11934000,4
2.18,2.1,0,185881552,79194000,19989000,4
1.18,1.14,0,111180467,103116000,8009000,4
1.14,1.09,0,107235368,102104000,5005000,4
2.18,2.1,0,198170237,102020000,10002000,4
1.13,1.09,0,109971195,102964000,6997000,4
1.26,1.21,0,125901353,119873000,5993000,4
2.7,2.61,0,228540250,136153000,6006000,4
2.86,2.75,0,270012739,168675000,14405000,4
1.97,1.9,0,174127868,79473000,8047000,4
1.91,1.85,0,165844542,158829000,6992000,4
1.9,1.84,0,167122559,74036000,7090000,4
2.01,1.95,0,173200664,75344000,11050000,4
2.21,2.13,0,213921401,110305000,17047000,4
1.94,1.88,0,173228028,74066000,12010000,4
2.77,2.69,0,232108214,135204000,10015000,4
2.22,2.15,0,202546496,108368000,6959000,4
2.44,2.35,0,218084629,121462000,10890000,4
2.01,1.94,0,173662162,77045000,10005000,4
2.18,2.1,0,215595537,77158000,14211000,5
2.05,1.98,0,175946621,72049000,17646000,5
2,1.93,0,172135293,73431000,13076000,5
1.42,1.37,0,150973297,138963000,11996000,5
2.79,2.71,0,233708536,133008000,14395000,5
3.3,3.19,0,286386568,191173000,9008000,5
2.01,1.93,0,175318259,76771000,11964000,5
3.04,2.94,0,256962152,162057000,8002000,5
1.95,1.89,0,171448156,77202000,8021000,5
1.65,1.58,0,161647051,150641000,10973000,5
1.63,1.57,0,162038822,155014000,7000000,5
2.98,2.87,0,279142000,266115000,13005000,5
1.94,1.89,0,167627267,69894000,11142000,5
2.04,1.98,0,178612064,83611000,9066000,5
2.73,2.63,0,229611324,135816000,7042000,5
1.67,1.6,0,158906328,145859000,12987000,5
1.86,1.81,0,157388551,59464000,11004000,5
2.05,1.97,0,175387755,79351000,9040000,5
2.02,1.95,0,188798372,93429000,10046000,5
2,1.94,0,173937071,73988000,13129000,5
2.38,2.28,0,220854138,84751000,11986000,6
0.94,0.91,0,84077139,80065000,4003000,6
3.14,3.03,0,303839338,291712000,11988000,6
2.61,2.55,0,203718828,198627000,4990000,6
0.87,0.83,0,72543120,70285000,1979000,6
4.05,3.89,0,385483666,368396000,17018000,6
5.19,5.01,0,451717439,431737000,19987000,6
3.62,3.47,0,358746387,336708000,21980000,6
2.45,2.37,0,190598085,185590000,4988000,6
4.03,3.9,0,322256656,218779000,16982000,6
1.4,1.35,0,119523106,112352000,7022000,6
2.65,2.58,0,204415569,192277000,12017000,6
3.11,3.02,0,249708675,241694000,7989000,6
1.53,1.48,0,129227675,123173000,6008000,6
3.44,3.32,0,320955383,309904000,10996000,6
1.22,1.18,0,104106000,98073000,6004000,6
1.26,1.21,0,106297938,100188000,6011000,6
3.91,3.76,0,370914881,352895000,17994000,6
3.08,2.99,0,248616376,240402000,7980000,6
0.93,0.89,0,78590610,71600000,6961000,6
1.08,1.05,0,84670507,83380000,1004000,7
4.24,4.07,0,345780848,181666000,163699000,7
3.73,3.57,0,308189398,164960000,142965000,7
5.21,5.03,0,439463174,203741000,235700000,7
2.95,2.84,0,249123984,119996000,128995000,7
4.13,3.95,0,346125407,183903000,161915000,7
1.55,1.51,0,118397476,117262000,1002000,7
3.72,3.55,0,315358551,160503000,154522000,7
4.13,3.96,0,338684068,183651000,154706000,7
1.08,1.05,0,84572104,84563000,0,7
4.25,4.08,0,353353969,196071000,157057000,7
3.27,3.15,0,283334875,160171000,123131000,7
2.23,2.17,0,185976098,184973000,999000,7
1.24,1.18,0,131534143,1092000,5464000,7
1.21,1.18,0,92210645,91195000,1002000,7
2.26,2.16,0,201565052,68169000,133331000,7
3.73,3.56,0,311922299,146802000,164778000,7
1.32,1.29,0,105228878,105105000,0,7
1.03,1,0,92081014,91076000,1000000,7
3.11,2.98,0,260026027,113997000,145996000,7
2.07,1.98,0,174530219,152122000,22017000,8
3.28,3.15,0,284255243,215093000,69029000,8
1.02,0.98,0,88047175,79147000,8904000,8
1.76,1.7,0,146524195,134535000,11958000,8
1.57,1.52,0,131979618,120959000,10996000,8
1.41,1.35,0,117436429,106429000,10941000,8
1.85,1.77,0,152136058,137090000,15009000,8
1.87,1.81,0,156847186,148752000,8040000,8
5.07,4.89,0,415948614,358771000,56963000,8
1.72,1.66,0,145924246,134792000,10983000,8
2.74,2.64,0,242940599,179917000,62971000,8
2.54,2.44,0,215285316,208252000,7008000,8
1.46,1.41,0,122776402,115765000,6985000,8
3.56,3.43,0,328919607,264914000,63979000,8
1.52,1.45,0,127079102,115974000,10997000,8
2.26,2.19,0,185235846,171201000,14016000,8
2.57,2.48,0,216574947,202506000,14035000,8
5.1,4.93,0,424829589,359799000,64963000,8
4.59,4.45,0,389181597,308126000,81033000,8
1.57,1.51,0,129341804,116386000,12931000,8
0.5,0.48,0,40661427,39351000,1009000,9
0.2,0.2,0,16414751,12296000,4098000,9
0.15,0.14,0,11334594,8504000,2834000,9
0.03,0.03,0,3166215,1056000,2113000,9
0.13,0.13,0,10158006,9053000,1005000,9
