file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
4236232.exe,3060727390,4740624686,4502659,585808,706144914,2991630,2577,705828703,2990513,1607493145,83469467,617133872,2935606,1084765,<not supported>,478555,<not supported>,1615507476,193398,615719537,37197,5,74914,896774000,4003000
4238463.exe,2714631308,5623062773,4121502,525209,211758515,1884697,4033,211330820,1886909,1808109544,9276582,312869097,2862705,833710,<not supported>,409485,<not supported>,1816117987,218635,312964657,43140,360,74894,789797000,7007000
4262237.exe,1969514109,2039581869,2848250,396904,207716555,1668316,2086,208261333,1665164,310685658,8856692,112559207,2232774,520416,<not supported>,665644,<not supported>,308532501,68957,106567051,16573,329,29973,573326000,5992000
4313247.exe,3021278383,4953130163,3927546,467566,706413892,2943842,1108,704941283,2927936,1606224353,23698996,615603526,2608971,748816,<not supported>,371884,<not supported>,1614688477,120634,615245624,24861,201,49468,885255000,3000000
4356413.exe,4168161846,8457784626,5404065,650757,611008214,2327403,1110,611214073,2297486,3107585906,3991443,1116266475,3845998,988929,<not supported>,433365,<not supported>,3124561199,142553,1116840807,34633,277,59202,1219300000,4000000
4445213.exe,2039859192,4129943488,2793239,378011,208371634,1680271,1104,211313078,1697878,1791790429,2822076,213157727,1956097,510814,<not supported>,218304,<not supported>,1823150786,70093,209291511,16838,225,29818,596671000,4997000
4507097.exe,6037228191,12049229930,7957204,867848,1210264403,2884160,1106,1209004543,2864545,3906924801,4956917,2311511636,5370703,1462039,<not supported>,695015,<not supported>,3917734753,386058,2316949291,51197,358,83905,1765683000,3999000
4509369.exe,4254928632,8845644637,5982034,725147,613298742,2316040,4035,613632071,2335929,2612103872,9965523,1115556149,4104089,1278405,<not supported>,566942,<not supported>,2615041946,312711,1116136896,48703,124,99966,1243589000,5002000
4515279.exe,4190055428,8434262846,5360445,640841,710260214,2311533,2085,710415781,2321263,2604262676,3979682,1113007142,3880276,1050282,<not supported>,497865,<not supported>,2612220326,210584,1115207990,41428,374,77762,1221718000,6003000
4647849.exe,2725436699,4770944803,3609001,498296,212094595,1860074,4039,212796533,1860829,1604925190,9330311,319566445,2305923,702796,<not supported>,682939,<not supported>,1615913433,216083,314521325,30793,244,39278,791906000,9010000
4650689.exe,7678354375,14268396957,9914295,1096775,1828364903,3433857,2089,1827616332,3415790,4753572486,11345345,3253795249,6588040,1941453,<not supported>,961844,<not supported>,4769457078,310479,3259515829,64870,276,112373,2250008000,3000000
4652850.exe,2009660992,4318598100,2731351,371788,208674903,1646576,2088,208869479,1648304,1307400534,3044980,209677594,1938195,529539,<not supported>,275771,<not supported>,1311853046,141520,209574486,24656,85,46910,586119000,5001000
4654699.exe,3298596579,6170722789,4213319,534085,411531863,2086416,2083,412230951,2078579,2007112675,9343512,715914814,2811797,866782,<not supported>,498423,<not supported>,2021269345,140322,715892717,26940,30,44472,960777000,6998000
4661480.exe,3949784119,7756872843,5394960,636127,610994901,2259560,2087,610713803,2223089,2507230001,9479163,1112904594,3591768,1019816,<not supported>,574176,<not supported>,2518675362,164884,1114867310,32741,238,59316,1154600000,3001000
469482.exe,2811669977,4925150944,4056055,536211,211354345,1897271,4039,212231969,1889343,1610442418,9440586,313829843,2786349,852557,<not supported>,417202,<not supported>,1616271695,229117,312586773,37534,504,75207,819460000,5002000
496976.exe,2601020948,4734590682,3435659,440327,209273284,1840115,1109,212374799,1835400,2291026807,3119660,313873268,2457572,656914,<not supported>,276199,<not supported>,2323329960,89882,310570520,21550,422,37864,761417000,4002000
5247010.exe,3004850236,7207936441,4157495,540359,956961427,3024214,2092,955209381,3041573,1354455590,61357390,914903696,2745602,902038,<not supported>,371575,<not supported>,1367947611,140438,916261655,24765,5,49863,877776000,4998000
5345045.exe,3586198210,6842291462,4709772,523013,607057404,2952812,1112,606247686,2943594,1707064571,24532828,615793185,3219859,897777,<not supported>,457275,<not supported>,1717580658,149560,613837958,33584,131,70264,1049665000,2999000
5363537.exe,5733246502,11657664505,7588701,816997,1211049402,2826634,1114,1209146902,2781273,3804376158,4505745,2210532804,5078914,1355019,<not supported>,671534,<not supported>,3821691699,219280,2220033815,48002,806,90720,1671909000,3999000
5483912.exe,2065856279,2225151726,2908614,357724,207358931,1671985,2088,207309620,1681830,308327052,2926218,107665695,2165635,561639,<not supported>,284440,<not supported>,307555117,143243,107382382,24607,63,45661,604969000,2999000
5705660.exe,2350110017,5906709737,3306089,407577,307591076,1783320,2085,307794055,1808759,1805365238,3177878,210797634,2419860,624367,<not supported>,307673,<not supported>,1813699618,156354,210657838,27012,5,50645,688054000,2000000
5790859.exe,5605119164,11357056626,7081062,812194,1210320305,2700841,2087,1208975609,2700275,3802725409,10270339,2209981994,4796436,1385372,<not supported>,768494,<not supported>,3820481564,226094,2219957130,45845,100,78429,1639627000,3999000
5842014.exe,4191517000,8264617631,5335019,630506,810430859,2295056,1107,809477630,2259578,2714595466,4023581,1518659449,3662309,972729,<not supported>,469059,<not supported>,2730239553,155811,1523371169,36129,627,63716,1229152000,2000000
5936624.exe,4250871530,8839325719,6065500,709451,612666856,2365712,4037,613345595,2407922,2611091585,9932673,1116678665,4384384,1329010,<not supported>,565738,<not supported>,2616856903,280200,1115997734,49163,12,94083,1233423000,11003000
6002652.exe,2293046520,3920965194,3493494,486267,210313806,1780379,4035,210571683,1786941,1308755380,9245137,212443890,2353499,686102,<not supported>,362009,<not supported>,1319870853,251538,212819562,34106,506,67914,668691000,5997000
6007350.exe,3383554574,6877443722,4383719,506201,810668421,2026386,1111,809255176,2012828,2612263938,3647711,1415667765,2995530,786070,<not supported>,417027,<not supported>,2627869793,138130,1420357203,29806,227,52168,990148000,4000000
6191697.exe,7991088215,12493103862,9764374,1122098,1510205678,39163172,1111,1510180291,39150490,4462440491,5488277,2768557438,6648087,1877246,<not supported>,869232,<not supported>,4472408966,268917,2768669260,65764,0,111270,2338525000,3000000
6444964.exe,2747880685,4935199220,4113527,529060,211183324,1879703,4038,211392141,1890634,1609350675,9410227,313453929,2845164,864630,<not supported>,415199,<not supported>,1612888089,245044,312836360,38078,315,74055,799753000,6997000
