file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,user_time,system_time
6796016.exe,738237113,1132814973,1901575,348344,215766680,1733475,2472,214891818,1714015,376669589,2878389,269243223,1265492,675183,<not supported>,253158,<not supported>,380875566,143060,268050112,21285,4131,40221,214498000,5011000
6828397.exe,337636081,600380143,681665,113563,117442775,1050299,516,117926879,1025304,219166735,680447,132178186,424007,131307,<not supported>,63551,<not supported>,226871826,22146,129830295,5266,33,9474,96802000,997000
7766424.exe,480562986,871696381,768544,118495,157355230,1333382,323,157819744,1229803,302286797,534253,202185303,498636,179142,<not supported>,50731,<not supported>,314279844,20485,206838228,4532,31,9034,142760000,998000
779257.exe,483563674,875205850,825952,133387,157754811,1325638,518,157769989,1213982,302225271,734256,202824252,525208,199004,<not supported>,61242,<not supported>,315763830,22437,207528806,5046,12,9633,142320000,2004000
779384.exe,593134069,841452152,1703426,342000,150633343,1442319,2478,151855441,1417775,268524656,2367478,205970677,929153,670652,<not supported>,241815,<not supported>,270278986,111511,206991751,20360,1316,42949,171025000,5000000
7804624.exe,587190497,833876293,1706861,338283,151996442,1411169,2484,151878372,1398693,267727634,2714778,205939348,929151,646228,<not supported>,236186,<not supported>,271136325,94924,208134351,19566,1428,42133,170853000,3996000
791293.exe,499991334,911491065,930207,116159,164229992,1464110,779,165476684,1354455,309299865,612576,210205196,615231,254481,<not supported>,135012,<not supported>,317675795,31909,215246668,7038,53,11839,145491000,4013000
8425383.exe,749518520,1134480274,1925056,431702,214513545,1705446,2666,215859279,1727093,379527759,2830757,267258071,1302167,616706,<not supported>,250729,<not supported>,384753810,141298,269178765,21936,1679,40806,216521000,6014000
8455115.exe,732567336,1144607649,1876584,361032,215306314,1705638,2472,215549458,1663321,377604834,2679269,266218273,1195540,708008,<not supported>,252916,<not supported>,379500550,131371,267811260,22146,776,45492,212837000,4015000
8540612.exe,478882325,879739434,845888,130430,159646448,1134542,324,160666823,1060313,308716650,521686,210083803,455208,179161,<not supported>,55689,<not supported>,315986540,22425,205425385,4583,312,9147,140563000,0
