nome,slopes,lincoeff
1071,0.011765211988755629,0
1082,0.00969446189238214,0
1084,0.012411734197099565,0
1091,0.01112028658742535,0
1131,0.011265881597767851,0
1132,0.011133363346115404,0
1140,0.011442576634425581,0
1158,0.012109936008618427,0
1190,0.011908515763132097,0
1192,0.01225171564581175,0
1195,0.012191581217870402,0
1197,0.013024295168159394,0
1619,0.011623659223082344,0
1621,0.012422823634266538,0
1628,0.010738269177367997,0
1632,0.012118630680830335,0
1634,0.011909039027206709,0
1635,0.009952378474992425,0
1636,0.011658727331544215,0
1639,0.012078181845023489,0
1640,0.01191082039643223,0
1642,0.011050566870693434,0
1643,0.012926356995107417,0
1666,0.011740345012683827,0
1667,0.012335688238184038,0
1668,0.011762620701302793,0
1669,0.012448704681789081,0
1671,0.012564869244080464,0
1672,0.01227167943937541,0
1674,0.011432535505996443,0
2166,0.012111316833330023,0
2185,0.011029782461210945,0
