@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-store-misses' real
@attribute 'LLC-stores' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-store-misses' real
@attribute 'dTLB-stores' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
346123,271922392,143473083,1732288,27662,173147,87003,93256,165703409,683348,166976976,686333,92506,2410193,534941205,120023,274278554,1467,147857985,129,316391,357010,852408072,173302191,145962000,26809000,237921673,0
262905,268075880,141711892,1398846,25979,142815,10126,59408,167607538,591395,166323201,588680,81952,2001811,521522424,115802,269960284,1130,143754993,130,308966,110422,825634896,141283406,114917000,25981000,155314591,0
368662,279407180,144456606,1595568,25950,152346,45141,93333,160168830,569503,162763047,574081,147800,2217836,523222493,114646,282291274,4367,150366560,713,99405,355759,866436974,141502710,112077000,29020000,155842736,0
233539,267262220,141350306,1337701,26667,141458,9978,54535,166130971,550497,166913624,548430,91610,1948719,516641983,115767,271273651,1115,143336258,129,308527,239166,823497956,140152409,115900000,23979000,154337519,0
223066,267259078,140538107,1410906,27374,146302,9804,55765,168675969,520475,168822976,531767,80698,2010103,525731967,116807,271083626,1252,143005346,130,308880,410026,825507946,142260777,113905000,27976000,156593317,0
286014,265956508,142061286,1387464,28224,149146,9108,56784,168435529,593320,167168208,594734,85255,2081990,518587833,117439,268697211,1205,144512814,133,309229,132593,828041948,141303329,111284000,29808000,155430864,0
256313,263567138,140758995,1365139,26152,141902,9834,56393,169139099,583987,168237005,579339,83319,2004132,519906987,116845,268376512,1093,143714741,130,308926,139337,825914936,140846027,111661000,28912000,155178148,0
175699,69173403,30664986,471763,20275,80836,3210,11576,53299000,18799,53284982,22247,53943,470084,98895595,3944,76285511,235,33395651,136,2244,3486,264978099,26917630,25588000,984000,41044822,0
177111,97720541,45710724,987316,24185,119982,13083,45651,65227202,278558,65386065,272045,73282,1394797,343573504,110769,99076159,727,46118798,134,309178,257780,341567734,93015803,69042000,23671000,107645561,0
270615,270256539,143508344,1531459,27378,145007,9618,55658,170112804,586458,169173242,606655,265522,2604718,528647667,123052,271841631,1973,145847593,131,314770,131294,837589957,141986864,105448000,36153000,156316909,0
219954,268874464,143584771,1453775,28182,157452,8633,55253,169047588,553418,167713105,549281,91786,1979215,520106011,116235,269738218,1123,145577004,130,410430,114372,833630304,140759924,99253000,41105000,155018658,0
234564,264388632,140652840,1390062,27243,144050,9195,55064,168281893,535709,167970139,544315,79068,1991619,525558091,117094,269616468,1300,144191911,130,309967,364454,827438494,142035478,103593000,38218000,156016200,0
246608,9841929,7444995,781003,27409,94278,55856,71439,24773546,21765,24638381,19057,120077,458175,53608038,3520,51335555,1236,38320767,593,1849,2444,156747766,14273111,11209000,2802000,28373823,0
123446,67278338,31710380,529443,14827,71447,2256,14112,56287350,20793,56019924,19265,66631,523342,96213808,2919,77801502,217,30499585,330,1826,2125,260421129,25937933,25666000,0,40264823,0
137604,69613027,29831273,507751,22067,82574,2727,10232,53258126,20629,53259091,19367,65313,476715,99830133,4030,76915248,264,33558475,135,2300,3359,264132200,26465644,25214000,1008000,40574418,0
137193,65765977,27641941,490085,20639,84292,1767,11057,49926120,20256,50042046,21486,55183,490419,95019802,3864,73690238,243,31554072,135,2891,3895,252028795,25475193,24128000,1005000,39673185,0
213099,267074796,140732743,1368841,27831,144620,9069,58417,167502912,577892,167989490,573535,99884,2019921,518564800,116044,271958369,1079,143706178,128,105563,213539,826268399,139508099,118106000,21018000,153710362,0
93159,56666692,33869637,504232,21347,78900,2065,17104,62627314,46446,63321395,41507,66072,671776,107657644,4824,62436919,236,38098506,133,3550,5520,311762515,29121210,27838000,994000,43513325,0
212951,261861946,138198671,1348226,26120,139854,10925,59186,164485347,553217,165001784,544550,89246,1928182,517353664,115075,266494268,1042,141437744,130,309191,379504,810287127,139362096,101968000,36988000,153677027,0
178645,96211038,44604818,1025102,24461,116203,8982,51995,65046670,315919,65864197,299897,227550,1704458,350623412,112187,98770049,681,45214104,134,310329,393408,337459348,93588800,65118000,28050000,108025806,0
247044,265968110,141795900,1433898,29408,147724,9379,56395,168869758,545572,168752362,544403,76475,1979531,539428140,117340,269476927,1288,144205045,130,392078,348756,828627789,145528401,115194000,30050000,159858520,0
222992,265377880,140920772,1405718,28519,145248,13382,62214,168964358,506547,169107862,512797,111134,2048326,526406893,116512,268666277,1129,143230593,130,308533,411799,826136347,142243099,111893000,29971000,156539986,0
