file,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,page-faults,iTLB-load-misses,iTLB-loads,instructions,duration_time,user_time,system_time,perf_time
4578708.exe,186719,137322242,103503709,932887,14726,121107,27998,53263,77182528,450829,77208425,452709,46396,1047392,248882151,7018,141617198,2105,110360358,432,2169,7325,431750521,67648741,66331000,1005000,82033693
4581289.exe,157555,80391935,58719559,754967,13536,81050,28771,44140,44833876,301610,44784694,303027,39159,791396,145229354,4070,84607136,1490,64397877,357,4159,2203,260225736,38811875,38535000,0,52988044
4630635.exe,131058,39535429,24824961,560383,13668,94506,45220,61193,36289959,379541,39923655,317311,181902,729146,88504810,2580,46709850,278,31446804,357,681,370,176461385,21852608,19515000,1951000,36259156
4718203.exe,196865,96417232,71279208,729734,15309,78607,2768,20121,67665336,68190,67677823,58468,22401,597764,151346610,3922,120876380,351,80533309,227,2037,2928,320700950,40415574,39123000,1003000,54535819
4817270.exe,129198,112607306,77720957,672530,12710,93164,28438,47944,63111232,329105,63034794,330931,52995,909827,178293802,8952,113505212,4366,79887157,351,1799,5044,339972144,47808564,47439000,0,61964608
4913843.exe,182758,111391030,77233635,690204,13061,96837,34246,54434,64574950,333406,64516673,334666,55926,930675,179282506,5396,113854559,2372,79459088,425,1568,5093,346251289,48025881,45741000,1988000,62295882
5032964.exe,128491,112324416,78237920,661347,12330,94702,30443,46412,62782610,329593,62724608,328838,40953,892932,176597699,7107,113103574,2710,79878944,351,1403,5885,340043769,47762498,45495000,1978000,62145115
5220552.exe,126174,113155184,78706737,667792,12490,93418,28121,53147,62671792,327478,62638705,328072,53433,904288,176313529,4980,112913611,2564,79653271,352,1576,4514,339780174,47780218,47498000,0,62011401
5383429.exe,248926,75463290,58317577,740585,16184,100270,3377,24735,54627447,230160,49372245,272459,51968,768702,148612383,4687,80464798,2370,65294399,552,5115,3782,239355055,41075144,40691000,0,55255900
5398757.exe,208421,41910556,24350921,645358,18869,92227,55789,43744,27729714,169359,24399008,149961,24434,449468,68238731,1777,53805254,163,38034464,328,1258,1066,136001134,18400584,17186000,1010000,32519419
