file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1070657.exe,552625915,1877181737,30769926,8013950,204671460,171009,2084,200541076,170908,198897477,12457004,100579856,1588999,354250,113424,311881,254493,208210039,213571,105853230,33828,8255,6952,172209352,158827000,12985000,233028317
1096416.exe,525941425,1843020783,29942256,7469504,199807555,159933,2087,196583285,160016,199974962,12877603,103371151,1660094,344786,101176,53873,10053,211867456,210477,105543698,11664,1681,3089,143466264,137135000,6005000,157931363
1293444.exe,460828091,1812381267,15194623,739292,195874023,141046,1105,196266190,141451,198559289,6461761,101953137,988273,197438,14988,48297,10535,204110714,16362,102906198,1310,2224,4129,125255720,120935000,3997000,139956754
1458177.exe,501622532,1446416446,29245243,7893736,102323479,163703,2090,101153562,165506,197928967,12415988,101347907,1159767,376668,153584,64574,19757,210208058,208838,104588424,10531,1657,3176,134870161,131353000,3008000,149601138
1562200.exe,490107161,1635512150,28862131,7282753,103362731,156432,2088,102254961,159229,198437642,12648741,103034546,1495330,334771,97024,51200,9151,211815618,204543,105485002,16689,1536,2870,132749368,128406000,4012000,147152366
1623325.exe,1421720028,2638286796,54538997,29066698,309939767,501375,99783,308716643,507858,573804887,27199040,306211328,5352411,753889,170978,7920910,7322106,547566181,314392,297082690,1739350,257898,112189,384826543,228258000,156177000,399394524
1626177.exe,419129028,1725490089,14991510,345549,195643914,143727,1105,195424787,145437,197871286,6573458,102207155,974002,184829,6575,48204,8916,208513969,11413,104421527,972,1288,2540,113934915,109637000,3986000,128386536
1628906.exe,563173625,1932718400,30121729,7980547,198202162,173849,2083,195290204,172124,199255066,12597550,102187453,1205916,327128,125189,59113,10675,209816778,206437,104875228,11800,1868,4749,152693559,147377000,4978000,167309068
1759010.exe,532299726,1712522408,16394327,701749,198124846,157675,1112,198494244,154776,200979041,6717033,103264632,1174175,199715,18585,109322,42346,208298548,15950,104341871,1353,2059,3836,145230778,140790000,3994000,159592836
2014050.exe,510968965,1743140912,29158380,7887596,199161072,150748,2084,196482506,159870,198226455,12541793,101746717,1248573,345011,122907,55221,9482,210130669,196659,104548966,23130,1749,3298,138874505,132461000,5975000,153292221
