nome,slopes
1071,0.011761134134617542
1082,0.009584865989024912
1084,0.012443194984163254
1091,0.01119466322931417
1131,0.011086802342410811
1132,0.011208436752716322
1140,0.011455097535053364
1158,0.012122992548952076
1190,0.011928031800226932
1192,0.0123132539686934
1195,0.01203659212631574
1197,0.013289615273951656
1619,0.011472845824173614
1621,0.012288725814968333
1628,0.010774893568887597
1632,0.01208552529432328
1634,0.012044031240800715
1635,0.009849274904360513
1636,0.011655534798717055
1639,0.012351933598386001
1640,0.011861060966318955
1642,0.011071565405875996
1643,0.012892469043593873
1666,0.011912532734168518
1667,0.012360117928188119
1668,0.011870615545395787
1669,0.012512373525975645
1671,0.012523725079824504
1672,0.01243741971351685
1674,0.011583086231774436
2166,0.012082226119709159
2185,0.011222101246623699
