@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
498619943,759327294,814919,107042,154206912,721436,128,154418346,723259,247332027,402527,141144118,570680,192211,?,54853,?,252781880,1239696,141808635,106549,13,88833,147091897,118803000,27953000,167810211,0
501415117,758858727,840637,110624,153943268,674176,128,154095927,686314,247265522,363052,140925851,568115,191052,?,54412,?,252479742,1418332,141559502,106525,10,137867,146670690,116424000,29852000,167521561,0
495953105,769666183,838245,124922,156864511,725043,323,156992865,726500,247920951,430057,139808774,608259,212723,?,72953,?,247652345,1262883,141324961,106565,169,103550,148133585,120800000,26955000,168865849,0
112395685,228809977,381496,68950,40894490,247637,136,41541379,239527,62174006,253976,31818864,146640,92414,?,13567,?,72906619,11867,33303700,1963,65,5237,36010473,33630000,1978000,58360325,0
509431208,759929958,815907,108106,153254368,717442,129,153690726,723331,248959553,352451,141867528,586564,199636,?,56265,?,254308896,1042071,141471591,106365,2,319216,149473890,127893000,21147000,171066112,0
108225042,224320365,332065,61744,41902925,183310,135,42798874,178585,63913410,230058,32270419,141378,100411,?,14051,?,71290327,15895,32513850,1935,65,5180,31454347,28161000,3017000,52430801,0
323847089,677491435,640351,116348,138449693,498305,325,138955887,486053,222562928,338971,121202416,329045,138936,?,37989,?,225448667,29907,121926179,4266,57,10413,97323407,96008000,1000000,119277431,0
519856074,760879746,886002,122617,152327564,929199,128,152837506,920036,244170279,366212,140427261,765054,189313,?,57772,?,251499555,1061092,141419632,107089,279,510960,155152087,129827000,24966000,176803318,0
509709837,756267271,837559,108211,152625557,806556,129,152532461,808293,244881546,353893,141128215,542861,180450,?,53941,?,251326963,1402597,141198957,106766,205455,215518,153389618,118982000,33994000,175008817,0
346891281,676870308,624743,114130,135069304,501923,325,136917952,519001,224315226,359032,124301728,347660,144102,?,38344,?,230546388,27488,121530282,4108,2,7411,101066221,99715000,997000,123268090,0
