@relation problema
@attribute 'cpu-cycles' real
@attribute 'instructions' real
@attribute 'cache-references' real
@attribute 'cache-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-misses' real
@attribute 'page-faults' real
@attribute 'branch-loads' real
@attribute 'branch-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-stores' real
@attribute 'L1-icache-load-misses' real
@attribute 'LLC-loads' real
@attribute 'LLC-load-misses' real
@attribute 'LLC-stores' real
@attribute 'LLC-store-misses' real
@attribute 'dTLB-loads' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-stores' real
@attribute 'dTLB-store-misses' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
514013702,764373729,1034191,141031,153410064,760834,127,153522796,753476,246221181,417319,140580052,602549,192103,?,71786,?,255225968,1059721,142400923,107601,225,256694,155753189,131172000,24031000,202322016,0
518280834,772206139,914647,143704,159547579,729223,714,158866581,723664,251618229,473876,141570183,667115,194251,?,97049,?,244862722,1229081,139672417,112384,98,314228,152683348,114251000,38083000,173277748,0
508498582,764742284,794895,107795,154008491,615068,129,153435374,616084,247309885,349326,139765409,553396,188715,?,56310,?,252264837,1266728,140920442,106804,69,304109,152229429,131938000,19990000,173892312,0
510211338,757865932,841533,111072,154621998,916233,127,154393213,913106,248225217,339730,140876408,615149,178874,?,56365,?,251987527,1179494,140604633,106255,59,221577,152948827,121733000,30932000,173805167,0
497563016,762703304,837609,108272,154924631,723797,128,154624561,727456,247521025,374579,140022725,559338,199507,?,54075,?,251437718,1212254,141029942,106325,110,117258,146825021,114625000,31895000,164783266,0
514529710,758021789,873899,115626,153926889,917260,129,154003618,917602,245922625,348868,141103688,534755,175298,?,52954,?,249755321,1436321,140637046,106330,92,426270,154150010,122540000,31137000,174960225,0
103001166,217187386,415919,64979,43048609,229445,137,44045007,224989,65611238,228622,32533719,138768,90384,?,12980,?,72172502,14379,31871975,2014,63,5836,34640879,31234000,3022000,57219205,0
303094573,322918311,599821,85297,61955502,474374,132,61882336,473232,92419538,262266,50872460,332710,141869,?,34119,?,93588845,1566102,50835547,104737,694,290056,92429954,64036000,28015000,112935763,0
518592239,758935693,884761,111210,153633870,907235,131,153393203,906370,245127192,345296,140542586,540946,181565,?,54031,?,251399169,1246849,140915833,106798,319,507866,154424485,129098000,25018000,176186227,0
99921536,214889643,483231,99253,45759213,243712,331,44613895,222710,63049067,251009,32754038,130960,84326,?,14826,?,66769081,17847,32167735,2235,306,5373,33610918,30376000,2939000,54535527,0
108144671,224475212,437825,79132,42026656,237058,135,43319392,229318,64248287,249540,32244937,157660,105481,?,18171,?,73215952,11808,32432361,2007,55,5448,35620483,33079000,2004000,56247523,0
107630768,225178050,334345,57237,42416894,217646,134,43442920,214468,64658396,220481,32476073,136870,100406,?,14156,?,70834972,15225,31968415,1978,68,4166,31307878,27932000,2992000,52485785,0
109653498,229970578,373747,61792,43967190,227098,134,44568329,221718,66273357,229150,32376872,136735,98173,?,14341,?,69392022,15016,31402201,1994,102,5168,31688852,29354000,2024000,52888211,0
511532403,761629341,809204,111823,153484289,714455,127,153348296,716075,247178378,349629,140319591,556709,191416,?,55148,?,253620289,1365097,141531753,106565,165,213439,148775337,124349000,24067000,169987249,0
124952721,270909479,413251,70596,52674806,214963,133,54466063,201133,54121642,209216,36620970,142021,91161,?,13380,?,59860599,19182,37076394,2528,104,8701,35902585,31543000,3942000,57616734,0
516857427,759155306,854896,113140,153694586,916033,129,153646393,920324,245320099,359700,140702091,569178,192279,?,55919,?,249567250,1236488,140854460,106728,110,480055,152989019,121693000,30922000,174482697,0
515339973,759315066,883820,115333,153615451,920748,128,152987377,920354,244109769,326495,140568160,561947,189104,?,56044,?,250972569,1052142,141378099,106890,58,497359,154980747,124720000,29932000,175589903,0
509830873,764642640,851607,110327,153973888,716717,127,153650113,723502,246841196,352538,140631255,579824,203131,?,56239,?,254120804,1128550,142006904,107282,278,194871,151664597,124264000,27057000,173090390,0
520968843,754752158,862653,108174,153368587,1015579,129,153470483,1016805,245591748,350752,141731193,554960,186550,?,54555,?,250695657,1466763,141567185,106651,101913,606389,153520733,127103000,26021000,174551832,0
504105243,755535302,837198,110459,152919685,961961,130,152925492,956936,244282625,359991,141420354,580652,205429,?,59442,?,251376380,1135429,142123242,107566,514,276352,148304835,121670000,26144000,169870123,0
487811947,756053383,795979,111398,153199385,719267,126,153252884,721048,246694520,365746,141175075,542724,178598,?,51242,?,254400350,1394786,141726899,106602,25,10114,144129185,110657000,33197000,165919136,0
511980869,761463286,906414,116295,153443363,925687,130,152698556,923453,243742484,364652,140201312,588693,197630,?,56146,?,251082790,1356104,141703220,107328,368,376502,154738754,124318000,30077000,176068293,0
506447435,763560761,828028,107028,154866921,928980,128,154547325,930924,248531525,381156,141175519,609057,224491,?,60113,?,252315265,1337685,140984296,106670,101381,131673,151651044,135303000,15918000,172367371,0
307135854,333453849,631098,174010,64144360,572098,1890,64062640,573431,95250029,542614,55384629,397585,591342,?,36600,?,98198419,1147601,52568742,105540,887,331660,91056307,63789000,26911000,112207863,0
530764110,759947480,878402,130049,152547337,930217,128,152316659,918805,244214449,367235,140303445,550198,181329,?,53852,?,251480820,1633609,141962111,107391,266,502291,156490692,130127000,26025000,178106605,0
515633988,759791280,843119,113006,153751427,725798,128,153692691,728149,247782056,354044,141057668,582309,202490,?,55854,?,253392853,1374671,141549610,106894,253,311046,151355333,118980000,31994000,173175184,0
316992310,333874304,609919,99150,64958158,679096,132,65025312,680151,97901850,321761,54105363,323515,138115,?,35596,?,101200565,1245827,54584951,106192,256,515668,92204693,59908000,31951000,114055570,0
