file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
1252905.exe,334557882,461671237,3602927,1055830,81297109,698141,4218,76006464,765251,105503884,5233081,59123693,809319,3994919,<not supported>,429353,<not supported>,138005802,1156971,74352866,206098,58,32421,106301037,90722000,14954000,155008385
1384707.exe,298403768,450775863,3386342,603318,94464734,733146,3533,92168593,639592,126307129,3644579,62600349,801632,2553614,<not supported>,357878,<not supported>,114355671,922743,58907239,145761,7,14259,90117951,80725000,9081000,111325315
1415787.exe,459183846,445291439,5895687,1633517,95825854,1810578,4283,100562114,1688126,145891856,4613274,86409596,2635195,2444414,<not supported>,445170,<not supported>,140064021,1036341,67751962,169879,102794,120062,94021947,87763000,5983000,114094468
1455001.exe,271978957,467912807,2833209,564652,82559984,585359,2447,76092546,628891,98560631,4067241,55035709,659316,3152445,<not supported>,304752,<not supported>,123565316,830790,67270175,146825,13,12025,82991081,77653000,4977000,104586873
1459579.exe,275236037,485050339,2539496,458829,89172440,698587,1786,83233570,765317,108762896,3724812,52614529,602807,2207083,<not supported>,243281,<not supported>,116706707,739946,62989000,134733,22156,38167,83786779,77407000,6031000,105155947
1537646.exe,287284236,465504711,3091096,624670,88912215,750175,2867,82954809,819658,108867553,4456328,58278710,809306,3004009,<not supported>,338823,<not supported>,118965418,945772,61845429,164973,7939,15958,85022527,77709000,6973000,107528981
1540819.exe,283218222,488178812,2754813,493726,94524343,604509,2179,86865551,653688,115836927,3629808,59866141,580917,2491372,<not supported>,286566,<not supported>,117909694,823116,63375675,143231,232,13959,85707455,79415000,6031000,107437440
1559825.exe,287783527,445144146,3177861,618467,91131853,592678,2847,90138912,543570,120538601,3637091,60268844,778981,2525958,<not supported>,355319,<not supported>,115558367,886137,56754468,153273,11,13039,88112154,79756000,7975000,109132573
1764918.exe,299795518,446216744,3390249,627414,95282996,771419,3333,92738379,663798,124896186,3507245,61249430,791733,2447003,<not supported>,410532,<not supported>,111883091,941671,57776641,142272,379,14686,90397121,81997000,7999000,111437786
1982367.exe,1793156478,825773556,23576290,4886881,193302506,17981859,5470,194788041,18095797,270623517,33181587,95253102,2590554,19646803,<not supported>,810340,<not supported>,270011205,11189207,89331087,214539,5287,82796,528347549,513028000,15000000,549396762
2155531.exe,274941148,462604473,2848481,580065,81538197,587906,2487,75220528,622665,98088066,4262066,54520819,598718,3294232,<not supported>,312567,<not supported>,125003026,825909,68156953,148480,77,12949,82251898,73805000,7978000,104629139
2186654.exe,566319106,1029476696,3603494,620218,217266244,999227,2661,211218846,1001768,318139382,3973361,167648641,1142910,2833807,<not supported>,419853,<not supported>,315163021,966170,172005066,139465,2742,18043,168994124,156727000,11979000,190403864
2322404.exe,900347747,495590913,13374347,2936490,114572491,5627961,4859,122182173,5585755,183775293,17352609,88952588,1731612,10571833,<not supported>,726592,<not supported>,164859355,4773178,65684585,258454,14620,65233,267367205,254031000,13001000,289691721
2327051.exe,287711247,467356513,2761413,684395,83894868,662649,2516,77877313,748607,103994402,4249764,54793870,616561,3451925,<not supported>,331289,<not supported>,123198821,972584,67947012,155360,70,14597,84241897,72822000,10973000,106264233
2418910.exe,289180230,391933394,3651604,710913,90932559,1078115,2614,95254481,973037,107012979,3592859,68590683,765349,2202287,<not supported>,376173,<not supported>,101658583,820955,61137712,139900,123755,102755,89373713,83998000,4999000,110893674
2434389.exe,305923474,372460619,4166263,980467,88557936,855911,3038,96607148,723412,138162161,3596670,70948218,687614,2498757,<not supported>,399521,<not supported>,106641576,1225584,53490139,183422,290,19760,93755061,87379000,6026000,114962776
2563628.exe,605567711,935804067,4902149,1264043,196938560,1382272,3229,202742730,1359466,332574505,4900918,187873712,1120098,2322322,<not supported>,440288,<not supported>,344016206,1025969,178510799,233879,110,24879,180740888,169309000,11020000,201653216
269896.exe,280263047,451699207,2889414,661801,80614395,583059,2690,74661867,627255,101389387,4297648,57728702,639681,3371235,<not supported>,321598,<not supported>,126433703,850738,68704322,160698,226,17058,82670107,77204000,5013000,105051862
2825005.exe,295499311,407950708,3886881,639784,92821339,755987,3076,95237712,621101,131516914,3228541,64085621,677541,2545086,<not supported>,360331,<not supported>,106625620,1046414,55670673,150776,18,15962,90850123,83402000,7033000,113189111
2864602.exe,279965378,454820387,3016482,559163,93936383,576245,2641,89932095,573518,116584718,3567519,55355878,770962,2507990,<not supported>,354609,<not supported>,109832330,945945,54461830,130875,12699,16134,86488544,77063000,9007000,108470669
286469.exe,303911527,399842237,3336231,659725,90832326,744974,2519,97487894,699691,137519044,3452241,67560327,619023,2738785,<not supported>,326720,<not supported>,106018300,1056779,52458216,150380,56114,66515,91889988,87405000,4018000,114291278
3097002.exe,328571859,357979217,5089161,1150891,80182258,993773,3240,91073032,877437,143166203,4018427,80129485,812500,2278588,<not supported>,430255,<not supported>,125157005,1211554,56485766,231325,863,21010,99976793,93608000,5974000,121422352
3101111.exe,553481746,1039993398,2710384,447261,211027871,1023523,1966,207017092,1136979,315461738,3812019,167969843,969740,3100229,<not supported>,290818,<not supported>,316396288,898484,175894245,123757,22683,16977,165012452,160422000,4010000,186385870
3183555.exe,545018547,1024805189,3025862,553147,205364653,1110243,1873,200263000,1221534,305606133,4508452,167096640,929753,3128009,<not supported>,273295,<not supported>,329835961,786474,182865300,133643,214,16539,163363694,155698000,6986000,184922989
3432335.exe,329818919,371409954,4001440,1090958,77699615,919287,3642,81475028,896632,127884725,4518955,73407917,850997,2281938,<not supported>,412151,<not supported>,141265297,1037671,65667479,221522,113,21011,98681608,85230000,13035000,120398735
384742.exe,303174673,417810337,3791624,691787,101025837,850902,2533,109697105,727307,122861478,2924696,80169155,718846,2163756,<not supported>,335876,<not supported>,107387850,969198,60358910,144142,183,18434,92114879,82729000,8970000,113618383
3896913.exe,274892062,431676507,2936137,673137,76575898,634505,2444,72174460,725784,104206520,4173828,59610373,542607,2783723,<not supported>,269169,<not supported>,135663690,741925,73737632,160339,41,14327,81834001,73599000,7956000,103344845
3977915.exe,571581845,1057214974,3001014,641113,213050471,1097523,2535,205318227,1177662,310921887,4956021,164153815,1014597,4151066,<not supported>,385270,<not supported>,320973922,1047671,178909096,159482,1617,19486,168344059,162963000,4998000,189583068
4033232.exe,594357396,991694078,4474396,874935,202853479,1345216,2661,200688849,1440451,315739504,5545681,175813303,1052012,3568472,<not supported>,310186,<not supported>,343597110,1033919,185227368,151773,470,20720,179659432,170149000,9007000,202552178
4076739.exe,276772133,460302731,2834081,629137,83239654,680366,2660,75612574,759462,102154619,4905514,53628030,523472,3716311,<not supported>,418218,<not supported>,127403384,836306,71114463,132701,251,13283,83186816,77907000,4994000,103435711
4119306.exe,273290508,475631788,2733989,557170,85809602,593439,2243,79388035,625121,101980912,4094051,53643016,626519,3377029,<not supported>,284523,<not supported>,117543232,875662,64037425,136272,2670,15062,82924626,72706000,9959000,103878060
4136921.exe,542250264,1018227661,3102490,576470,203272431,1163298,1971,197470867,1276476,304342991,4872129,167390387,887377,2939218,<not supported>,259346,<not supported>,335640975,721645,186907735,133935,152,16182,162401278,153042000,9002000,183033959
4188908.exe,293950044,473418253,2903004,619605,91575059,577992,2516,87079757,608803,111595446,3850794,55877743,682346,3077935,<not supported>,352236,<not supported>,107265452,1122534,59621648,138046,188,14120,87257758,82974000,3998000,108388444
420179.exe,287777089,451827874,2629088,411123,95128788,1037324,1924,91208506,1074624,117634301,3870906,55042789,653261,3166834,<not supported>,254607,<not supported>,105230633,1093326,54958976,122129,215832,86853,86275695,79877000,5990000,107601965
4269635.exe,570109758,1045424464,3250180,642976,210696387,1057158,2734,203371281,1082942,307558441,4467148,167242202,1070868,3406067,<not supported>,358890,<not supported>,324047936,971418,179065872,146604,217,17713,167622462,163308000,3983000,188785583
4371782.exe,576522462,1021918213,3875458,767785,214019048,1136859,2960,213713896,1048666,323654263,3810956,172431538,1158131,2587266,<not supported>,460244,<not supported>,315998962,1015417,172383239,159890,181,19160,171332801,164784000,5992000,192649246
4500686.exe,258678762,404350961,3098970,500162,74591769,874939,1972,71228192,948263,101787828,4203854,60187894,479433,2205871,<not supported>,237768,<not supported>,141649913,603769,69598246,149261,106,12298,76857352,68447000,8052000,97729282
4521775.exe,571361561,1002557901,3810379,610156,215341059,1080687,2461,215822212,1001666,326520589,3634822,172285723,1065836,2693290,<not supported>,480356,<not supported>,310754794,1040000,169636783,149227,182,19453,169562117,160093000,9005000,191839070
4570249.exe,554144249,1041626214,3014476,430866,213004863,993117,2284,205611371,1020428,310814585,4102234,164759397,1004606,3088894,<not supported>,351665,<not supported>,317729193,940113,176258918,140162,86,16042,166626223,159240000,7010000,187496123
4709658.exe,275904667,477688347,2664624,516010,86547781,642177,2441,80358845,660024,102027554,3803276,55129118,692506,2769121,<not supported>,312624,<not supported>,115048114,901603,64174314,137405,54,12352,83498577,78141000,5009000,104871091
4776111.exe,278249046,448054981,2911389,660657,79157732,586355,2689,72992729,637287,101065103,4460189,57216272,599582,3398057,<not supported>,286106,<not supported>,129859493,815056,69773718,159175,72,13834,82570762,78165000,3957000,104311131
4982865.exe,339279992,369305326,4680830,1094600,75592444,1028021,3444,78465355,1003772,122255959,5179410,73596041,801456,2261488,<not supported>,497575,<not supported>,148494973,989125,69555379,217074,80,20864,103238404,95752000,6981000,124231923
5448259.exe,562167082,1031299618,3234878,508941,215594372,1100214,2610,208511843,1072135,315644253,4019012,168054791,1137594,2880247,<not supported>,387742,<not supported>,317598854,959751,174227895,141211,136,17409,168478867,158040000,10002000,190361033
5546172.exe,283024995,453939606,2989027,472593,93431089,680783,2439,90538622,637629,117561297,3482619,56304537,704743,2561835,<not supported>,305866,<not supported>,111541886,912411,57121945,143383,5,11308,86712715,78255000,8026000,108173912
5592117.exe,280830080,474791788,2772690,489251,89182171,704819,2732,82321939,716388,104519576,3935932,54796231,705694,2860024,<not supported>,330199,<not supported>,110512555,1018027,61122647,142150,26,12523,83977536,74656000,8958000,105043595
5717238.exe,293700476,417406267,3466807,653634,89766325,662804,2846,91497953,591904,129714641,3433681,63298926,822031,2389865,<not supported>,371011,<not supported>,113012795,925778,56841059,150994,46,14035,89716871,83280000,6020000,111862161
5804700.exe,288749477,462442022,2675026,634392,85043011,617662,2516,79272638,710745,104015902,4155830,55275403,603699,3507387,<not supported>,314355,<not supported>,118136458,1029158,65727116,147587,50,13964,84532299,78192000,6014000,106330481
5860218.exe,259083536,419201615,2838088,517174,76353731,773919,1973,73765068,876378,101318618,4377630,57233232,486662,2603674,<not supported>,234893,<not supported>,137374402,640123,71960494,140364,68,12952,78470490,73103000,5007000,99727696
6038973.exe,335138961,389957290,4373748,1080335,83769116,885618,7765,86931086,937913,130294203,5069632,79845873,652094,2347164,<not supported>,844519,<not supported>,150990555,911597,75831110,217744,287,35372,100216366,80578000,19137000,122446816
6169948.exe,567337431,1026411184,3858638,534633,217213623,1164668,2657,213114343,1154987,323664014,3787694,172146778,934520,3287985,<not supported>,523010,<not supported>,314573159,1128843,171038090,154989,2579,18877,168386259,158903000,8994000,190644775
6211188.exe,602535114,927087863,5021874,1172936,198510831,1419549,2795,206808819,1339315,337409312,4102243,193510648,1151444,1981332,<not supported>,420593,<not supported>,346448034,985783,179185228,186112,169,23807,179799803,168107000,11007000,201386869
6223618.exe,842935566,1051771270,6004495,1845319,223572658,1669209,4587,225541218,1653797,352453298,7713416,186509154,1536870,5342819,<not supported>,589456,<not supported>,327956300,1963641,179916653,218085,42731,41606,251532830,235975000,14998000,272997497
6294589.exe,290618938,448846303,3111756,626725,95664908,699312,2439,92520958,685754,119762062,3533970,56257260,744843,2517356,<not supported>,350574,<not supported>,106897897,971442,54185213,134539,60119,72381,87150238,83279000,3010000,108834185
6399800.exe,562399698,1018382919,3721784,554923,216503541,1109993,2485,210940395,1097031,318622693,3866323,169478348,1090057,2991507,<not supported>,363730,<not supported>,315995859,981444,171453200,142737,341,203051,168492654,164067000,4001000,190063876
6425267.exe,298864413,430911264,3526566,626404,94501251,681520,2717,95860768,611809,127112456,3516232,60192652,631086,3055669,<not supported>,324395,<not supported>,107839870,1118589,53582724,139704,30397,15832,89613340,82158000,7013000,111179063
6462267.exe,338216095,359129000,4748016,1129163,74383193,1117094,3442,78860632,1051870,126138688,4785515,76171424,744666,2310673,<not supported>,440239,<not supported>,146101774,1055213,67001577,215910,207,54484,101865539,91422000,10046000,124519618
6578480.exe,266212868,452441588,2712142,520333,82028150,788144,2061,75966544,869487,102917487,4517687,53702792,566198,3077307,<not supported>,248721,<not supported>,127700134,742680,70855335,134122,126987,10866,81542808,74160000,7015000,103500688
6637745.exe,572297101,1029930285,3550485,611331,215098671,1128112,2838,211474696,1098128,319615975,3798060,168617493,1178523,2723656,<not supported>,379791,<not supported>,317345125,1031139,172417321,148174,113,18757,169339987,163935000,4998000,191457841
6658316.exe,295264175,421553890,3511618,638828,93293318,676914,2514,93763407,608979,129145339,3247152,61516706,764126,2624735,<not supported>,372843,<not supported>,110818473,1075525,54148675,132372,1192,14686,89881139,83384000,6027000,112198489
6676911.exe,285408120,429317833,3559113,606800,94164227,882638,2691,93552985,777542,123411903,3499448,59227686,795604,2577312,<not supported>,390953,<not supported>,109617691,905773,54951619,143857,156672,62727,87874374,80432000,7037000,108517567
7092173.exe,607853899,1032781590,4130336,834920,207300127,1610548,2722,201937084,1606195,311325339,5126249,172500050,1157394,2666434,<not supported>,367701,<not supported>,339079337,864990,188191659,135936,236267,18378,181111449,173677000,6987000,201935064
7097465.exe,281543700,485015028,2826330,567938,90594839,553999,3121,81953015,572072,102654898,3819260,54364835,718913,2721867,<not supported>,330974,<not supported>,112297879,968637,62912126,142057,32,12899,85881205,77573000,7956000,107725735
7442426.exe,570546950,985396663,3928902,655683,213572213,1202241,3117,216917321,1055281,338485590,3144976,179133510,1064363,2562935,<not supported>,397347,<not supported>,311205168,1072512,167733533,155296,179,24495,171618375,158165000,13013000,192321121
755912.exe,273347010,468807198,2726814,452727,94022200,714486,2218,86992694,740070,110199208,3673779,53596258,706990,2693504,<not supported>,295205,<not supported>,107064102,1007201,57087623,131374,93635,15140,85096744,78713000,5978000,106957094
