file,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses,duration_time,user_time,system_time,perf_time
7666283.exe,1385018415,2383893274,1975114,261383,457531037,2373750,2566,459076437,2367782,728930281,6276299,438927199,1577831,560687,<not supported>,506464,<not supported>,721501868,3334952,435867859,238561,33,660340,409724997,339160000,70033000,430887071
7863059.exe,91263331,224128073,484509,142471,38806780,106982,1819,36957957,170101,28370621,692141,24340520,170630,324936,<not supported>,187611,<not supported>,31492995,14745,20275060,6338,102,4301,32287305,24829000,6952000,54100586
7919595.exe,1661276316,2949191788,2428233,363441,508794895,2372017,2968,510781886,2373521,847404759,18849474,541101985,3382247,596859,<not supported>,473594,<not supported>,842424325,5160211,538373798,838581,1030,57494,490676923,446091000,44009000,512254133
8029926.exe,1392830884,2344083970,2020474,325954,440807343,2176841,3645,441196755,2192446,722365608,8614022,439771257,1606086,514700,<not supported>,510083,<not supported>,738763219,3767246,444825494,219709,1299,579146,412232999,354864000,56978000,433605173
8073980.exe,701575356,865461342,1082109,174322,170795572,1180416,1697,169866864,1181047,243537226,1058800,128512815,797976,850731,<not supported>,322901,<not supported>,253935068,2278469,127046419,218743,678,501143,208178910,148873000,58949000,230050739
8074507.exe,500339949,1125687414,1174375,260004,203990203,1174719,5995,201689674,1178293,306976942,7382685,184591570,670753,304618,<not supported>,675595,<not supported>,303674397,215944,183118527,52729,120,33489,150949578,135371000,15041000,172777989
8207584.exe,449201825,939059384,998708,219487,183097691,1556511,2279,184760054,1493853,229267226,809530,104626303,657339,263704,<not supported>,137468,<not supported>,235112227,102280,104248042,23919,458,40113,134937327,127345000,7019000,155833846
8261100.exe,538552680,1161066186,1745801,625975,191206475,402245,7820,195491570,410006,319218754,9594136,172726461,692222,364143,<not supported>,675276,<not supported>,318404748,1894465,172744708,81920,227,73203,159965452,146524000,12957000,180903715
8341326.exe,549643025,1239838286,1364238,356720,238482571,1212895,3404,238366565,1213801,280633717,13415030,187850491,994584,281852,<not supported>,436886,<not supported>,290492064,617900,188954334,28896,10,48256,162060773,147539000,14051000,183978300
8346248.exe,1390234403,2398233952,1991425,324241,459583260,2383433,3449,457135212,2381088,716229138,6854268,438589948,1487853,659216,<not supported>,507454,<not supported>,730173210,3534709,442649874,219536,205,591431,409321068,343932000,64987000,430808070
8470877.exe,581032080,1274808395,1621824,428323,233488799,1001551,6388,240017287,1021828,366826694,12903936,210194845,697009,281846,<not supported>,620940,<not supported>,356579556,1689827,205577140,84260,108,51665,173749957,159280000,14024000,195421267
8537684.exe,580736520,1243860876,1015767,203565,207237568,1152122,2389,203924203,1213391,299491475,17834948,191030744,646165,322140,<not supported>,244149,<not supported>,313093157,1011256,191964772,7223,120,12085,171158107,166695000,4016000,192899036
8601923.exe,678884404,1536621222,1810910,572813,245372233,1429846,6666,251493217,1433473,368462248,11152818,272240660,887752,329375,<not supported>,575718,<not supported>,366812893,1304515,268961521,67367,377214,76984,200290084,184847000,15069000,222449280
8613113.exe,2182871235,4803227068,2833405,367856,692536016,1961752,355,695108445,1980137,998475052,1502157,344011255,2121884,629236,<not supported>,222059,<not supported>,998372629,2713890,333103094,222322,247,448067,643504271,578087000,65009000,665342247
8699117.exe,867139075,1318709846,1321910,203315,231368988,1639501,2571,229501223,1636056,346003927,3406604,233283810,1001783,337862,<not supported>,309397,<not supported>,350026767,2730513,231333233,216631,73,573303,253771007,192580000,60867000,275387523
