file,pkg,cores,ram,gpu,psys,duration_time,user_time,system_time,perf_time
1489349.exe ,  3.18,  2.57,  0.00,  0.05,  0.00,  156961056,  156736000,          0,  178141334
1599310.exe ,  1.84,  1.45,  0.00,  0.03,  0.00,  100331897,   99222000,    1002000,  118783664
1643497.exe ,  4.42,  3.60,  0.00,  0.07,  0.00,  207147814,  206170000,    1000000,  224149630
2350693.exe ,  4.00,  3.24,  0.00,  0.07,  0.00,  193864327,  192933000,    1004000,  210571498
2490708.exe ,  3.32,  2.67,  0.00,  0.06,  0.00,  163696086,  162713000,     998000,  183304446
2827190.exe ,  3.30,  2.69,  0.00,  0.05,  0.00,  154351340,  154283000,          0,  173620993
3316605.exe ,  5.80,  4.71,  0.00,  0.09,  0.00,  276253205,  274235000,    2001000,  296026691
3933685.exe ,  0.38,  0.28,  0.00,  0.01,  0.00,   24516848,   21581000,    2942000,   42763606
4253487.exe ,  1.99,  1.59,  0.00,  0.03,  0.00,  101487086,   98442000,    3013000,  120599410
4537272.exe ,  3.23,  2.62,  0.00,  0.05,  0.00,  156171090,  154214000,    1989000,  172956258
4977530.exe ,  3.41,  2.75,  0.00,  0.06,  0.00,  167749523,  166818000,    1004000,  188045940
5312206.exe ,  3.54,  2.87,  0.00,  0.06,  0.00,  171107163,  170133000,    1000000,  190724959
5899769.exe ,  3.33,  2.68,  0.00,  0.06,  0.00,  165394684,  164297000,    1001000,  184871253
5943722.exe ,  3.47,  2.81,  0.00,  0.06,  0.00,  166320421,  165351000,    1002000,  183845690
6130154.exe ,  3.57,  2.90,  0.00,  0.06,  0.00,  169113254,  168107000,    1000000,  186550280
7079101.exe ,  3.36,  2.72,  0.00,  0.06,  0.00,  162817874,  161855000,     992000,  181519653
7283440.exe ,  3.39,  2.73,  0.00,  0.06,  0.00,  164675410,  162713000,    1996000,  181527035
7584647.exe ,  3.37,  2.74,  0.00,  0.05,  0.00,  160005161,  158067000,    2000000,  176884402
8028684.exe ,  0.33,  0.26,  0.00,  0.01,  0.00,   18332614,   17334000,    1019000,   35728470
8516128.exe ,  0.33,  0.25,  0.00,  0.01,  0.00,   20002001,   18074000,    2008000,   39507458
