file,cfgrind_time
1168229.exe,13483510290
1239379.exe,12139634331
1253440.exe,3592287044
1363825.exe,6251583271
1373378.exe,6712595806
1380046.exe,13457592524
1405031.exe,12279020754
1484788.exe,4869595512
1651759.exe,5494316571
1757160.exe,4706303994
1794636.exe,13383597633
1841293.exe,4273697936
208193.exe,4594185737
208205.exe,3799320845
213413.exe,12001450801
2265253.exe,13511895766
2289173.exe,3491228821
2354500.exe,6327191656
2363790.exe,13264462546
2364548.exe,3327332377
2366881.exe,6537131799
2369365.exe,3785208913
2473478.exe,3292065632
2487064.exe,15569818020
2547532.exe,4337899397
2632607.exe,12886329475
2981499.exe,12367421891
2983245.exe,15357708655
2985036.exe,15636899528
2987448.exe,15733979900
2993463.exe,3412270184
3032867.exe,5997416356
3035956.exe,5876704581
3038559.exe,25061592804
3054390.exe,3086000406
3064636.exe,4795747091
310302.exe,3623344569
3461405.exe,15258701928
3573059.exe,3911887620
371353.exe,5881362683
3892773.exe,3578839976
3895398.exe,3067141148
406692.exe,5764491275
420068.exe,3522834355
4207313.exe,3172116504
4209826.exe,15524114737
4300786.exe,3568618276
4301296.exe,12883174338
4322230.exe,12880901932
4452551.exe,10923535783
4563400.exe,3430418503
475413.exe,6576811853
4758293.exe,12784089750
4832806.exe,3597542797
4887390.exe,12473289967
5231619.exe,3828575370
5298088.exe,12515711601
5569073.exe,12128508560
5754593.exe,15599627615
588797.exe,6510272739
631007.exe,4330630012
6349744.exe,4602127354
6384372.exe,4225611100
6436177.exe,13144445517
6440573.exe,12996135365
6627158.exe,12242840755
6701674.exe,5273970918
6958673.exe,3251910522
7009955.exe,12125275594
711331.exe,6036022452
727417.exe,3722440897
7290259.exe,4459422983
7917842.exe,12458244683
7928067.exe,3506006351
831340.exe,3321272848
8357688.exe,3724542423
983549.exe,6840916047
985992.exe,3328319054
991360.exe,12099323215
994945.exe,4672967919
