file,cfgrind_time
1091584.exe,4195049560
1680187.exe,4116347301
1723554.exe,5783614247
1727828.exe,523442059
176146.exe,4280695219
1910626.exe,4052168777
1953417.exe,4236238568
2004438.exe,4310538770
202443.exe,4334141585
2046266.exe,4041379631
2084242.exe,4229984027
2337463.exe,4187388071
2534515.exe,10849434461
2970400.exe,14063360961
2992391.exe,4181285448
3079464.exe,4109719399
3229339.exe,6072486247
3370629.exe,4204272598
3372074.exe,4293113100
3375350.exe,16013713100
3385679.exe,10269799080
3422843.exe,14164251902
3424191.exe,4137449759
3428138.exe,4137929576
3523688.exe,4200665100
3529361.exe,4233259168
3661212.exe,4181475998
3663182.exe,4239442490
3883785.exe,6176879115
3994586.exe,4050509864
4184640.exe,10162062546
4212368.exe,8268314732
424396.exe,6202405184
4448337.exe,4174929568
4492853.exe,4243160763
4504170.exe,16595600039
4549023.exe,4545271353
4742667.exe,4127687999
4828917.exe,474081245
483031.exe,4111486982
5192715.exe,9839465780
526197.exe,4139403487
5388267.exe,4221211252
5391029.exe,11259093878
5402227.exe,6137777857
5610753.exe,4183782411
5748910.exe,4115725586
5947083.exe,4278086054
5949274.exe,6405177087
5953163.exe,4486201638
5955123.exe,4279421467
6043669.exe,6045435889
6062852.exe,4278616316
6083074.exe,4201388817
6085360.exe,4179418718
6099013.exe,4254362465
6110657.exe,4112840897
6113121.exe,16092217021
6114549.exe,14196167752
6134791.exe,4229254068
6170599.exe,4153371562
6237236.exe,9577660130
6306884.exe,7698988515
6422109.exe,15594390403
6426234.exe,4213997499
6801212.exe,20561059589
6866729.exe,604017150
6952877.exe,4178983364
7096116.exe,19220063647
7111492.exe,6060422310
7114591.exe,4251801345
722901.exe,6662184640
7350815.exe,5978114614
7356693.exe,4219650091
7512000.exe,15617570212
7779130.exe,16492799948
8247616.exe,4313220881
907797.exe,7355598518
911603.exe,4215927880
993680.exe,4309054721
