file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1097695.exe,16163230,456864765,290210853,750039,289289477,757185,142831,34212115,709256572,129374,444084345,622,325871,6638,1278845502
1316078.exe,16226258,417779679,173210796,395224,172759972,394824,44818,33582290,412524804,11847,428832053,641,6334,4069,1492273482
1359491.exe,6628002,345105031,356562681,619185,354504402,609244,90659,15252608,450078686,13619,353114092,631,4026,1974,1572622017
1375143.exe,15280747,533109615,246899557,919947,246371923,909855,242902,38263765,941426932,218870,592027262,616,206537,421698,1710749742
1403565.exe,15546454,533720755,153074213,382154,156574710,386340,32494,35509956,421942838,11504,552038263,631,2934,3274,1433508635
1511347.exe,17238617,534247714,219614470,640993,220159722,648512,79976,34857020,712102808,122156,530925391,627,422962,8704,1656814107
1663963.exe,16442731,426666838,165879739,399182,165764609,397620,52026,32640267,402676716,11542,433358111,1130,3273,3571,1454076372
1765531.exe,17729801,569935558,155907827,415921,158637994,416647,221234,33798915,433393338,17281,573527571,632,5145,3690,1489473435
1820307.exe,25960703,286577153,365238779,712905,364328490,709216,37642,24299464,506174440,13310,287537750,627,3776,3097,1523235123
1863351.exe,16426305,423827022,164181851,391780,164156719,393060,40121,33332527,400729900,10947,429820940,633,3475,3432,1442824244
1908480.exe,112172322,372457442,360275495,669656,360495656,674159,589813,34836767,572018295,15332,369212903,1118,4278,3785,1386593529
2021894.exe,16481312,429392005,355528475,1121577,342926345,982540,597548,39555300,635112193,24111,454075086,1124,4936,2772,1080179772
2377312.exe,62926856,430041939,361154961,546821,359399940,546286,69297,23624650,635739221,16659,433961436,631,5248,3470,2033838811
2470367.exe,9113976,303070238,290227962,775824,290126337,781178,94582,16658609,305252906,8900,311449231,1038,3077,6495,1121998723
248468.exe,7835428,315973096,231474105,793614,235218987,781304,104598,27258893,599265702,111595,349555441,624,324977,207418,947513048
248562.exe,17941054,545083183,231186362,646314,228240247,648057,83360,30263123,783567734,137239,507416879,1565,312491,285437,1771423876
250468.exe,16753646,423374429,172242066,389682,172322113,390951,37275,34534815,399925428,10694,433483881,638,4621,3163,1370357574
2552614.exe,17673621,432868238,162611574,443262,163156007,444358,40267,35133398,392497486,10177,433282335,651,3756,3261,1340439333
2681777.exe,17175015,434907922,165225687,399488,165005736,398275,63706,33189701,397293372,10645,436022975,1123,4370,2946,1474533910
2757092.exe,16921936,534214693,346275024,762950,346243325,769192,57014,34494808,803125997,122469,531160294,624,309843,407307,1371835680
2796766.exe,16386273,426813682,164093501,394272,163908586,393347,46934,32058723,397083503,11237,428054587,630,3028,3591,1441865336
2799712.exe,8381512,326748395,297970013,764135,303035101,760456,297861,26570382,682126315,115665,341381300,623,331422,443014,1308790490
2982528.exe,6132513,517055094,408793320,991873,408438960,991987,72444,16316423,672128441,117708,536722667,1123,332809,341571,1596798909
3051090.exe,6774697,635293371,487928512,827526,489372455,837556,260878,16599910,1122450439,134205,634492183,618,303205,197583,2547598042
3162850.exe,6271667,285378501,359739782,670733,356277310,670267,65161,13734522,494480166,13824,285398519,621,3972,3207,1350257116
3371941.exe,16533375,527243130,233643843,657728,229473071,653600,878507,41685695,747378765,123479,532712832,2120,324548,355387,1744245676
3536231.exe,202806359,555296787,165522979,526548,165955357,529063,90259,73800650,1227690932,31098,562025763,631,8964,4988,1719798607
3564636.exe,15630186,537511940,151176666,378310,155009119,384356,31590,35575241,421384475,11623,555232136,631,3362,3032,1442594024
3574537.exe,17438319,540116402,222491497,647587,222549662,647738,71927,34799725,713439959,121080,537346412,1120,299578,124374,1672104679
3598512.exe,6361750,348931968,329866775,519721,328828045,521928,81872,13017215,489383195,56336,351173909,2115,3184,2732,1929126904
3634806.exe,17751882,425021966,286139315,533584,286080463,529840,78205,36385909,554525701,15498,433930370,808,5419,3401,1191145058
3648026.exe,16107537,421239888,172939245,391726,172957032,400205,78638,34171048,415337123,11967,430176145,622,4040,3916,1493753955
3660670.exe,17293524,460695041,174775742,617377,174737075,617629,43903,34970280,629393522,118467,455502873,630,293423,243710,1461411509
367930.exe,15888479,567718123,184590785,744459,182502196,749076,98676,36532838,687082710,122472,581451365,631,517483,382413,1518244002
3770539.exe,16921786,530516053,346756285,768367,346440424,784605,89663,34389193,801200808,125331,529763632,622,305081,364321,1642131842
3801417.exe,17308361,651257801,214264328,655409,214110852,653779,92361,34940810,776806369,120930,655755174,624,98744,122881,1777058986
3823863.exe,16416332,525127523,222324192,663194,221530592,656235,274828,36731691,730332540,124434,526072207,832,321745,193537,1719623730
387622.exe,16053307,566179616,175944300,627431,182695540,631522,697396,38923741,682419567,112980,633482780,3374,324167,311726,1532954170
3886650.exe,6416039,410077364,389562303,837183,376872668,847928,160497,16426327,831497911,126550,398534992,643,436018,113721,1506722694
3963524.exe,17206297,535779330,219952512,655996,219925579,654135,42297,35113116,790141686,124771,526701221,623,411894,11200,1782042905
4025112.exe,15248515,503858057,364281214,880612,363774651,860634,190877,38918584,689352785,113464,558429488,1107,310012,418352,1360039534
4031241.exe,16171196,920430853,164626184,499080,153379792,483211,146074,38053173,1010187767,29748,935440848,645,7069,4184,2200848114
4082343.exe,5991201,555091872,392090125,786479,394146545,799099,195690,17998506,933855277,119952,586665614,624,349214,291943,2185056540
4096689.exe,8669945,333845550,235726811,897799,230788650,896785,53992,25696894,670253858,118846,339363882,624,326699,259205,971793273
4174493.exe,16813972,424029777,287090130,552115,286996495,557914,49133,34601618,558963084,14878,432229003,624,4898,4028,1190291171
4333897.exe,6879587,377424206,365443805,748469,365743270,749212,62591,15697629,787902983,122418,376580974,635,100092,289801,1533080341
4409555.exe,16832653,453265164,175758776,629551,175777641,626997,76338,35298319,636581371,118471,457234775,630,102340,290631,1445277817
4542735.exe,6989393,392068904,406086476,1002797,406191143,1000729,81534,14226844,723044074,124009,381292171,822,109612,9362,1727105947
4573853.exe,6103319,362826216,638930692,759105,643161918,751993,107198,17579808,834735291,117132,371993806,631,335595,194670,1910639716
4655984.exe,196909011,586635233,173301616,671454,173263277,670012,47033,48490484,952431450,128752,574963705,630,102256,100303,1677565711
4657742.exe,6902099,453251084,410116645,774702,410043335,774773,78297,16420698,943820390,122968,456487548,1119,284468,178359,1749764312
4727569.exe,215565821,526333755,365089161,1209370,364056324,1249842,118399,27741427,935216735,116876,556233284,629,297602,221865,1823105170
4753684.exe,15089628,407215934,290893169,528075,300502143,516599,76399,37237469,353057448,10801,449692478,632,2609,2557,1182280665
477328.exe,16125466,414148782,173199486,397175,172592083,397809,51288,33616070,412026659,11200,427637303,632,4239,4058,1488652211
4847851.exe,15920888,537729804,152926222,374057,154758730,379499,34457,37690381,424563216,10848,558347964,650,3385,4134,1438468394
4886272.exe,57088824,522822605,404888121,973065,406207156,965893,394531,24439542,956294591,139124,529082018,2000,309819,411028,2056806337
4947084.exe,17302788,555249019,163795018,402840,163772077,402007,72015,33317661,469519278,11924,553791760,631,4421,2902,1450178523
5188861.exe,16571630,422557720,163429539,392086,163399397,392725,42650,32726131,401971978,10555,429328815,645,3386,3234,1445432593
5299880.exe,5815646,295928491,408009997,930498,407654445,922380,164455,15904526,665951266,117288,301197493,624,115382,5441,1522809153
5510670.exe,17073501,535593280,345178076,781145,345110073,782014,97156,34357202,798392266,123623,528970253,624,304677,226022,1372874735
5530660.exe,16326928,423367780,163732905,392803,163642068,399209,61911,32589319,401860714,11250,429045458,630,2672,2655,1441219756
5568655.exe,17040953,424846208,163827288,392042,163478012,391754,104513,33599151,364783777,11530,445950868,625,3263,1883,1356402388
5735007.exe,6199344,383101997,444293243,854898,429123682,858867,54578,14599946,740468403,123938,376483544,1106,325241,254078,1673475303
5752102.exe,16579338,821185846,423612742,885180,424002842,890240,112600,38416267,1102293328,124853,847646052,629,97455,166747,2438550301
5766238.exe,16353473,423122323,163956434,394049,163831984,396494,59981,33203557,400959220,10937,429066080,637,2666,3267,1446190497
5897531.exe,16366598,423531977,163197434,394924,163051755,394488,50867,32608594,401974919,10830,428918149,631,3241,3351,1441511962
5901057.exe,10416305,244198770,162017368,672330,162658990,676802,75489,19356261,233444753,6727,245702279,660,2407,2162,705742577
6074729.exe,6944861,455882000,440772085,1036133,441480880,1033044,219827,13977748,735710187,126180,439927672,1638,322102,230561,1624203564
6121337.exe,17225999,426351076,163085345,392801,163199963,389871,77013,32972527,390794502,10721,431477059,631,4750,3139,1338962191
6190417.exe,15910938,420871280,180925031,472469,180656422,476837,52601,31812422,326409209,8996,428808720,632,2296,2041,892222973
6386527.exe,34891238,435324637,164604415,424246,164816933,416418,1778941,63387789,463624926,14653,436401046,1124,4356,3163,1472644682
6466356.exe,16264363,424373660,164398897,403855,164082237,414008,131711,32523011,401510690,11718,427426037,642,3225,3444,1430792801
648321.exe,7309464,358185395,382423926,785465,382698012,804120,83210,13312051,400557972,13034,346297069,630,2771,2992,1341925538
657396.exe,16072052,424633746,163675192,397387,163513400,399825,95920,32197684,401392082,10949,427545164,625,3217,3456,1432644484
6595850.exe,6804934,349152229,347644526,662436,348782133,659041,60089,12959027,408397786,10729,346456146,630,2804,2921,1419649603
6596819.exe,15306919,546203261,186757501,612270,185432898,616567,43847,36874249,667675477,116859,573453903,627,333404,266820,1461008481
6632440.exe,16150371,522980171,220339906,662138,220194528,659709,100094,34822060,732733031,123478,524909246,625,316509,360039,1728156865
6698648.exe,9964157,337750636,225487937,889188,225303978,899852,49006,24211509,557797839,115411,346405317,622,307503,348012,1011808745
