file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1097798.exe,959719,95280540,66911583,280115,65252049,244383,810935,4708366,164127091,19700,103135981,2025,3731,11694,352358615
1146371.exe,3107500,108583973,75822126,333492,74608780,368873,2030495,5445637,243176274,112669,87239507,3247,4972,14711,444699370
1168165.exe,2140199,124026193,88726370,252005,91204322,273273,2333988,6332690,269122990,144631,132736675,3521,4154,15879,456983048
1212213.exe,3080977,103831255,80801736,240950,76426085,293003,2506931,5859411,259614389,157843,99203926,4305,4306,17076,376308402
1240657.exe,1768842,95576820,98811279,138947,92990327,144902,1232569,4936252,195273350,17749,101736646,3716,5764,18406,352885716
1405615.exe,3088527,106064257,79317836,252916,75992644,298535,2204992,5293577,263569472,156601,102602544,4303,4153,13726,376563069
1673379.exe,2999836,103013189,73021151,400292,72948878,388742,2039982,5486424,253894457,170989,99923399,3545,5459,12869,364936546
1767663.exe,3752854,129001035,110420943,464307,102498008,367253,4023427,9590773,315238738,211632,118802894,7293,33426,38214,481797538
1982510.exe,2454397,116296045,89661588,301270,91609634,308070,2248639,6086072,273627837,146673,126446004,3592,4968,17596,429993280
2054877.exe,2644027,102323544,77487706,347386,77529403,379168,2749666,7168310,277107934,172314,108126179,4565,6933,39111,371874746
2139162.exe,1065724,235210227,181335858,644116,180866020,641213,261455,2641594,337588861,15904,262629346,2083,8021,20265,743886930
2447183.exe,2083108,306543895,189388455,785941,187758472,778438,3522038,9255909,465605363,210123,289539095,3515,6207,26866,950531863
2581390.exe,2964865,283513310,199691859,1082997,201175720,1093972,2461733,8027122,482304068,184790,293868422,5793,10029,39533,875156623
2710332.exe,1047834,248369346,173122659,889462,175486590,890653,624807,4655043,353213317,17959,289738987,2215,14510,31216,784139946
2749622.exe,764681,102914057,88351652,174901,88026952,181627,545239,4208605,189270365,11999,115262139,1987,2858,8202,371171606
2768057.exe,6368633,218299202,198832677,500365,193420754,459304,6791991,14911002,568462401,459019,233142933,9767,12105,55907,821172577
2791177.exe,1990185,83487900,70085182,126430,69996938,126526,512171,2738592,156358373,12595,85510461,2024,2192,7717,303175392
282754.exe,1250460,72955836,80190822,142939,79988022,147320,389434,2579910,178523074,13602,94857094,2071,2661,7486,294066849
2855608.exe,2393597,271391612,178367684,756856,181643797,771619,3438125,8901551,456312694,183923,287825343,5987,18250,42151,855252819
2877258.exe,2893709,266819502,193244041,762883,182704902,795368,1657126,5487602,415674299,116829,261868051,3278,11666,21114,823221620
3161939.exe,2615097,261567857,189531604,872841,183096430,912662,1993940,5999013,434972573,159354,267601512,3521,6790,27743,826145299
3205324.exe,2731619,121950571,85121955,282217,87947036,313994,2042053,5400393,269505495,117657,126960873,4374,4821,15995,439520956
3497446.exe,3177695,101383100,80425405,183397,81330589,210716,2598018,6287612,272099147,158853,104576595,5795,6544,21121,365194591
3513410.exe,1236042,100492072,82729153,146844,78309349,159974,520880,2558548,175339901,12981,102618106,2023,3366,6302,359715931
3527479.exe,989370,84816801,83446476,156391,82999483,161937,274592,2157910,176500609,18396,112028460,1891,3632,13085,327160590
3551732.exe,3426974,123946097,91651558,900120,90143656,845736,3724871,9368282,318283924,263647,123236856,5752,8357,35643,464133923
3602496.exe,1214764,83448146,78495479,178347,77882505,221557,476858,2391148,168523690,10303,86653788,1989,1909,7411,300538753
3608768.exe,2974235,103778688,70899241,392820,70882466,402034,2072078,5416715,249073322,199043,99436697,3525,4604,14345,366597622
3639330.exe,2373127,107842631,70697360,418548,70428198,415219,1862094,5908919,238977470,127635,102052964,3261,7044,10432,376524164
3726166.exe,2254640,106592738,75785414,1039128,75351564,1066478,1431231,4266489,254178669,118907,108426368,3518,7867,16848,386293730
3774449.exe,1417517,84090638,76788154,139562,77015620,249846,510923,2464200,167426063,11806,91667923,2024,2004,6386,299277401
3942267.exe,3023865,104466951,72644449,371110,72280007,379413,2126723,5583137,248733187,197286,100297458,3618,3992,12598,366437468
4050045.exe,2404397,265675535,181964661,460104,179877089,471255,2636168,7234363,440882450,161082,280927215,5033,7675,28744,835737124
4107700.exe,1665620,286223862,200440229,1547345,204018984,1498744,870884,4376116,431172017,25612,315856917,2998,8122,38237,940486678
4139687.exe,2611860,116394558,90434788,337714,91361112,354689,2072497,5313562,274034844,145068,125502198,3521,12973,11755,417043232
4184287.exe,2773845,108974259,74510284,381030,74148574,383633,1706566,5084262,242215771,126043,102118532,3308,3614,10864,377565458
4232119.exe,2460115,99098029,87616066,161673,83263720,177710,2857688,7160220,280575983,163420,106602101,5991,18258,28077,371191553
4274861.exe,3069231,267040067,187927966,705492,179011972,744163,1855079,5525614,420415624,127045,263967008,3842,9270,20968,827749985
