file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1489349.exe,193375,12593150,56093777,6914304,56315591,6981771,21045,1842013,492481868,14382,11599004,128,4601,1737,214655020
1519241.exe,254863,68629762,247975284,7526718,247712682,7438684,57753,3397006,837570656,26307,67730029,132,7752,3978,1111289384
1520788.exe,148701,12526069,47280738,7245501,47149566,7173966,70026,1936999,526696001,16315,12142796,134,3392,1223,156013438
1599310.exe,135484,25791198,70596189,7288661,70390453,7226592,12147,1011227,298882946,9174,23729722,134,2840,1891,356431355
1606221.exe,195515,14366249,58080381,7458114,58098213,7469240,20494,1977093,591132966,14954,11631106,134,3496,1516,275285810
1643497.exe,198597,231325571,197495650,980347,197516342,964218,64050,2225497,602277827,18057,232902898,134,4039,2794,950828066
1648142.exe,54863972,46575388,105674812,6523898,105238633,6508647,79168,1597072,412794932,13040,47006848,89,2533,1353,484410326
1691152.exe,542706,6387247,14892692,640762,13373484,619313,812603,2695220,365959240,14389,7313913,3204,2347,1062,74661030
1710633.exe,79936,13192475,59010800,7103842,59075234,7085157,19735,825361,244966427,6209,11331813,129,1489,579,248461820
1831963.exe,184305,14364587,46676231,6725893,46803829,6727673,45627,1831357,513244548,13392,11740602,134,4240,1892,152975251
1939404.exe,8683986,532804342,427693647,2320804,417025614,2203398,8795135,16923458,999009290,148123,515962172,35932,47653,245331,2197973335
2050326.exe,200362,14685344,57044840,7077910,57134236,7094184,18914,1582695,484025572,12298,11502012,132,2881,1255,210743216
2084584.exe,211506,14376371,46293903,6606677,45706022,6619007,41397,1988960,519853365,14970,11670870,129,3209,1409,195402892
2167115.exe,175972,17400423,60315230,6747715,60511845,6726104,64964,1766114,502245782,13542,14967118,134,3620,1766,230089076
2173464.exe,189197,14566369,69217105,7253072,69124229,7232722,30212,1891019,544623638,15947,12209255,134,4182,2374,229546944
2266185.exe,275265,16046478,57930154,7039650,58038484,7022514,63413,2015060,531046062,15363,13520632,133,4352,1751,217682092
2278847.exe,379947,71135328,32328421,177047,30143472,170268,798226,1990297,248356902,11115,61782890,4043,1605,584,351092843
2350693.exe,179284,49558115,71350676,7171912,71568336,7240742,41866,2159410,595591426,15677,47847962,138,4392,1367,359331582
2436721.exe,149469,13602636,58415331,7640948,58280028,7606316,29012,1693511,503853719,13174,11559569,133,3501,1720,212918956
2490708.exe,143423,16365661,45944212,6273567,46071257,6259150,19052,1676153,506052899,12856,14709356,135,3093,1347,164130063
2512213.exe,259939,7095877,17153270,88351,17668231,90692,142725,809761,81072419,2510,3358180,2176,595,282,89430517
2589378.exe,65310,11598979,6389276,47879,6394376,47178,3952,276979,74772969,1881,12605362,138,912,776,45176820
2707323.exe,155996,14060069,56767768,6397964,56930374,6378806,40453,1919599,526512550,15781,12152646,133,3630,1905,206471431
2765293.exe,134528,14248704,56523015,6790930,56521717,6857614,36664,1674107,452026464,13383,11952328,138,3524,1502,214675588
2821116.exe,6939361,525938041,491309176,7024941,490690264,6977628,11955475,21202245,1530746013,150504,543380038,42079,48560,246058,2186543170
2825745.exe,8195853,554480485,427031605,6403884,428785891,6603709,7121087,16769335,1503360640,132019,526017041,35930,53871,204778,2333223693
2827190.exe,158428,13202578,59274854,6839546,59012698,6832331,17720,1638928,483466914,12808,11612614,127,3439,1106,254714698
2919323.exe,175212,14585791,53154065,8217485,53394663,8251624,37412,1679982,475357549,13267,11737671,134,2978,1304,205209005
3053175.exe,184040,14540185,45312556,6235955,44977670,6269742,39466,1966712,520051644,15500,11894402,132,3202,1515,174759084
3076621.exe,176540,14362123,46282066,6373678,46299950,6276730,55199,1938118,529377922,15710,12265413,134,3277,1446,151815056
3221292.exe,362946,8259827,5564359,41247,5481959,41244,237639,916758,88798306,5776,4998531,2180,7410,4924,52486838
3226189.exe,117999,128770917,77159357,7158164,76844087,7143299,13029,1126859,333283056,8224,125591153,132,2737,1303,542466875
3316605.exe,262563,14959336,57322473,7005128,57536311,7052513,39755,2733479,822691875,20621,11938741,133,5502,2459,233206314
3341392.exe,149040,13995790,57849546,7162491,57723625,7107584,18223,1686414,502908316,13126,11632501,129,3737,1592,211123748
3436685.exe,291267,283873065,239184062,5021274,239873282,5026433,39490,2649380,794488868,19411,286805869,133,38314,4149,1039261475
3562925.exe,136973,15828636,45628634,6707795,45619692,6799830,65697,1884212,511623172,13657,14934939,134,3423,1225,155127424
3660935.exe,187650,14604688,57578327,6989447,57321331,6985081,21211,1761402,493939351,13737,11722164,135,3737,1778,210130091
3705119.exe,113283,12966417,57238848,7477726,57580716,7473656,50271,1087158,301651814,9190,12128444,132,2617,1509,226431554
3744664.exe,163251,14161299,57905807,7474959,57757419,7448214,42206,1696688,500169809,13195,11504206,133,3029,1098,213026615
3822869.exe,117881,44907862,58126204,7357429,58159875,7353093,10987,979212,297168946,9050,46136641,132,2785,1902,279350774
3933685.exe,125290,11124572,8124981,21492,8116780,21468,3177,202994,54773400,2801,23494175,133,1679,2100,79839546
3933710.exe,120436,10635849,8272303,24035,8228473,23857,4615,205409,54786866,2674,20402312,133,1505,1797,77331053
4087209.exe,200381,14435368,58218307,7068636,58161962,7069696,18233,1722503,507745619,13085,11510709,133,3153,1401,209384220
4153746.exe,215156,14745887,52026071,6473054,52467129,6506020,17573,1632854,483261615,13307,11573030,135,3918,2435,205604620
4253487.exe,428389,15970190,63926229,7738267,70191352,7335133,389078,1720948,339597071,13386,15343214,2177,4000,10686,401723713
4443566.exe,285972,17215086,48456271,6157533,48874009,6560299,505499,2270548,544304307,20240,17916580,4039,4828,2343,174743640
4458753.exe,153430,13644312,47518793,7079176,47256701,7094018,80439,2112614,538058210,16949,12349437,127,4107,2348,219473715
4537272.exe,194902,14386818,55683520,6237638,55797716,6226201,49558,1943207,522332297,15413,12194713,133,3663,1640,207483161
4591581.exe,218755,14438762,46627675,7304507,46349724,7140059,37031,1957627,525998372,15280,12033285,129,3570,1519,156292410
4636307.exe,227391,14406778,58334997,7552687,58312497,7509607,20609,1639657,509234945,12385,12564250,132,3694,1439,209606535
4844341.exe,139161,13949505,57750126,7112844,57411500,7102403,27911,1675506,490136519,12475,11486213,133,2999,1365,211661206
4977530.exe,167945,14277022,47314777,7113973,46827724,7129575,73518,1976330,517690739,14954,11591109,134,3791,1957,155564996
5009868.exe,143764,12214913,14926924,1438015,14803938,1441461,35976,1372312,351878964,11094,9509039,133,2399,1190,88672209
5172341.exe,196754,14703789,57773248,7161938,57797921,7186859,71431,2057149,561428331,15690,11853748,133,4891,2567,220546336
5184148.exe,152507,13846041,55842205,6257720,55756278,6262853,67919,1958225,521978374,14984,12088803,133,3637,1188,207752790
5207650.exe,215864,14550051,46752909,6527947,46719138,6501212,40469,1837777,540357417,15478,12081496,130,4450,2528,239113790
5281743.exe,325737,276836130,268971796,18789084,269317032,18895962,35605,3284254,1027323523,26936,277022373,136,7693,3036,1607423617
5312206.exe,146539,13056908,55714284,6340506,55620863,6295661,48118,1949071,519089411,15559,12015723,134,3574,1488,294219134
5453782.exe,274089,369993835,344937969,6157466,344864035,6154120,47628,3356140,939918567,25524,369197487,134,7945,4105,1653676774
5517783.exe,191944,14116528,53964083,6956594,53952548,6933684,19289,1793150,540335862,15266,11979170,133,4155,2308,267753761
5549469.exe,151637,24236548,77407918,6916533,77295321,6914325,18452,1636521,508023429,12806,22123300,128,3157,990,258679425
5569369.exe,175855,14063582,46763288,6939109,46857553,6946439,54340,1893700,520204945,14825,12922106,133,3407,1209,160597258
5606862.exe,168553,164753796,132449543,6374812,132507746,6373576,25576,1590250,468079135,11713,167764157,133,4120,2256,833317397
5610334.exe,162870,165366417,132120323,6395898,132104756,6377037,17789,1572577,465616746,11955,167486537,136,3825,2791,835571668
5634998.exe,185152,14597730,70619370,7340874,70266165,7352568,28095,1865894,546088870,13894,12033382,132,4251,2564,191638511
5651176.exe,160998,166094287,132038835,6418186,132386170,6372857,17172,1663478,495137600,12981,166009638,132,3262,1529,907907897
5654000.exe,180563,165044673,132448603,6408588,132603108,6417849,47970,1646088,470661299,12594,167848510,131,4004,1961,832152375
5796831.exe,178404,162841495,132763190,6406522,132593815,6404067,67100,1698206,467072023,11874,164827211,136,3853,2302,816313362
5866266.exe,161410,165211487,133282642,6387812,132898104,6389513,110750,1778268,467925758,12647,167567947,136,4239,2686,834587998
5899769.exe,141571,13658463,47333009,6461583,47104679,6510896,52856,1885448,513508660,13053,11556756,135,3413,1553,151467362
5913099.exe,82859,72154157,65678700,5810874,65725728,5811368,12528,914431,261820123,6886,73559917,132,2487,1284,392411825
5943722.exe,143208,13876178,47698357,6834433,47419066,6851285,72626,1989261,506823746,14411,11691000,133,3346,1539,209986410
5979210.exe,96484,13624220,48537142,6862697,47980468,6847606,55846,1168564,278207186,8779,11879803,130,2635,1300,334022242
6020438.exe,531999,17755204,331008747,26024052,330087702,26117336,255378,6735693,1967985711,51365,15086246,134,12672,4604,1398916433
6084326.exe,108449,13945422,88464282,4391492,89215591,4376098,20018,779959,230707555,5895,11485512,133,2418,1419,324964475
6121982.exe,199395,14852839,65353595,7019176,65616389,7036827,53844,1919478,560215166,14970,11694508,129,4446,2453,378474704
6123695.exe,142894,14496404,45896465,6686536,45932096,6755038,33739,1832249,510462972,13258,12593723,136,3028,1535,151918222
6130154.exe,212819,15114994,58578474,8485902,58271020,8476816,26441,1898180,535690187,15469,12100682,133,4054,2101,210665318
6277159.exe,167059,164624410,132626013,6385515,132633030,6372783,41420,1623069,466380489,12068,166965162,136,4591,2300,829747301
6366782.exe,138581,5508659,2318501,16947,2349670,26028,10386,257633,37376679,2983,2660261,65,<not counted>,<not counted>,<not counted>
6583952.exe,159161,13553565,52227446,6356046,52413598,6407566,19681,1628674,476518972,12097,11505887,129,3687,2236,204728564
