file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1044060.exe,30730378,198027750,129151213,2026483,131904656,2020754,1342234,34170006,511594316,68834,210202252,4782,14577,45619,752513482
1056877.exe,2583589,344370970,204815262,1458532,204768191,1585756,1801970,9851951,500598804,39710,337378999,2925,502684,36075,1071668756
1110958.exe,2096959,107024714,75622371,721228,77362672,650853,1001111,7835567,198338042,21793,113962845,1960,2623,9422,388745784
1196025.exe,2090296,110179645,65785457,1088534,69616373,871680,1145008,7906439,208433614,23993,112164304,1959,3116,9553,396705093
1313602.exe,2116251,108823923,72481360,774580,76492129,680130,935962,7966297,197792185,20570,114593192,1953,2487,11021,387545744
1333327.exe,2085872,108321182,79382936,703298,79848053,649276,809359,7945910,196055506,20707,114010770,2007,3077,9412,387318015
1383313.exe,2945756,293714210,206104239,994794,206351587,997710,510152,6655259,412598604,28554,325213898,1956,5301,19987,909867722
1514231.exe,3103967,111616153,87445623,480320,86666893,720253,1692246,8461336,232362942,79726,107991973,3270,11912,12937,384693393
1524420.exe,2514764,323245391,192298352,1308578,194859677,1211819,2209180,10575368,452150212,77858,320152593,2746,10340,26263,993096448
1557029.exe,3008594,288421517,206939818,854954,206390690,852140,699672,6852401,413121715,27150,324893910,1883,4884,25135,902418616
1576250.exe,2447564,283233707,210236087,871201,210521584,869948,688628,6920697,418325377,29769,328483055,1862,5633,21237,901341600
1878308.exe,2058583,107374058,80234348,598346,79216671,567379,934375,7651303,197086774,19056,112511827,1858,3305,9015,383449736
1899156.exe,2996980,109083332,88084329,582105,80535652,860085,1680039,8482760,223891730,74065,99565337,2486,5311,9621,376517377
2080168.exe,2473938,321917172,195880378,1129346,196752351,1120935,2214371,10155107,448370268,72956,322949249,2872,9510,24140,991729499
2083684.exe,2980487,293233826,206895565,845834,207196261,848298,732084,6793200,412505902,26557,326601988,2056,6236,21748,912741089
2098233.exe,2916572,110112390,83621242,733550,77404524,971814,1881107,8645268,225766377,74327,102666657,2690,7558,11673,384179812
2126664.exe,3115913,130649238,87105422,826453,86934588,694793,3688619,10833545,294592331,101211,129508656,8206,15572,31764,495328973
