file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-cores/,duration_time,user_time,system_time,perf_time
7584430.exe,110699396,2659493,80888469,1456587,81000671,1317145,500887,2663732,253689805,629544,110777537,96,12969,398168534,1958,1.79,1.47,77850648,74482000,2979000,98417416
7789629.exe,314612842,2721845,200294507,1353911,196178886,1483307,505581,2942647,502162479,633194,303533799,126056,17275,935191546,1954,3.64,3.02,151379574,142051000,9003000,172459001
7850041.exe,112035021,3277910,78261707,892805,76490781,879318,816299,2997547,263014118,797527,110806515,136,14889,388813431,2683,1.9,1.56,80016366,71504000,8056000,101209350
7923020.exe,113791836,3308560,78722867,760363,75733059,823119,722311,2965762,268475522,730242,113049627,58,15311,395159305,2488,1.92,1.58,82600004,77266000,5017000,103919808
8075161.exe,314467101,2822236,198476041,1020312,195880997,1109934,529904,2942692,509690522,575615,308054750,33,15799,940986907,1861,3.72,3.09,153101661,149691000,3013000,173895816
8134220.exe,337767516,3272867,212360291,1157606,208734373,1146016,776023,3572042,569789221,846017,323916620,73,26340,1016035114,3159,4.16,3.45,172576621,164186000,8009000,194417086
8171167.exe,126387053,3316939,94045334,1547674,93748450,1539113,745903,2924450,313831465,879893,127506072,261,20816,435256819,2682,2.21,1.81,95091754,89686000,5038000,115815860
8308406.exe,316036631,2792181,195840505,1208254,192659256,1222630,557751,3076274,505337655,587648,313293953,276,16698,955182759,1858,3.76,3.14,148774320,142505000,6021000,170106444
8401816.exe,316626431,2780973,195297680,1303175,192237070,1277476,584398,3260136,499722722,669324,313551306,115,49085,950301145,2050,3.69,3.09,146949789,139624000,6981000,168401959
863410.exe,242132145,14171938,182550931,8277297,184325501,8386558,3247631,9939145,1067592079,4550949,240291895,12306,100671,807054150,8738,7.22,5.89,318944461,302614000,15979000,342484122
965589.exe,127866368,3310691,92890306,534597,91999954,509743,1216744,2664754,314396535,683679,125494302,81,23909,445944727,3990,2.24,1.83,96465365,83193000,13030000,118474403
997739.exe,108112421,2896985,76755895,691508,77412423,578819,478554,2490038,225826446,544509,106911562,30094,32265,366176871,1978,1.64,1.35,70624874,65348000,5026000,91363308
