@relation problema
@attribute 'L1-dcache-loads' real
@attribute 'L1-dcache-load-misses' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'iTLB-loads' real
@attribute 'iTLB-load-misses' real
@attribute 'instructions' real
@attribute 'page-faults' real
@attribute 'power/energy-pkg/' real
@attribute 'power/energy-ram/' real
@attribute 'duration_time' real
@attribute 'user_time' real
@attribute 'system_time' real
@attribute 'perf_time' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
253359701,316680,155520182,582995,154720847,580580,185499,2390427,496736239,114529,252806336,8765,106203,775644998,131,1.64,0.07,136790405,108202000,28052000,179137906,0
69097992,210819,44957499,198226,44922098,196581,132385,812661,95841311,3770,70950046,2048,1520,242622786,134,0.34,0.01,26096008,22894000,2986000,39813010,0
246953123,306213,153937503,638636,153932468,636018,137361,2151548,502710392,114163,248621864,39244,105016,767288750,128,1.61,0.07,136129408,100930000,34975000,150356222,0
247884016,291831,154002611,692656,153989567,688728,137983,2078377,503688853,114202,248620806,10271,105003,765928302,131,1.62,0.07,135727001,108604000,26902000,149876569,0
251203540,273274,154689705,646222,154716518,645647,138909,2098379,506523804,113689,251902961,208940,136725,766512030,128,1.63,0.07,137603212,109497000,27872000,151699990,0
99209357,275671,65760257,423303,65995108,419196,135176,1602653,344451249,111319,99492663,80593,104297,342021456,132,1.03,0.05,93280287,56013000,37008000,107228229,0
250875129,296254,154991728,636152,154942253,634639,144342,2161260,508713480,115191,252929293,218633,105500,770116576,128,1.64,0.07,136804225,102684000,33895000,150865208,0
247830617,298592,154080147,633894,153924104,633380,129621,2116259,509021343,114726,249554795,309288,105292,766327525,129,1.66,0.07,136984546,109795000,26949000,150886210,0
241917463,334402,152112808,713470,157508057,722417,152509,2217320,506935048,113165,251635627,311437,109569,751817800,326,1.64,0.07,136971587,103798000,32936000,151055287,0
67885621,215298,44975726,185590,45089602,188142,152262,870241,97321288,4250,71478653,2183,1476,244866070,136,0.29,0.01,26489432,25282000,1011000,40449570,0
251649770,284535,154986553,644615,154998200,645372,150971,2277654,509163248,114490,252177326,306562,107621,771533439,130,1.59,0.07,139177354,105227000,33752000,153278107,0
68645194,207371,45037862,180963,45038252,180233,140016,803365,96880390,3713,71450438,2144,1481,244985135,135,0.32,0.01,26118810,24896000,995000,39933644,0
250639306,340605,155023820,692210,155876503,713822,305715,2505144,507187856,116964,252819490,33569,107129,767814332,130,1.56,0.07,138560164,112230000,26053000,152556059,0
251026124,300688,154624709,620873,154625705,617004,173265,2207053,503150207,115420,251882223,28220,106556,770502112,129,1.61,0.07,136169271,102998000,32999000,150092078,0
66255702,218112,44795419,181231,44810878,181621,132092,775616,95813955,3996,70808502,2899,1561,241723814,135,0.32,0.02,25957214,25655000,0,39844647,0
233636029,448949,139596280,578573,140447283,544578,320720,1679856,260481778,12496,235966051,16441,13504,712826290,471,0.96,0.04,71722491,69358000,2010000,86047153,0
246182675,291060,153619168,637642,153641518,634639,148906,2128139,502527292,114385,246480585,81426,104901,761571816,129,1.61,0.07,136038599,107819000,27953000,149958749,0
247999961,280958,154058769,689187,154167616,688948,143243,2140239,504641015,114589,250179061,10035,105523,768537474,129,1.6,0.07,136637900,104293000,32090000,150674718,0
247668620,309654,154297498,643146,153917784,643191,147497,2160148,509544223,114826,249828762,282783,105385,767370909,130,1.61,0.07,137368845,106101000,31029000,151579869,0
247691175,295822,154298234,634373,154932502,629749,135785,2100726,499109117,114598,248536598,6423,104966,767270430,128,1.59,0.07,135172741,105945000,28985000,149358736,0
758363,101087,5743211,145899,5884701,127228,74594,1328086,181638575,9204,830387,1569,2731,125629339,65,0.39,0.04,80219784,77820000,1995000,144841312,1
2022875,304700,65982825,185008,66087244,185266,145090,3025110,782719945,19864,1470392,1938,5499,949763228,133,2.03,0.11,211357622,209995000,999000,225335966,1
3002428,461744,210519182,291965,210455155,286445,143062,5227118,1447849741,37463,2656310,4967,10252,1992100352,129,3.74,0.2,390817987,390540000,0,404853863,1
870775,131362,3618399,60871,3448324,61046,96130,827463,110249814,3466,205079,243,715,83982828,133,0.31,0.02,29634370,29359000,0,43716202,1
1419971,170246,6600714,108888,6254309,112716,88361,960875,181743910,6227,819723,1030,1668,122631293,133,0.47,0.03,50078544,49727000,0,64344797,1
3419247,456461,210773804,286614,210839908,287952,188110,5284382,1448008897,36970,3047042,4475,9697,1992923723,129,3.7,0.2,390672225,389290000,998000,404841568,1
1298411,100143,4800187,92150,4769079,102429,53424,906912,178384342,5653,586576,983,1553,118588993,67,0.46,0.02,48414472,47175000,1003000,62616633,1
1353508,166895,5495575,115169,5457112,119750,89367,1013321,182030700,5578,809345,953,1913,122647037,132,0.48,0.03,49299752,48067000,1001000,63550229,1
321773,91571,3455071,59980,3523260,60866,101223,837253,108197174,4655,662916,364,761,86492703,133,0.31,0.02,30362966,28144000,1941000,44417160,1
1444224,149170,3317367,69130,3230221,66711,95778,1048655,178340673,5781,730095,1069,1682,110597272,127,0.45,0.03,48364383,48023000,0,62409545,1
