file,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,iTLB-loads,iTLB-load-misses,instructions,page-faults,power/energy-pkg/,power/energy-ram/,duration_time,user_time,system_time,perf_time
1749177.exe,216326986,4691194,156755771,3012530,156501071,3026326,2642550,13568384,982441680,540488,215208549,28825,216202,738187841,3259,2.81,0.18,296959965,221541000,74845000,350752687
1817867.exe,403530457,5108824,257492566,1513603,263315596,1520153,1665530,12928311,1124437559,400139,413077009,631978,217628,1243416900,2668,3.41,0.17,303914954,250714000,52939000,318054816
2766234.exe,143899514,5290791,101396927,2579499,108577536,2532551,2317009,11427394,441171911,295734,154472166,28424,8891,476984160,4169,1.33,0.09,119728214,112432000,7027000,133760888
340754.exe,405168029,5091378,257234500,1518425,257797835,1534525,1615646,12983870,1124568085,395432,410267529,58996,211601,1258893688,2478,3.45,0.17,303223981,239938000,62983000,317638672
3588461.exe,254726487,9454217,174007733,3641173,169735689,3704945,6334011,25860508,1213695705,931854,243211299,500297,212561,849268376,5017,3.44,0.23,328383992,255940000,71983000,342631688
4159594.exe,339203203,4910554,213264344,1021790,213764217,1025761,1560481,10960325,567232537,192544,338829610,22668,7002,996542461,2667,1.83,0.1,153143411,147877000,4995000,167239041
4650304.exe,144118457,4994558,98460472,840938,103045212,828813,1444544,9794056,378211696,160800,156722340,19687,5994,483442529,2480,1.13,0.07,103658664,101339000,2006000,117843994
556438.exe,414813838,5142222,258211532,1581358,258207480,1587088,1685580,13357147,1119961900,406181,413644316,30094,214367,1268395673,2863,3.42,0.17,304561427,234138000,70041000,318728454
6096802.exe,413481330,5103941,256786162,1546543,257063757,1542825,1486182,12487028,1107698947,388402,417994524,28692,209138,1269967632,2474,3.35,0.17,299096881,226774000,71928000,313377873
6116225.exe,129486734,4797757,91729477,816424,92569965,824756,1479587,10297832,361462223,187684,129565090,18433,8908,415806910,2478,1.06,0.07,97725092,92332000,4964000,111729696
6387452.exe,141958656,4919102,101054499,818232,106228883,801189,1393546,9697665,375081053,172456,150571360,16612,5714,469611094,2481,1.13,0.07,101536933,96321000,4965000,115830144
6489020.exe,132029456,4818872,90924546,811774,91758549,823250,1448391,10156152,357807917,190281,129365975,16541,3859,416525805,2481,1.05,0.07,96711618,87297000,9030000,110875091
689377.exe,201083216,4988129,135011502,1308271,135777636,1309840,1639122,11792490,896217834,382681,204729071,19249,205261,668760334,2478,2.61,0.14,241532176,176895000,63962000,255889393
7137813.exe,162096573,5399820,115107525,847654,119611371,872934,1866077,10633746,408153868,185221,167541383,26781,10307,553355634,4434,1.19,0.08,111082878,103719000,6981000,125362436
7156796.exe,143768585,4894850,102816190,809263,107567604,795533,1356189,9815488,374892401,173199,146967258,18523,5700,471782002,2479,1.11,0.07,101477500,93182000,7930000,115592590
7169393.exe,412637050,5223459,259084143,1523532,259510194,1523535,1685548,13220638,1119457672,389137,417432210,36622,209117,1270938930,2668,3.31,0.17,300686377,238307000,62080000,314832430
7718795.exe,145396114,5003611,102270848,833637,106611875,808908,1388991,9661269,378187622,164607,153012732,18101,6864,480027960,2480,1.12,0.07,102966263,96694000,5981000,117087576
8269776.exe,412025569,5173578,258520858,1517651,258509789,1508270,1514550,12687459,1109899373,385603,417178531,38312,208916,1270203266,2474,3.3,0.17,300058117,233844000,65956000,314456568
8634018.exe,135480553,4435418,96697155,714522,101039614,700715,859636,8437173,334253368,101841,141086920,20071,5328,446666941,2479,1.01,0.06,90150089,86819000,3028000,104271257
879858.exe,201490657,5030736,135655672,1282319,136423672,1289009,1483302,11770153,887911518,380768,204880799,23877,203655,674976788,2478,2.62,0.14,239843869,177386000,62135000,253924247
