1735981.exe,    7.55, ,   0.24, ,   627
1735981.exe,    7.53, ,   0.22, ,   594
1735981.exe,    7.52, ,   0.23, ,   594
1735981.exe,    7.58, ,   0.22, ,   596
1735981.exe,    7.46, ,   0.20, ,   592
1735981.exe,    7.49, ,   0.21, ,   593
1735981.exe,    7.49, ,   0.21, ,   593
1735981.exe,    7.40, ,   0.20, ,   589
1735981.exe,    7.39, ,   0.21, ,   593
1735981.exe,    7.42, ,   0.20, ,   593
2408959.exe,    6.87, ,   0.17, ,   536
2408959.exe,    6.83, ,   0.16, ,   537
2408959.exe,    6.80, ,   0.16, ,   531
2408959.exe,    6.76, ,   0.17, ,   534
2408959.exe,    6.98, ,   0.17, ,   536
2408959.exe,    6.79, ,   0.16, ,   532
2408959.exe,    6.89, ,   0.17, ,   536
2408959.exe,    6.74, ,   0.16, ,   530
2408959.exe,    6.82, ,   0.16, ,   533
2408959.exe,    6.77, ,   0.16, ,   531
3675256.exe,    5.16, ,   0.19, ,   442
3675256.exe,    5.05, ,   0.18, ,   419
3675256.exe,    5.05, ,   0.18, ,   420
3675256.exe,    5.07, ,   0.18, ,   419
3675256.exe,    5.04, ,   0.18, ,   419
3675256.exe,    5.04, ,   0.18, ,   420
3675256.exe,    5.02, ,   0.18, ,   421
3675256.exe,    5.02, ,   0.18, ,   419
3675256.exe,    5.04, ,   0.18, ,   418
3675256.exe,    5.02, ,   0.18, ,   417
4166218.exe,    3.28, ,   0.16, ,   273
4166218.exe,    3.32, ,   0.16, ,   274
4166218.exe,    3.23, ,   0.15, ,   276
4166218.exe,    3.26, ,   0.14, ,   274
4166218.exe,    3.15, ,   0.16, ,   298
4166218.exe,    3.24, ,   0.15, ,   272
4166218.exe,    3.27, ,   0.14, ,   273
4166218.exe,    3.25, ,   0.14, ,   274
4166218.exe,    3.27, ,   0.16, ,   273
4166218.exe,    3.29, ,   0.15, ,   274
4381451.exe,    5.05, ,   0.24, ,   455
4381451.exe,    5.13, ,   0.25, ,   459
4381451.exe,    4.99, ,   0.23, ,   456
4381451.exe,    5.04, ,   0.24, ,   457
4381451.exe,    5.06, ,   0.24, ,   457
4381451.exe,    5.08, ,   0.26, ,   458
4381451.exe,    5.00, ,   0.23, ,   456
4381451.exe,    5.05, ,   0.24, ,   455
4381451.exe,    5.06, ,   0.26, ,   457
4381451.exe,    5.02, ,   0.23, ,   456
4540243.exe,    7.88, ,   0.21, ,   625
4540243.exe,    7.98, ,   0.23, ,   632
4540243.exe,    7.94, ,   0.22, ,   625
4540243.exe,    7.89, ,   0.20, ,   623
4540243.exe,    7.87, ,   0.21, ,   628
4540243.exe,    7.89, ,   0.22, ,   626
4540243.exe,    7.90, ,   0.21, ,   628
4540243.exe,    7.90, ,   0.21, ,   625
4540243.exe,    7.88, ,   0.20, ,   623
4540243.exe,    7.88, ,   0.21, ,   625
4860832.exe,    6.72, ,   0.16, ,   526
4860832.exe,    6.69, ,   0.16, ,   526
4860832.exe,    6.74, ,   0.16, ,   526
4860832.exe,    6.75, ,   0.16, ,   529
4860832.exe,    6.70, ,   0.17, ,   526
4860832.exe,    6.71, ,   0.17, ,   529
4860832.exe,    6.71, ,   0.17, ,   530
4860832.exe,    6.68, ,   0.16, ,   527
4860832.exe,    6.75, ,   0.17, ,   529
4860832.exe,    6.77, ,   0.16, ,   530
5461201.exe,    3.20, ,   0.10, ,   268
5461201.exe,    3.19, ,   0.11, ,   268
5461201.exe,    3.26, ,   0.10, ,   268
5461201.exe,    3.23, ,   0.11, ,   270
5461201.exe,    3.23, ,   0.10, ,   268
5461201.exe,    3.18, ,   0.10, ,   269
5461201.exe,    3.27, ,   0.10, ,   268
5461201.exe,    3.23, ,   0.10, ,   268
5461201.exe,    3.25, ,   0.10, ,   267
5461201.exe,    3.26, ,   0.11, ,   269
5528880.exe,    4.17, ,   0.15, ,   342
5528880.exe,    4.13, ,   0.15, ,   339
5528880.exe,    4.15, ,   0.15, ,   341
5528880.exe,    4.12, ,   0.15, ,   340
5528880.exe,    4.13, ,   0.15, ,   341
5528880.exe,    4.16, ,   0.15, ,   341
5528880.exe,    4.14, ,   0.15, ,   342
5528880.exe,    4.11, ,   0.15, ,   345
5528880.exe,    4.11, ,   0.15, ,   341
5528880.exe,    4.14, ,   0.15, ,   341
5557634.exe,    3.85, ,   0.20, ,   336
5557634.exe,    3.85, ,   0.20, ,   336
5557634.exe,    3.85, ,   0.20, ,   338
5557634.exe,    3.84, ,   0.20, ,   337
5557634.exe,    3.88, ,   0.20, ,   337
5557634.exe,    3.84, ,   0.20, ,   337
5557634.exe,    3.88, ,   0.20, ,   337
5557634.exe,    3.83, ,   0.20, ,   337
5557634.exe,    3.86, ,   0.20, ,   337
5557634.exe,    3.88, ,   0.20, ,   338
6164655.exe,    3.55, ,   0.15, ,   299
6164655.exe,    3.53, ,   0.16, ,   297
6164655.exe,    3.55, ,   0.15, ,   297
6164655.exe,    3.54, ,   0.14, ,   296
6164655.exe,    3.56, ,   0.14, ,   299
6164655.exe,    3.53, ,   0.14, ,   298
6164655.exe,    3.53, ,   0.15, ,   298
6164655.exe,    3.48, ,   0.16, ,   304
6164655.exe,    3.55, ,   0.16, ,   299
6164655.exe,    3.55, ,   0.16, ,   299
6968005.exe,    3.68, ,   0.16, ,   318
6968005.exe,    3.69, ,   0.15, ,   316
6968005.exe,    3.70, ,   0.15, ,   319
6968005.exe,    3.72, ,   0.16, ,   316
6968005.exe,    3.69, ,   0.15, ,   316
6968005.exe,    3.70, ,   0.16, ,   317
6968005.exe,    3.70, ,   0.15, ,   316
6968005.exe,    3.71, ,   0.16, ,   314
6968005.exe,    3.68, ,   0.15, ,   315
6968005.exe,    3.72, ,   0.16, ,   318
7117658.exe,    3.33, ,   0.16, ,   279
7117658.exe,    3.36, ,   0.15, ,   282
7117658.exe,    3.33, ,   0.16, ,   278
7117658.exe,    3.35, ,   0.15, ,   279
7117658.exe,    3.34, ,   0.14, ,   279
7117658.exe,    3.34, ,   0.15, ,   278
7117658.exe,    3.32, ,   0.13, ,   279
7117658.exe,    3.36, ,   0.14, ,   279
7117658.exe,    3.34, ,   0.13, ,   278
7117658.exe,    3.33, ,   0.16, ,   281
7240130.exe,    6.96, ,   0.21, ,   547
7240130.exe,    6.87, ,   0.19, ,   540
7240130.exe,    6.90, ,   0.19, ,   542
7240130.exe,    6.83, ,   0.19, ,   539
7240130.exe,    6.81, ,   0.18, ,   543
7240130.exe,    6.84, ,   0.21, ,   541
7240130.exe,    6.84, ,   0.19, ,   541
7240130.exe,    6.87, ,   0.19, ,   543
7240130.exe,    6.82, ,   0.20, ,   540
7240130.exe,    6.82, ,   0.19, ,   541
7244472.exe,    4.21, ,   0.16, ,   355
7244472.exe,    4.18, ,   0.16, ,   356
7244472.exe,    4.20, ,   0.15, ,   355
7244472.exe,    4.24, ,   0.16, ,   359
7244472.exe,    4.20, ,   0.16, ,   355
7244472.exe,    4.16, ,   0.16, ,   357
7244472.exe,    4.19, ,   0.16, ,   355
7244472.exe,    4.22, ,   0.16, ,   355
7244472.exe,    4.23, ,   0.18, ,   355
7244472.exe,    4.22, ,   0.16, ,   355
7380878.exe,    7.04, ,   0.20, ,   559
7380878.exe,    7.13, ,   0.20, ,   562
7380878.exe,    7.08, ,   0.20, ,   560
7380878.exe,    7.05, ,   0.20, ,   558
7380878.exe,    7.06, ,   0.20, ,   558
7380878.exe,    7.06, ,   0.20, ,   558
7380878.exe,    7.04, ,   0.20, ,   559
7380878.exe,    7.04, ,   0.20, ,   559
7380878.exe,    7.04, ,   0.20, ,   559
7380878.exe,    7.05, ,   0.20, ,   557
7534269.exe,   15.54, ,   0.73, ,  1390
7534269.exe,   15.51, ,   0.73, ,  1387
7534269.exe,   15.50, ,   0.73, ,  1389
7534269.exe,   15.51, ,   0.74, ,  1388
7534269.exe,   15.58, ,   0.73, ,  1386
7534269.exe,   15.59, ,   0.74, ,  1388
7534269.exe,   15.71, ,   0.73, ,  1391
7534269.exe,   15.56, ,   0.71, ,  1384
7534269.exe,   15.48, ,   0.72, ,  1381
7534269.exe,   15.45, ,   0.73, ,  1385
