file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1099920.exe,99156,21962712,19951801,19498,19561133,16878,21550,362600,36284398,2310,29336984,135,767,1455,87342226
1141254.exe,187240,4097861,22443275,11155,22567774,15049,45702,506071,41553469,3480,30278131,526,3890,<not counted>,<not counted>
1164955.exe,243351,7620633,23838195,11903,23808343,12569,54351,368468,47223975,3600,36832220,525,3635,5765,41796223
1192925.exe,83061,75549521,51036428,19752,50544319,19218,21321,445711,88963828,2382,82533993,521,723,3689,237842314
1253138.exe,88512,73144337,49565980,18613,49588902,18549,29028,391999,90148942,2577,81016325,322,866,5780,233585688
1346798.exe,84177,77624183,53253043,24384,53149189,24621,38171,526633,94903684,2898,88188429,913,710,3712,253851549
1399024.exe,59288,68783383,48758840,21020,48881625,20987,21222,373232,87517027,2411,81249539,129,980,4960,232786320
1604797.exe,106499,31963391,6726369,31791,11013779,29303,152657,651048,34942392,3049,27288846,526,697,847,106292367
166404.exe,45995,70189409,49029690,28084,49040225,24880,15019,379648,86258671,2352,81226543,127,868,2804,233014107
182932.exe,798457,13670902,25854873,17349,25605028,17226,163686,789858,56480974,4415,30682094,1305,1668,1661,110593017
1840297.exe,195812,5058391,22602481,10666,22655328,16840,40607,510617,41414088,3037,30403442,524,6995,<not counted>,<not counted>
1859305.exe,222891,5417413,22401912,10034,22456781,17855,47369,512414,41071569,3359,29546772,524,<not counted>,<not counted>,<not counted>
1863270.exe,141430,5227792,22457934,8475,22289399,16833,41290,490966,41131481,3331,29923799,525,<not counted>,<not counted>,<not counted>
1923894.exe,205780,6344922,20944421,12798,20936237,14721,138243,632406,44695439,4358,29086658,916,6956,7424,10032783
1956910.exe,240780,8374743,22999761,16781,21024205,15043,65053,598483,46437125,6233,29058527,1043,4241,8000,48613835
2025154.exe,206593,7414727,22239688,8663,22203914,17083,43149,508983,40910758,3037,28980669,524,<not counted>,<not counted>,<not counted>
211894.exe,295360,8364671,25058396,11554,24209394,12901,132450,694509,45278163,10540,24823120,915,6772,<not counted>,<not counted>
2158936.exe,202539,74933622,49455589,30022,48170964,29264,89811,664527,95350451,4616,83258163,1033,2198,12456,235659777
2165152.exe,161992,73684666,54096805,22746,53826650,20112,20931,477022,94202739,2580,88269006,908,719,1563,251818944
217838.exe,201750,73420819,49871829,22920,48449751,24813,76428,599000,94620911,4662,83523346,1034,3208,8676,234146300
2255569.exe,175575,4950037,22354601,11517,22489450,17931,50277,519778,42077188,3074,30603039,524,8420,<not counted>,<not counted>
2320041.exe,82282,75859818,50136538,19176,50069133,18183,20406,434762,90780354,2466,83333678,519,653,4103,240502822
2543436.exe,223429,8878412,20774140,13674,21094929,12448,88314,559902,44221447,6455,29952431,1041,5931,<not counted>,<not counted>
2595975.exe,351019,8784855,21523965,10561,20773086,18642,40180,424160,39193447,3193,25028193,330,<not counted>,<not counted>,<not counted>
2605208.exe,263836,5353526,22726182,9951,22766709,15860,51447,520650,42379725,3010,30498416,526,9012,<not counted>,<not counted>
2605331.exe,199942,5839145,22203199,7772,22116779,16241,49054,482220,40723190,3612,28892214,524,7381,<not counted>,<not counted>
2607963.exe,180559,5930660,20593958,10473,20530630,19019,32621,328527,39690128,3365,28032969,135,<not counted>,<not counted>,<not counted>
2712872.exe,437907,13264223,19783257,14447,18026700,17291,27243,294472,34865640,4040,19916147,135,<not counted>,<not counted>,<not counted>
2767461.exe,83941,74660101,51084444,18280,51098550,20318,30193,462244,91940582,2843,84111873,517,673,3498,240293382
2768935.exe,184860,6962535,21843466,9351,21865028,16495,44082,476829,39233897,3453,27587979,526,<not counted>,<not counted>,<not counted>
2789652.exe,100335,69044592,48751529,15547,48706437,17657,11679,326488,86071969,2303,79945789,126,632,2706,230888839
2793938.exe,1330903,39711792,47139353,19562,47184748,23362,171975,814473,86885322,7059,42365194,3260,13899,28361,162587226
2823544.exe,96576,73619293,49118052,18682,49112899,18610,47558,413179,89675738,2962,80520234,519,1523,6105,232690540
2942166.exe,81539,76458760,51246869,17385,51162896,17666,28480,439712,89311481,2453,83992799,520,631,1876,241251868
2951975.exe,104928,72593660,51048313,17704,51061060,17807,15998,430249,90513155,2503,83715745,518,705,3520,239562972
2974603.exe,198176,4860895,21785061,9210,21712164,17202,32979,416770,41797942,3463,29889546,330,11663,3695,5786670
3144096.exe,3170972,138666952,78125392,127790,78273081,129951,3698710,5250517,396596015,90960,130420109,39194,37357,157880,489162492
3300816.exe,279009,8532333,21956702,10244,21918484,16594,50569,493686,42254936,2879,28442051,525,9643,1261,3650347
3373883.exe,78827,75330033,50290038,19009,50220712,19330,26423,478173,88484348,2499,82627109,520,666,1652,238533893
3500180.exe,88786,72903277,51194625,18555,51177884,16616,15824,437071,89506105,2439,84531960,518,681,1227,242499033
3630111.exe,288945,9186550,21226984,8302,21314233,17891,44321,403526,40158256,4074,26382329,330,<not counted>,<not counted>,<not counted>
3636636.exe,255721,10060136,23859243,10391,23865731,11549,115399,772735,43187827,9376,24459734,915,5958,<not counted>,<not counted>
3806795.exe,256322,7540777,20479373,8325,19678035,16561,24912,286529,38688512,3193,27478934,133,<not counted>,<not counted>,<not counted>
3868191.exe,6958547,48512879,56514582,208058,65578039,207510,769050,2452481,194430948,16684,75184196,3260,6736,29529,171585028
3876123.exe,275521,9375862,21404690,8584,21571951,16105,29361,387477,39402745,3487,26448866,330,<not counted>,<not counted>,<not counted>
3941489.exe,104810,72905958,50102418,17562,50029421,17419,18235,428803,89417863,2483,83833050,520,694,5136,243409284
405152.exe,82560,75146539,51375369,20938,51094190,18742,18928,459259,91080635,2616,83768161,518,690,2682,241554192
4061439.exe,78665,76810391,51289005,21371,51174908,19318,20706,451560,90484419,2521,84680536,518,898,2438,245296028
4091019.exe,192440,6595192,22927225,18626,22956001,17032,66866,593405,44060831,4559,30824428,524,9083,<not counted>,<not counted>
4137155.exe,64378,74996593,50274399,20845,49837958,18201,25868,394899,88181809,2388,81764994,323,672,3784,238373817
4229381.exe,221839,7190983,22331073,8367,22337710,16573,41529,499714,40803065,3352,29256066,525,<not counted>,<not counted>,<not counted>
4246029.exe,234635,7389539,24270518,12523,24176706,11514,45168,661087,44237417,3026,30961478,916,2749,5028,71959242
4259947.exe,121045,72800136,51369624,17343,51359152,16529,16762,422852,90402108,2423,84082883,519,686,4560,241254349
4264435.exe,1627662,64586705,60659293,189038,62826634,205122,171289,1338325,140387663,9460,76881056,2869,7601,28852,249943291
4294775.exe,139031,70180146,44002555,42988,45551798,36470,78373,719447,92243916,3754,79923874,321,1541,3844,231234997
4327196.exe,109582,72042840,49604666,20053,49630760,20639,21156,432845,87706095,2784,81446127,326,706,4502,234630918
4386985.exe,484956,13252017,20524835,13101,19683510,18816,82365,496245,39500815,3740,23504537,523,5180,<not counted>,<not counted>
4388131.exe,222629,7228340,22155374,10211,22109104,16683,48406,485174,40168270,3211,28422328,525,<not counted>,<not counted>,<not counted>
4453075.exe,66932,70655728,48580386,21021,48440260,19484,21823,380845,86504600,2492,79763651,129,668,2122,229060165
4457827.exe,224812,7410379,19808614,8050,18688813,17107,31374,300557,36201441,3430,25088309,134,<not counted>,<not counted>,<not counted>
4509738.exe,237039,7120932,20002819,7611,19099700,17300,25381,301265,37138015,3696,25900997,134,<not counted>,<not counted>,<not counted>
4541520.exe,243281,8180938,22209521,9071,21822709,18075,46581,512902,40100146,3624,27240387,526,<not counted>,<not counted>,<not counted>
4546781.exe,170804,4942290,22448969,11126,22356076,18039,53949,518983,42544437,3327,30942500,526,6558,<not counted>,<not counted>
4624508.exe,128673,73465186,50702182,23552,50590923,20445,31708,457651,89112222,2472,83315261,517,678,1612,240641535
4806011.exe,234522,9614912,21994917,8692,21922311,16245,40715,478457,39093417,3332,26673153,525,<not counted>,<not counted>,<not counted>
4823473.exe,128968,73755169,49846267,24744,49690396,21929,58733,437418,90424187,3943,81599832,654,1387,5752,234536761
4823855.exe,174825,5957803,20729123,12833,20704677,16817,81443,477784,40515487,3785,27160508,524,4189,<not counted>,<not counted>
5023680.exe,247162,8809484,22131792,14454,21408260,12491,92301,580010,46093342,6726,29666890,1042,5341,10989,15834600
5045851.exe,178342,7783769,19737594,8749,19516416,16527,22369,293084,36314378,3010,26039592,133,<not counted>,<not counted>,<not counted>
5118662.exe,221991,8482533,22185480,9315,22419497,15397,42722,487557,41496103,3382,29457949,525,13731,<not counted>,<not counted>
5137967.exe,111229,73085710,50950852,22721,50945709,21122,35597,465103,90148137,2366,83543962,520,667,1895,241041505
540473.exe,89785,71293135,49293025,18327,49291636,21194,58951,414477,90257768,3493,81454068,518,1105,8449,234437169
