@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
293027,252685968,155080805,676309,152645272,669694,136332,2556139,496512239,117834,246111456,131,515747,13699,779632162,0
314496,255047891,152123439,662467,153657992,670274,176098,2635323,507337680,121112,254015016,131,307483,16604,785698161,0
346814,234757140,166721794,718046,167243647,708749,141294,2201845,509780217,107059,271615258,715,293204,205896,773776441,0
219916,247576522,155701270,517845,155704706,515392,67613,1851450,505980554,115331,251927738,128,309791,409662,769469481,0
257509,248051912,156060143,656538,156008396,650879,84942,1907728,506720327,115263,251968649,128,308867,366440,769893666,0
235741,247845628,155675460,645009,155930833,647564,58501,1782729,499389060,115580,252185947,128,512085,7323,769583072,0
255422,245270967,155422595,646688,155241585,643632,52754,1823566,504233591,117225,248856481,131,310244,419638,766901071,0
210238,245775120,155429708,621859,155413750,624230,55886,1736215,506579167,115026,249246849,133,309327,325586,767875651,0
175169,64844432,48725122,152025,48843908,153467,59046,460829,95342725,4360,71063370,137,2151,3056,247158798,0
175253,91902710,61462369,392494,61613082,391976,50368,1330939,344954576,112138,93484983,135,310523,336090,323578520,0
208610,246041035,156637257,675005,156667020,676674,104760,1926898,504250079,115819,249979783,129,512961,11850,771188968,0
231128,244624922,155434871,622238,155389949,622276,54625,1790801,506904646,114896,249103015,130,309104,398490,768077135,0
211146,245254181,155735499,634569,155655720,633536,52498,1781534,507300199,114765,249357749,131,309274,339975,767775633,0
126375,4131065,7044711,159551,7039809,159559,138291,611422,28692354,9235,?,593,?,?,?,0
126482,63377543,51548669,197517,51630028,199255,79015,538015,95620838,3376,71441813,331,1806,2946,245079845,0
171358,63916536,48448937,154992,48394358,152001,43467,457295,94139670,3765,70455142,136,2156,3829,244136687,0
147038,64250538,48629754,156832,48522910,154749,44656,463749,94844678,3659,70795687,135,2168,3280,245903159,0
121864,64998670,48351766,161081,48594221,164528,56174,487395,96605956,4099,71968322,135,2128,4085,249016624,0
254770,248665783,152547396,620317,154108949,619895,103979,2094991,505104937,116848,252495806,129,309163,415298,768977277,0
92904,54224403,59961966,161130,60466979,158108,112400,751244,105185577,4149,58865312,133,3567,5205,295005764,0
234227,244844514,155597429,608956,155606209,612409,63144,1875686,505579367,114997,249014014,129,308760,396497,766095299,0
185021,92461163,61632150,336248,61784203,337344,70878,1331001,341534986,112024,93290444,134,309094,360460,322595628,0
246273,245946021,155618662,660109,155581203,659890,60103,1734556,506448479,114903,249892850,129,105157,114268,769425599,0
208973,245380720,155270570,633787,155501937,634557,57226,1837903,505418965,115158,249521498,129,308738,374766,766426272,0
218728,248291911,156767256,714276,156650303,710682,75626,1852618,502815634,115310,252080758,128,308182,202249,767920006,0
262170,245046119,156200470,620166,156106357,620894,52410,1794539,507743041,114917,249472932,129,308346,412353,766919033,0
211744,245580169,155692432,574495,155584113,574943,71737,1828076,504945370,114579,248893354,130,308475,408751,766383619,0
267834,245254073,154264174,654745,154988045,651675,79510,1965251,509264237,115328,249727807,131,362768,379623,766395095,0
253719,249396168,153800444,624955,153349078,622871,75120,1992640,504878161,116632,250709392,127,310396,333904,772517530,0
207777,245432721,155742700,665177,155855563,663163,55099,1708408,504374772,114993,249652397,129,309000,287440,766179735,0
180435,64679299,49161953,209529,49021966,208624,42970,455589,97007194,3901,70944972,140,2157,2698,247423245,0
215360,249071273,155996505,642862,156006047,656674,76755,2013653,499649007,117710,252197279,128,309508,109943,768202592,0
204720,95702492,67987517,411081,66919124,411134,351771,1999999,358777116,118560,97988229,1893,322144,347886,336065741,0
244569,244652712,155393169,624950,155481151,620610,60035,1734439,506646845,115254,249056096,127,308474,411712,765020665,0
237663,247028728,156241041,623276,156410442,618431,52514,1795929,505721595,115262,252070757,129,308381,408392,766239378,0
211261,99029287,64676337,401789,65078737,398525,78781,1517067,348832298,112416,99563452,133,309044,399991,341513146,0
212652,248837124,155974285,688411,156157829,691269,60494,1772334,502737786,115023,252085267,128,309203,212673,771359947,0
282520,245081427,155581892,631481,155568719,630086,63212,1819942,505664579,115587,248865456,128,309084,348573,764217868,0
282782,248095725,156438488,625117,156531814,622106,65670,1865361,508554320,115452,252715075,129,309104,389030,768275296,0
279212,225807684,168733407,697798,168842461,699665,98797,1942296,503743030,106492,272923907,324,307880,317664,742883253,0
140434,64289499,49375159,161849,49302702,159533,44204,434077,96351356,3827,72042481,135,2141,3117,249657463,0
280936,248459467,154180769,635326,154724718,632187,77409,1979736,506741589,115290,251236484,129,308146,409202,767572389,0
139998,65412950,48449351,156332,48647610,156873,51124,468075,95582138,3524,71491323,137,2088,3766,249294788,0
127483,65198431,48609157,156451,48623428,158585,46703,434079,95322817,3780,70637029,136,2136,3235,244555820,0
278152,246641780,155294051,662957,155226454,659566,52131,1772845,499199937,114595,248640420,127,308299,122914,768808471,0
242505,245417992,155210132,605064,155342934,604502,65601,1972786,500991903,116486,249280149,130,309356,248945,765984445,0
187277,64685370,48813993,162000,48850115,160076,45454,486614,95859172,3789,71368553,137,2606,3683,247295557,0
220356,248985826,156312946,627263,156516569,627281,61837,1791737,503536235,114571,252474589,130,105023,262930,768835321,0
211627,246742229,152808855,690224,154052888,679355,208125,2171712,513498395,114731,250208424,128,309824,256607,768813150,0
144635,64285717,48790392,159884,48758631,157874,43705,434699,95168898,3832,71161218,136,2926,2270,248816320,0
