file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1009412.exe,223968,78633548,25714686,50980,31225156,49459,532599,1712064,83929904,11496,70430270,1959,2472,3617,267342487
1054386.exe,462321,78604378,22376318,56248,25245250,57147,399032,1550866,86606400,20913,59797864,2604,7276,6209,255050667
1055671.exe,950117,137008967,108612421,63672,101623362,63053,1157257,2884408,195345247,25208,145398376,3484,4005,17674,487834773
1064013.exe,477296,117824855,79387618,38740,79307295,35769,439614,1710259,160809401,11519,127658338,2606,2116,7403,398557966
1163493.exe,519950,116367397,75677492,44381,78291677,41619,516021,1752059,162044078,10717,128509217,2604,2972,10079,402324341
1449114.exe,1079852,138605498,112098321,61766,102670762,60827,1060832,2725311,196799714,27276,141502706,3482,4528,22069,483781264
1472098.exe,1068287,70012114,74514049,57503,74411296,50066,660803,2002788,136030302,20261,93042010,3554,5153,21620,300584562
1488692.exe,486034,74396075,43234157,28685,42715330,30168,164700,818532,94163776,11088,68905642,2543,2653,10659,263170117
1523561.exe,417685,81726426,45415532,28768,45420723,28100,106206,691114,94163857,10415,77653572,1958,1801,5450,292545489
1581847.exe,469524,77055465,45250096,28998,46630668,30716,197031,828373,94211491,10414,72533925,2152,2269,5171,282493768
1677942.exe,393221,116675446,74477259,45477,77103839,40042,187911,1136107,154989958,5691,126666028,2048,2076,8611,391344552
1696369.exe,1549305,68842133,68022952,33591,68038051,30874,877102,2155018,130616545,17906,84878512,4135,6434,27980,276715812
1890375.exe,3118453,116382657,96064981,66089,94942224,64312,975925,1978481,243379435,20047,141640349,12499,14398,56034,434991148
1930790.exe,424787,115896301,74286409,40441,77069878,42409,248626,1257882,158226069,9400,127194487,2245,2101,8888,393132098
2014155.exe,1083583,70916812,71814438,34744,72419884,35647,349625,1799904,140754633,17374,98108631,4821,6069,24877,322644186
2082270.exe,212448,116581881,79512471,35232,79714197,35047,139912,1177585,154288043,5447,125615959,1953,4013,7642,387417970
212989.exe,466447,76455059,41480399,33583,44025358,31023,205631,920613,94671918,12119,71358113,2605,1970,2464,274909992
2136822.exe,1379800,73979328,68956804,28856,71120381,29839,839901,2053591,125486829,15770,82463495,3488,13046,28974,287376931
2209249.exe,385161,75983703,44829587,27046,43500799,26413,102728,752696,90881376,11977,69996224,2152,4417,13153,273568390
2218845.exe,482706,113313564,69242530,44178,73837894,38376,421016,1628002,161581041,7148,125956195,2596,2364,9032,388822182
