file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
1097695.exe,16002874,453116102,309011697,738651,302281364,745418,219323,34586107,705822031,126516,442704002,621,114330,13387,1275794446
1316078.exe,16229067,418504885,173345784,395487,173279430,396265,35783,33665292,413050483,11700,429587794,640,3086,2695,1493176755
1359491.exe,6133851,345015727,347798537,637399,353501704,647833,208825,15890913,451697670,15822,339984552,631,6340,4745,1498882166
1375143.exe,15471025,536665894,245761249,881994,245957519,883825,105282,38106844,941031505,219578,596263650,617,206278,531618,1718742746
1403565.exe,15523464,532064434,153518471,382077,157680151,386615,32207,34890043,421252335,11353,549936042,631,2940,2537,1437348922
1511347.exe,17324560,535950186,220758120,648248,220938790,643434,78410,35045235,710773347,122393,533380743,629,102639,8009,1667563785
1663963.exe,16176356,427716545,165663579,400865,165780471,398929,63793,33491053,404341517,10785,434514916,1130,2797,3098,1457135695
1765531.exe,15508016,532998989,152590018,376389,156021105,383594,36745,36472201,422529851,10883,553981376,631,3869,2680,1438435455
1820307.exe,26155729,287199684,363035309,737185,361175617,756459,74008,24156045,507265717,15769,289047485,627,3572,2887,1525332005
1863351.exe,15687360,418406422,163970163,391269,164052360,393333,38607,33358702,401893990,10760,429435309,633,2909,3017,1439500755
1908480.exe,114811868,370633449,364362492,692763,362857691,685714,213655,31387283,570326265,15603,371474348,1117,4602,5267,1381019330
2021894.exe,16944028,431457005,289561091,578963,290126684,567788,108131,35658464,530212442,15533,434646609,1123,3903,2182,1067322052
2377312.exe,59097427,432416357,357803394,542107,358636310,539848,68298,24165790,635222251,17396,434853791,632,4339,4162,2029035541
2470367.exe,9133074,305205321,291729893,780885,291523080,783737,72375,17298833,306378787,9097,311425848,1038,2909,6650,1123273837
248468.exe,7925076,318156700,227826520,808298,232535254,790664,145498,27501718,596705077,111080,352429769,625,109861,23408,958229720
248562.exe,16828109,518803694,236405169,641357,232878254,648110,85348,32384118,788533919,134718,504601706,1565,122445,296898,1704726946
250468.exe,16599693,421087455,172112444,394970,171995914,394478,132702,33759268,399823107,10989,431760523,638,3806,3479,1362886981
2552614.exe,17747590,430267323,163263914,449408,163438105,455461,155563,34518902,392378609,11745,430458113,650,3720,3288,1330107386
2681777.exe,17225353,434376225,163908583,396422,164325148,397343,77643,33108028,396378782,10479,435171165,1123,3705,3228,1472894295
2757092.exe,17125911,531874057,345245796,777339,345075400,776509,76063,34316375,793259126,124014,529470226,625,102958,9320,1381633852
