@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
172238,62661420,49244367,155697,49139069,153656,83500,557437,98134138,4914,71602299,137,3632,3872,248561260,0
259287,244930926,152800423,704639,153874595,701583,82672,1993595,508666518,114840,248837727,129,307819,351825,764047126,0
217201,248433406,156568711,708941,156434653,708191,53762,1826957,507213381,114255,252708694,128,308747,332951,769088388,0
207059,243318243,153654308,620199,154449657,617305,77947,1879497,502292824,115194,247995723,129,309056,285515,761026031,0
136902,67715844,51216327,111552,51195823,109635,43570,464967,100235907,3831,74435133,138,3640,2823,263749904,0
202613,248901610,156152893,619893,155997444,615075,59234,1746235,505793544,114079,251658263,129,308714,353065,767857635,0
155301,63181628,49096326,155494,49065654,154297,42342,433577,95988922,3606,71765047,136,1124,2646,250744785,0
203390,64847227,49208899,154506,49171151,154534,42712,438639,96522680,3784,71554563,134,2119,3175,248239690,0
286912,4547364,19823329,223619,19852042,223087,39981,3340532,984630172,24374,1723307,134,6734,3072,218221109,1
102063,1732902,5442686,69778,5195407,69180,28925,686411,180209761,4531,340822,66,1107,502,122365989,1
75278,1804981,2121082,29248,2076120,28860,12425,541781,152718218,3845,300188,129,1496,1205,137954236,1
42606,1306788,2684500,28961,2547912,24220,28897,406498,99164910,2485,313544,127,661,299,112137147,1
94625,2365472,2127973,39943,2100643,39848,13167,779296,236546356,5583,441126,136,1606,1073,228138345,1
130054,1830928,20294961,97862,20070576,92345,60138,1715698,496569451,13046,872724,132,2999,1108,313607113,1
37508,2113300,2065719,18379,2055642,18912,5253,322078,53326804,2222,182829,133,598,249,65484432,1
228364,4445057,64951815,128001,65180568,143517,49510,3007870,782512369,23609,2020912,133,5746,3221,943503308,1
185037,34517202,62525958,104655,62221126,107182,67262,2017834,522662436,15423,32559782,138,3265,1310,562651259,1
135352,2816998,4414362,54911,4379973,58731,7093,569603,151328644,4157,312549,192,1090,455,92197356,1
445909,6471651,210557026,226707,210529358,224511,55438,4603844,1447203281,34228,3566682,127,10425,3851,1992516278,1
138526,2479821,3428181,87795,3381939,87753,40896,1758467,506866116,12734,933595,133,3415,1493,72149067,1
182961,92081051,142867823,120585,143979245,114795,45950,2182429,595901089,15653,89866739,134,3674,1985,743713080,1
60844,2038931,2966357,48578,2604721,43493,26821,772298,180525680,4582,368695,138,1139,553,141112553,1
1804278,49159771,51111174,85845,51069797,94759,84238,1709140,449839350,23669,19762559,137,28311,113476,896278215,1
413261,5074212,210753372,226540,211068599,249433,142502,4844744,1451055893,36435,3408226,131,10981,4281,1992736864,1
95478,4226302,1092349,25792,1083275,25593,6141,484439,131007769,4925,766516,132,1786,1423,31180137,1
53867,2345773,2072236,38395,2081705,35057,9320,658533,182544702,4602,356555,128,1121,325,144243107,1
48847,2294925,4132215,66363,3908887,128995,74494,698903,102361111,3552,403656,133,681,293,79656992,1
101788,4338075,1989390,14016,2009955,13653,4074,261419,70840535,1843,171145,133,1164,1014,86294003,1
130373,3021207,5265059,189778,5841043,165709,47193,1675445,437668007,12620,1457457,134,3071,1303,75639032,1
340689,71422871,129156253,192276,128997576,191835,51087,3916712,1190980667,30101,69540177,128,8554,4853,1632866561,1
62078,3514211,3259764,42503,2799860,38724,48309,607285,110681203,5024,251274,132,689,401,92325905,1
391473,4405106,210190241,234287,210186204,241961,59293,4805585,1448224994,35952,2617971,129,9652,5095,1992881094,1
134334,8938550,1098479,12482,1086183,12035,3992,213768,53898664,2680,581581,134,1641,2097,63078131,1
118611,3659731,5421701,62392,5204285,61516,21345,671788,182162134,4726,362092,133,1168,568,123733894,1
82204,3283301,1999456,28964,2000863,31145,8316,607675,177893444,4346,341728,128,1083,487,145948072,1
196948,3766297,6284454,141475,5903399,135539,50899,1699595,430871890,10576,814072,133,2703,1206,68365072,1
405872,6087630,210412143,250464,210658637,248772,116960,4788312,1448760835,35226,2962776,129,10226,3872,1991508162,1
46932,2161065,3996427,86713,3808336,83858,23833,562458,110291870,3997,222474,134,701,323,92187637,1
55224,1586081,2723671,15076,2710313,85910,13663,299702,78486833,2194,256603,133,482,218,82918310,1
70144,3306677,2032923,32524,2026579,32975,8300,631340,179725515,4510,350955,130,1199,538,110758918,1
260943,7893358,107364976,114338,107418005,115350,26276,2326309,713550639,17215,3818657,130,5527,3261,1104848909,1
161656,4407358,2327623,42802,2405738,41671,14670,782845,224863159,5657,847631,132,2236,1772,49526936,1
125127,1744148,4257493,55840,4378301,56408,9689,656958,178342566,4540,356246,66,1234,532,119906481,1
609481,9219496,82359042,4553735,82752141,4530493,174765,4273821,1217045427,31836,5047057,1812,10171,10168,437188732,1
495997,11306159,217455012,266721,217226892,264338,87398,5352416,1546152135,38902,7947301,132,10269,5702,2328089997,1
60107,2208006,4846111,115791,4718389,99193,26292,764313,182416106,4643,367436,133,1134,516,122972205,1
73261,3214090,2007894,30378,2000387,29817,6729,633826,181397226,4604,349998,133,1129,543,110704602,1
59184,2510272,2927282,59064,2641527,57365,64957,930520,187112875,5493,507871,128,1159,673,126559847,1
232854,3892114,106408080,138985,106531413,135467,60883,2684823,789462663,21399,1915034,132,5645,3184,1122397733,1
66665,3680154,2935681,37667,2564322,33896,24861,566745,108513365,4879,238322,134,771,311,91879324,1
82349,5244371,4136957,95458,4088781,85825,18930,257008,63087730,1568,135763,128,1267,1174,83693351,1
91228,2508964,2039869,36650,2034926,35502,9301,784981,210115394,6987,920239,136,2237,1554,140895428,1
62160,3509799,2897670,40153,2493361,34779,25855,571060,108362266,5061,188560,132,674,327,92107627,1
312932,109517972,149516980,194734,150949062,193798,47411,3815898,1146137690,28775,107951921,132,7794,4194,1963269807,1
112126,8035154,8375290,245560,11380877,257034,29594,603253,111807716,5319,6456805,134,720,338,131740350,1
74916,3217052,2177881,35168,2106232,34262,15333,642095,179604199,4875,342502,130,1261,475,110213595,1
155566,3385641,3350232,112732,3327668,113235,47315,1010722,259311170,7275,612808,129,1707,752,48258825,1
37123,3448761,3207829,23525,3541707,31530,19516,349607,89188400,2200,1488094,133,586,255,115296780,1
300812,6553095,118444867,497404,118621421,489460,28072,2751332,798462892,21001,3294873,132,7142,3463,1158872616,1
40896,2749685,3036173,19005,2512634,16872,5122,342250,89693799,2331,189631,128,587,251,119704266,1
121810,2882653,50877855,90038,50421393,84507,35409,1597611,436430550,12976,787832,136,2704,1340,665047331,1
91767,6117774,3724187,67375,3670606,61971,10116,221208,59041493,1427,507677,128,1384,1457,63319579,1
78027,3493240,2008547,31265,2035295,31142,8308,625063,178935669,4391,343753,132,1110,479,142750023,1
34474,2084970,4794738,855978,4763023,835681,16004,348367,88107084,2285,214656,131,594,287,72311497,1
134918,3643122,4125606,64650,4050425,63400,21255,1196997,339871297,8475,634453,135,2067,961,237732417,1
