file,L1-dcache-load-misses,L1-dcache-loads,branch-instructions,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,cpu-cycles,dTLB-load-misses,dTLB-loads,page-faults,iTLB-load-misses,iTLB-loads,instructions
120780.exe,293047,2383446,19719964,221785,19753354,228710,78148,3440006,982432954,27198,1958440,135,7018,2640,221799095
1230547.exe,74666,1995950,5526363,162560,5380011,136039,23554,813028,180029800,5918,533620,65,2095,1090,124291330
1231818.exe,161298,3961585,2052988,29117,2030476,27580,8802,542667,151281187,4091,296956,127,1561,1325,135436432
1290864.exe,94116,3651340,2358715,25610,2490377,21869,20438,396176,98686176,2932,371413,127,667,310,114991018
1318308.exe,98958,2012101,2339991,48926,2230416,46543,30372,861569,236980404,6210,427919,134,1574,1104,228453156
1340102.exe,175547,4326081,20084705,98746,19962338,94705,53693,1767770,495432896,12877,872693,133,3428,1502,313287196
1570142.exe,321041,10491821,2044620,13568,2115548,12011,10348,219737,53322384,2893,719070,133,2010,3027,60361896
1647016.exe,238223,4442503,65089786,142393,65234319,138277,59715,2870083,781573494,22916,2029544,132,5694,3252,943788599
1751912.exe,171067,34352937,62533352,92691,62536105,104576,51177,1986993,523957456,15443,32621202,132,3346,2189,563069437
1920040.exe,212324,5011036,4539452,74513,4431829,75772,26743,590129,152355580,4329,284140,192,3533,4179,86781822
1983458.exe,462271,6121392,210868769,253267,210673113,248744,78470,4889127,1449398141,40002,2780397,128,11597,6494,1990718723
2079662.exe,147429,3340979,3244049,82671,3261582,103585,48948,1739657,509989691,14025,1603847,132,3504,1547,72887888
2087440.exe,205637,91722126,144197394,131408,144773424,122629,74829,2232922,598817558,15764,89973579,135,3714,1931,743192822
2095380.exe,70804,3207496,2016628,31291,2020305,30572,7404,600527,180411072,4387,343412,139,1182,384,140858767
2118492.exe,130357,3675852,51001065,78852,50758131,89454,38805,1720222,444463034,13412,1463872,132,3181,1609,704588214
2133666.exe,427958,5791290,211003534,241147,210847482,238089,82125,4814375,1449238726,36329,2601283,130,11057,5648,1993912378
214531.exe,82259,3322589,1151786,116927,9625040,139155,329977,994819,146176788,11926,7445679,132,1871,1522,31358161
2148414.exe,61761,1503658,3117431,51410,2699176,46759,65369,770681,183670592,4808,471779,128,1601,714,145126044
2167825.exe,49869,3195292,4371721,100624,3976564,133739,27073,573058,105089086,2695,222786,133,673,357,80068155
2270454.exe,120494,4377151,2016999,15323,2024661,13666,12365,282128,71229361,1960,171617,133,1125,1011,87706929
2279764.exe,136041,3652879,5954685,188687,5788006,164283,39169,1669714,439120550,13291,959557,134,2985,1461,75352883
2282083.exe,347399,70901620,131214081,240775,130545478,230323,243981,4321911,1197407077,32581,70132750,128,8261,5574,1635283885
2344548.exe,43631,2662625,3009512,39277,2599394,35054,23814,577410,110515625,4371,236362,132,744,368,92843805
2373932.exe,453596,6093647,210409708,250508,210414701,245710,76717,4976880,1448380253,38990,2746665,128,10513,5638,1988920466
247789.exe,211750,10874258,1073231,10829,1059405,9821,2488,199048,52447999,2653,583242,132,1918,2662,60335211
2492423.exe,66546,2372782,6021831,89352,5611397,80568,25074,761128,182329566,5176,350397,134,1136,622,123000544
2513196.exe,71305,3199651,2007793,31375,2003207,31471,7910,616038,177715117,4575,386085,129,1218,471,146421493
2674105.exe,165256,3777072,6175418,138636,5827192,131769,52156,1606801,432203126,11564,979504,135,3159,1517,68819059
2708553.exe,466043,6058493,209648806,252887,210022247,249535,66744,4954742,1448871774,38415,2710698,127,11084,5645,1991737629
303419.exe,42340,2216959,4029395,93063,3851195,88330,37377,613107,110433504,4770,274690,135,723,357,92401470
3104536.exe,66144,3517167,2696674,14830,2772886,115009,4470,281259,78390065,2031,158802,134,516,166,81011872
3163004.exe,103280,3250498,2047808,33141,2064399,33551,8421,627943,180294798,4659,361150,129,1281,677,110857206
3231389.exe,233381,7021794,107644440,120884,107560152,119554,31384,2391291,714669763,18487,3976375,128,5895,3512,1100299554
3388688.exe,95904,2581798,2325770,38800,2329680,38012,8465,768895,225205966,5612,489263,133,2301,1522,49181541
3942378.exe,82048,2014454,4195204,53427,4324130,53893,7122,636177,179329560,5019,724869,66,1235,530,121445566
396083.exe,583876,9852106,82747587,4523703,83076180,4503244,204439,4230958,1215759637,32287,4979849,1809,9607,7974,437379033
3965275.exe,439108,10930593,217523662,263076,217603745,258053,83955,5069220,1548569580,39546,7787954,134,9508,6038,2329981981
4162716.exe,75065,3322173,4680450,67959,4647816,64873,36207,708350,182692934,4922,370170,134,1147,607,123665883
4231587.exe,76794,3365556,2022078,34231,2044230,32839,7308,656494,180845305,4814,369227,132,1220,545,110362237
4261319.exe,60892,1617033,2921036,58005,2649217,49925,47377,864606,189072930,5740,357313,128,1161,627,126811897
4263677.exe,280263,4941156,106088896,131061,106340977,130724,40830,2682006,790099626,20636,1599774,133,6752,3141,1124484170
4454123.exe,40731,2861929,2981480,36518,2610173,33238,25102,559554,109430908,4849,247533,134,753,348,91926620
4543507.exe,74728,4186862,4116868,97894,4069228,89412,14631,257849,64032962,1696,170248,128,1364,1257,87026592
4815772.exe,137469,3919358,2022186,36144,2041674,37830,18632,883323,211671982,7363,1061702,134,2328,1662,141254338
5070692.exe,49075,3325239,2960451,39437,2539722,36455,26148,584559,111039696,5387,251237,132,742,359,92736341
5081047.exe,357703,110631492,149340104,189005,152252589,198150,72755,3904400,1146012867,29686,108831001,133,7094,4096,1962106567
508772.exe,72100,8197087,8613150,200647,11104480,248256,56151,659077,113772732,5971,6521761,133,742,340,130918402
5111284.exe,62138,1562461,2017648,32847,2025075,34092,19424,627034,180615953,5220,478396,129,1125,457,111322511
511502.exe,91048,3355523,3046017,102848,2995264,104683,24985,893832,259265708,7108,617150,128,1681,920,48545149
5127391.exe,33956,2912161,3204058,22062,3486834,31078,18143,348072,88887242,2185,1463087,134,585,265,115926853
5134592.exe,255809,6479236,118598714,496291,118704486,486888,39067,2638015,796971061,19970,3088783,132,5711,3711,1159994559
5150837.exe,39199,2783872,2976993,17709,2540903,17164,4993,336223,89037687,2348,181801,127,669,318,120074018
5426291.exe,163058,3835867,50105857,98532,49879014,93219,81405,1702243,433810565,11416,839802,136,2651,1286,663543939
5446581.exe,92451,4096274,3689432,69500,3652805,62287,10871,222764,58365469,2060,516493,126,1430,1477,63526313
5466468.exe,90445,3324581,2004810,31293,2228024,34660,29654,647143,180467233,5074,529724,132,1107,512,142329258
5473623.exe,65401,3207920,4653634,845016,4657025,827540,4394,306151,87864286,2198,188245,134,585,228,72348120
5474729.exe,102136,2235570,3928223,58818,3948006,57653,21920,1157919,338837136,8756,627308,134,2389,1256,237617345
5586183.exe,340788,69852281,124364921,215241,124326207,210137,80887,4099615,1175464205,31266,68071687,135,7376,4555,1387318427
5598721.exe,63710,2539157,2109407,16777,2088152,15658,8621,274541,67372583,1727,144584,132,1131,1006,82666829
5613968.exe,58307,2387595,2058527,38466,2065268,35753,17483,657779,181007423,4604,348916,136,1111,615,110429426
5647218.exe,92502,5698543,4154313,12491,4091861,13119,12607,221843,59263989,1960,528166,129,1458,1481,73914291
5662782.exe,215227,11027703,1211346,13227,1148792,12337,11668,208356,53217396,2872,569950,132,1989,2463,56902464
5720269.exe,37628,2811258,2377991,22943,2225546,22671,30047,375690,95023749,2457,211045,132,635,302,93652846
5722411.exe,76435,3167636,2366954,56386,2222315,43303,34049,675945,99515152,2680,216014,132,618,317,98736542
5943908.exe,78940,3602310,2052845,38131,2534906,49406,34832,873604,198921706,7137,984828,132,1236,645,181874749
5944073.exe,79063,3139018,3283020,20178,3245369,19645,5132,366453,96734460,2502,213641,133,614,284,66294819
5947037.exe,72031,3308787,2973481,56147,2663060,49178,39793,832472,187071982,4756,378234,134,1251,573,135206404
5981318.exe,76706,3219391,1510265,16733,1522335,17329,4594,331423,88518983,2304,181778,133,557,265,70056536
5999868.exe,105628,3506663,2950139,55488,2671285,49040,36381,842780,187181051,5270,454690,132,1215,666,134639529
6010355.exe,392559,11312668,9046018,117373,9061507,118532,495054,2712010,657948386,27983,7728515,4040,14361,7704,119418898
6119802.exe,150778,9010720,1204355,13194,1157677,12484,9467,214748,53231163,2604,598560,134,1896,2407,52985518
6142844.exe,120049,3477019,2883996,55743,2579932,48909,34045,857656,188819246,5105,436750,133,1270,570,135161696
6154087.exe,104601,2220944,53970578,66612,53894719,69832,46806,1430144,367442419,11176,1184612,130,2891,1104,590554818
622252.exe,306007,8121417,111740984,157590,111804322,154955,40639,3114569,984860361,25113,5215022,133,6799,3100,1301844510
6273484.exe,48586,3040666,2906041,18887,3541967,116781,4044,344160,92709327,2510,201591,128,618,317,153502622
6333870.exe,148462,3468134,3092776,61472,2745039,54239,44182,907088,187191010,5072,386431,134,1177,531,129508015
634796.exe,59572,1970530,2911751,49845,2581004,45936,29753,778554,183077382,4511,380587,133,1257,449,145814136
647931.exe,105186,36279843,55759907,65711,55716132,75535,33856,1351133,367716065,10647,34999380,136,2564,6676,312231070
6541879.exe,47304,2876447,2055852,20103,2017922,17943,5662,327549,93028822,2417,159150,128,561,312,95023995
6578108.exe,399566,4712409,210501256,245902,210416038,254510,107078,5010425,1456208499,38773,2758707,134,9018,4294,2005646523
