@relation problema
@attribute 'L1-dcache-load-misses' real
@attribute 'L1-dcache-loads' real
@attribute 'branch-instructions' real
@attribute 'branch-load-misses' real
@attribute 'branch-loads' real
@attribute 'branch-misses' real
@attribute 'cache-misses' real
@attribute 'cache-references' real
@attribute 'cpu-cycles' real
@attribute 'dTLB-load-misses' real
@attribute 'dTLB-loads' real
@attribute 'page-faults' real
@attribute 'iTLB-load-misses' real
@attribute 'iTLB-loads' real
@attribute 'instructions' real
@attribute 'class' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31}
@data
286034,253649003,152527840,669483,154212625,679615,171396,2626423,506340850,120215,250216443,129,310612,48451,784241175,0
250211,248200084,155421399,644918,155898166,643470,51977,1795058,497962910,116391,252244781,128,105723,8386,767658552,0
341488,232376481,169346252,694497,169095354,696083,152665,2034182,507046495,106824,271805119,715,103395,285785,761913993,0
330148,254543740,153967307,559508,154480768,560112,150949,2660598,508637156,119965,253939125,129,312636,381587,783663050,0
201630,249047404,155625822,640322,155955699,649839,97752,1859658,499812831,115328,251999340,129,105051,7323,769284248,0
213774,247567400,155948214,646002,155990832,648007,61196,1797545,498739582,114953,251772932,129,105464,8000,767571712,0
245552,245358958,155444571,673549,155455417,671163,61366,1852576,501671897,114872,249009461,129,104940,62798,765481829,0
217477,245720642,155570661,671579,155554871,675351,60383,1757427,500464947,114537,249091228,129,105141,12119,765939768,0
124757,64244529,49534814,183199,49389511,182437,55785,471472,97134242,4249,71599939,136,1138,2508,248013502,0
181607,92809261,61583592,392165,61668483,391995,48495,1219329,336245550,111020,93275187,132,105054,5632,323185184,0
223815,246706186,156209935,727468,155374754,724482,87445,2117797,519373962,117583,248761952,129,206739,297353,771428835,0
201625,245174032,155998921,655658,155838307,660310,97680,1882265,504307096,115864,248667551,130,104826,191124,764298469,0
242986,246125227,155275832,630486,155322699,629044,64393,1899268,513466771,115287,249805422,129,105237,311137,771553479,0
217783,5957979,6687684,150418,6681735,150426,161088,720332,26509840,16707,?,591,?,?,?,0
117920,63835794,50915755,196671,51095637,200014,88607,568312,94720741,3023,71173197,330,1102,1221,244916309,0
118417,63483224,49154282,157017,49190997,154830,44916,455849,95709663,3754,71759119,135,1140,2319,248602612,0
132598,63736978,48759661,156585,48681365,154503,43889,448260,95112706,3577,71097566,136,1170,2344,246919651,0
